"Plot Title: Trans. 3"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 10960658, SEN S/N: 10960658)","Temp, °F (LGR S/N: 10960658, SEN S/N: 10960658)","Coupler Detached (LGR S/N: 10960658)","Coupler Attached (LGR S/N: 10960658)","Host Connected (LGR S/N: 10960658)","End Of File (LGR S/N: 10960658)"
1,09/05/19 01:00:00 PM,12.4940,50.466,Logged,,,
2,09/05/19 01:30:00 PM,12.4693,49.937,,,,
3,09/05/19 02:00:00 PM,12.4466,49.759,,,,
4,09/05/19 02:30:00 PM,12.4281,49.582,,,,
5,09/05/19 03:00:00 PM,12.4141,49.582,,,,
6,09/05/19 03:30:00 PM,12.4028,49.582,,,,
7,09/05/19 04:00:00 PM,12.3888,49.582,,,,
8,09/05/19 04:30:00 PM,12.3790,49.582,,,,
9,09/05/19 05:00:00 PM,12.3730,49.404,,,,
10,09/05/19 05:30:00 PM,12.3646,49.404,,,,
11,09/05/19 06:00:00 PM,12.3591,49.404,,,,
12,09/05/19 06:30:00 PM,12.3562,49.404,,,,
13,09/05/19 07:00:00 PM,12.3505,49.404,,,,
14,09/05/19 07:30:00 PM,12.3478,49.404,,,,
15,09/05/19 08:00:00 PM,12.3436,49.404,,,,
16,09/05/19 08:30:00 PM,12.3408,49.404,,,,
17,09/05/19 09:00:00 PM,12.3408,49.404,,,,
18,09/05/19 09:30:00 PM,12.3408,49.404,,,,
19,09/05/19 10:00:00 PM,12.3408,49.404,,,,
20,09/05/19 10:30:00 PM,12.3394,49.404,,,,
21,09/05/19 11:00:00 PM,12.3379,49.404,,,,
22,09/05/19 11:30:00 PM,12.3394,49.404,,,,
23,09/06/19 12:00:00 AM,12.3379,49.404,,,,
24,09/06/19 12:30:00 AM,12.3366,49.404,,,,
25,09/06/19 01:00:00 AM,12.3366,49.404,,,,
26,09/06/19 01:30:00 AM,12.3352,49.404,,,,
27,09/06/19 02:00:00 AM,12.3379,49.404,,,,
28,09/06/19 02:30:00 AM,12.3379,49.404,,,,
29,09/06/19 03:00:00 AM,12.3379,49.404,,,,
30,09/06/19 03:30:00 AM,12.3366,49.404,,,,
31,09/06/19 04:00:00 AM,12.3366,49.404,,,,
32,09/06/19 04:30:00 AM,12.3366,49.404,,,,
33,09/06/19 05:00:00 AM,12.3366,49.404,,,,
34,09/06/19 05:30:00 AM,12.3366,49.404,,,,
35,09/06/19 06:00:00 AM,12.3366,49.404,,,,
36,09/06/19 06:30:00 AM,12.3394,49.404,,,,
37,09/06/19 07:00:00 AM,12.3436,49.404,,,,
38,09/06/19 07:30:00 AM,12.3436,49.404,,,,
39,09/06/19 08:00:00 AM,12.3450,49.404,,,,
40,09/06/19 08:30:00 AM,12.3492,49.404,,,,
41,09/06/19 09:00:00 AM,12.3492,49.404,,,,
42,09/06/19 09:30:00 AM,12.3520,49.404,,,,
43,09/06/19 10:00:00 AM,12.3505,49.404,,,,
44,09/06/19 10:30:00 AM,12.3534,49.404,,,,
45,09/06/19 11:00:00 AM,12.3520,49.404,,,,
