"Plot Title: Childs Trans 2 Well"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20844449, SEN S/N: 20844449)","Temp, °F (LGR S/N: 20844449, SEN S/N: 20844449)","Abs Pres Barom., psi (LGR S/N: 20844446, SEN S/N: 20844446)","Sensor Depth, feet (LGR S/N: 20844449)","Coupler Detached (LGR S/N: 20844449)","Coupler Attached (LGR S/N: 20844449)","Host Connected (LGR S/N: 20844449)","End Of File (LGR S/N: 20844449)"
1,07/06/21 12:30:00 PM,,,12.3594,,,,,
2,07/06/21 01:00:00 PM,,,12.3581,,,,,
3,07/06/21 01:30:00 PM,,,12.3574,,,,,
4,07/06/21 02:00:00 PM,,,12.3513,,,,,
5,07/06/21 02:30:00 PM,,,12.3481,,,,,
6,07/06/21 03:00:00 PM,12.4251,52.225,12.3452,0.184,Logged,,,
7,07/06/21 03:30:00 PM,12.4207,49.759,12.3466,0.171,,,,
8,07/06/21 04:00:00 PM,12.4202,49.404,12.3400,0.185,,,,
9,07/06/21 04:30:00 PM,12.4173,49.228,12.3391,0.180,,,,
10,07/06/21 05:00:00 PM,12.4139,49.228,12.3372,0.177,,,,
11,07/06/21 05:30:00 PM,12.4104,49.228,12.3359,0.172,,,,
12,07/06/21 06:00:00 PM,12.4104,49.228,12.3347,0.175,,,,
13,07/06/21 06:30:00 PM,12.4088,49.228,12.3343,0.172,,,,
14,07/06/21 07:00:00 PM,12.4088,49.228,12.3320,0.177,,,,
15,07/06/21 07:30:00 PM,12.4122,49.228,12.3324,0.184,,,,
16,07/06/21 08:00:00 PM,12.4139,49.228,12.3292,0.195,,,,
17,07/06/21 08:30:00 PM,12.4122,49.228,12.3292,0.191,,,,
18,07/06/21 09:00:00 PM,12.4157,49.228,12.3315,0.194,,,,
19,07/06/21 09:30:00 PM,12.4173,49.228,12.3373,0.184,,,,
20,07/06/21 10:00:00 PM,12.4225,49.228,12.3431,0.183,,,,
21,07/06/21 10:30:00 PM,12.4225,49.228,12.3458,0.177,,,,
22,07/06/21 11:00:00 PM,12.4225,49.228,12.3439,0.181,,,,
23,07/06/21 11:30:00 PM,12.4207,49.228,12.3453,0.174,,,,
24,07/07/21 12:00:00 AM,12.4207,49.228,12.3424,0.181,,,,
25,07/07/21 12:30:00 AM,12.4225,49.228,12.3459,0.177,,,,
26,07/07/21 01:00:00 AM,12.4225,49.228,12.3434,0.182,,,,
27,07/07/21 01:30:00 AM,12.4258,49.228,12.3418,0.194,,,,
28,07/07/21 02:00:00 AM,12.4225,49.228,12.3442,0.181,,,,
29,07/07/21 02:30:00 AM,12.4276,49.228,12.3423,0.197,,,,
30,07/07/21 03:00:00 AM,12.4258,49.228,12.3434,0.190,,,,
31,07/07/21 03:30:00 AM,12.4276,49.228,12.3459,0.188,,,,
32,07/07/21 04:00:00 AM,12.4258,49.228,12.3434,0.190,,,,
33,07/07/21 04:30:00 AM,12.4225,49.228,12.3405,0.189,,,,
34,07/07/21 05:00:00 AM,12.4207,49.228,12.3421,0.181,,,,
35,07/07/21 05:30:00 AM,12.4190,49.228,12.3401,0.182,,,,
36,07/07/21 06:00:00 AM,12.4173,49.228,12.3392,0.180,,,,
37,07/07/21 06:30:00 AM,12.4207,49.228,12.3400,0.186,,,,
38,07/07/21 07:00:00 AM,12.4225,49.228,12.3447,0.179,,,,
39,07/07/21 07:30:00 AM,12.4207,49.228,12.3469,0.170,,,,
40,07/07/21 08:00:00 AM,12.4190,49.228,12.3447,0.171,,,,
41,07/07/21 08:30:00 AM,12.4157,49.228,12.3485,0.155,,,,
42,07/07/21 09:00:00 AM,12.4157,49.228,12.3489,0.154,,,,
43,07/07/21 09:30:00 AM,12.4104,49.228,12.3401,0.162,,,,
44,07/07/21 10:00:00 AM,12.4104,49.228,12.3434,0.155,,,,
45,07/07/21 10:30:00 AM,12.4088,49.228,12.3439,0.150,,,,
46,07/07/21 11:00:00 AM,12.4071,49.228,12.3424,0.149,,,,
47,07/07/21 11:30:00 AM,12.4036,49.228,12.3426,0.141,,,,
48,07/07/21 12:00:00 PM,12.4019,49.228,12.3404,0.142,,,,
49,07/07/21 12:30:00 PM,12.4036,49.228,12.3392,0.149,,,,
50,07/07/21 01:00:00 PM,12.4003,49.228,12.3363,0.148,,,,
51,07/07/21 01:30:00 PM,12.4003,49.228,12.3310,0.160,,,,
52,07/07/21 02:00:00 PM,12.3968,49.228,12.3273,0.160,,,,
53,07/07/21 02:30:00 PM,12.3951,49.228,12.3275,0.156,,,,
54,07/07/21 03:00:00 PM,12.3935,49.228,12.3237,0.161,,,,
