"Plot Title: CM3W"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20844452, SEN S/N: 20844452)","Temp, °F (LGR S/N: 20844452, SEN S/N: 20844452)","Abs Pres Barom., psi (LGR S/N: 20844446, SEN S/N: 20844446)","Sensor Depth, feet (LGR S/N: 20844452)","Coupler Detached (LGR S/N: 20844452)","Coupler Attached (LGR S/N: 20844452)","Host Connected (LGR S/N: 20844452)","End Of File (LGR S/N: 20844452)"
1,07/06/21 09:00:00 AM,12.5286,54.842,,,Logged,,,
2,07/06/21 09:30:00 AM,12.5249,52.750,,,,,,
3,07/06/21 10:00:00 AM,12.5230,52.401,,,,,,
4,07/06/21 10:30:00 AM,12.5202,52.401,,,,,,
5,07/06/21 11:00:00 AM,12.5144,52.225,,,,,,
6,07/06/21 11:30:00 AM,12.5144,52.225,,,,,,
7,07/06/21 12:00:00 PM,12.5118,52.225,,,,,,
8,07/06/21 12:30:00 PM,12.5104,52.225,12.3594,0.348,,,,
9,07/06/21 01:00:00 PM,12.5078,52.225,12.3581,0.345,,,,
10,07/06/21 01:30:00 PM,12.5050,52.225,12.3574,0.341,,,,
11,07/06/21 02:00:00 PM,12.5063,52.225,12.3513,0.358,,,,
12,07/06/21 02:30:00 PM,12.5050,52.225,12.3481,0.362,,,,
13,07/06/21 03:00:00 PM,12.5023,52.225,12.3452,0.363,,,,
14,07/06/21 03:30:00 PM,12.4982,52.225,12.3466,0.350,,,,
15,07/06/21 04:00:00 PM,12.4941,52.225,12.3400,0.356,,,,
16,07/06/21 04:30:00 PM,12.4901,52.225,12.3391,0.348,,,,
17,07/06/21 05:00:00 PM,12.4888,52.225,12.3372,0.350,,,,
18,07/06/21 05:30:00 PM,12.4860,52.225,12.3359,0.346,,,,
19,07/06/21 06:00:00 PM,12.4834,52.225,12.3347,0.343,,,,
20,07/06/21 06:30:00 PM,12.4834,52.225,12.3343,0.344,,,,
21,07/06/21 07:00:00 PM,12.4847,52.225,12.3320,0.352,,,,
22,07/06/21 07:30:00 PM,12.4860,52.225,12.3324,0.354,,,,
23,07/06/21 08:00:00 PM,12.4847,52.225,12.3292,0.359,,,,
24,07/06/21 08:30:00 PM,12.4875,52.225,12.3292,0.365,,,,
25,07/06/21 09:00:00 PM,12.4860,52.225,12.3315,0.357,,,,
26,07/06/21 09:30:00 PM,12.4888,52.225,12.3373,0.349,,,,
27,07/06/21 10:00:00 PM,12.4905,52.401,12.3431,0.340,,,,
28,07/06/21 10:30:00 PM,12.4918,52.401,12.3458,0.337,,,,
29,07/06/21 11:00:00 PM,12.4918,52.401,12.3439,0.341,,,,
30,07/06/21 11:30:00 PM,12.4918,52.401,12.3453,0.338,,,,
31,07/07/21 12:00:00 AM,12.4918,52.401,12.3424,0.345,,,,
32,07/07/21 12:30:00 AM,12.4918,52.401,12.3459,0.337,,,,
33,07/07/21 01:00:00 AM,12.4905,52.401,12.3434,0.339,,,,
34,07/07/21 01:30:00 AM,12.4931,52.401,12.3418,0.349,,,,
35,07/07/21 02:00:00 AM,12.4905,52.401,12.3442,0.338,,,,
36,07/07/21 02:30:00 AM,12.4905,52.401,12.3423,0.342,,,,
37,07/07/21 03:00:00 AM,12.4918,52.401,12.3434,0.342,,,,
38,07/07/21 03:30:00 AM,12.4918,52.401,12.3459,0.337,,,,
39,07/07/21 04:00:00 AM,12.4891,52.401,12.3434,0.336,,,,
40,07/07/21 04:30:00 AM,12.4891,52.401,12.3405,0.343,,,,
41,07/07/21 05:00:00 AM,12.4850,52.401,12.3421,0.330,,,,
42,07/07/21 05:30:00 AM,12.4837,52.401,12.3401,0.331,,,,
43,07/07/21 06:00:00 AM,12.4837,52.401,12.3392,0.333,,,,
44,07/07/21 06:30:00 AM,12.4850,52.401,12.3400,0.335,,,,
45,07/07/21 07:00:00 AM,12.4864,52.401,12.3447,0.327,,,,
46,07/07/21 07:30:00 AM,12.4837,52.401,12.3469,0.316,,,,
47,07/07/21 08:00:00 AM,12.4809,52.401,12.3447,0.314,,,,
48,07/07/21 08:30:00 AM,12.4809,52.401,12.3485,0.306,,,,
49,07/07/21 09:00:00 AM,12.4769,52.401,12.3489,0.295,,,,
50,07/07/21 09:30:00 AM,12.4756,52.401,12.3401,0.313,,,,
51,07/07/21 10:00:00 AM,12.4728,52.401,12.3434,0.299,,,,
52,07/07/21 10:30:00 AM,12.4687,52.401,12.3439,0.288,,,,
53,07/07/21 11:00:00 AM,12.4674,52.401,12.3424,0.289,,,,
54,07/07/21 11:30:00 AM,12.4647,52.401,12.3426,0.282,,,,
55,07/07/21 12:00:00 PM,12.4647,52.401,12.3404,0.287,,,,
56,07/07/21 12:30:00 PM,12.4621,52.401,12.3392,0.284,,,,
57,07/07/21 01:00:00 PM,12.4593,52.401,12.3363,0.284,,,,
58,07/07/21 01:30:00 PM,12.4566,52.401,12.3310,0.290,,,,
59,07/07/21 02:00:00 PM,12.4512,52.401,12.3273,0.286,,,,
60,07/07/21 02:30:00 PM,12.4512,52.401,12.3275,0.286,,,,
61,07/07/21 03:00:00 PM,12.4484,52.401,12.3237,0.288,,,,
62,07/07/21 03:30:00 PM,12.4431,52.401,12.3188,0.287,,,,
63,07/07/21 04:00:00 PM,12.4431,52.401,12.3124,0.302,,,,
64,07/07/21 04:30:00 PM,12.4418,52.401,12.3130,0.297,,,,
65,07/07/21 05:00:00 PM,12.4390,52.401,12.3109,0.296,,,,
66,07/07/21 05:30:00 PM,12.4337,52.401,12.3070,0.292,,,,
67,07/07/21 06:00:00 PM,12.4322,52.401,12.3059,0.292,,,,
68,07/07/21 06:30:00 PM,12.4337,52.401,12.3065,0.294,,,,
69,07/07/21 07:00:00 PM,12.4322,52.401,12.3070,0.289,,,,
70,07/07/21 07:30:00 PM,12.4337,52.401,12.3014,0.305,,,,
71,07/07/21 08:00:00 PM,12.4337,52.401,12.3014,0.305,,,,
72,07/07/21 08:30:00 PM,12.4337,52.401,12.3005,0.307,,,,
73,07/07/21 09:00:00 PM,12.4350,52.401,12.3031,0.304,,,,
74,07/07/21 09:30:00 PM,12.4363,52.401,12.3079,0.296,,,,
75,07/07/21 10:00:00 PM,12.4403,52.401,12.3131,0.294,,,,
76,07/07/21 10:30:00 PM,12.4403,52.401,12.3152,0.289,,,,
77,07/07/21 11:00:00 PM,12.4418,52.401,12.3144,0.294,,,,
78,07/07/21 11:30:00 PM,12.4418,52.401,12.3143,0.294,,,,
79,07/08/21 12:00:00 AM,12.4377,52.401,12.3163,0.280,,,,
80,07/08/21 12:30:00 AM,12.4390,52.401,12.3154,0.285,,,,
81,07/08/21 01:00:00 AM,12.4418,52.401,12.3166,0.289,,,,
82,07/08/21 01:30:00 AM,12.4403,52.401,12.3160,0.287,,,,
83,07/08/21 02:00:00 AM,12.4403,52.401,12.3153,0.289,,,,
84,07/08/21 02:30:00 AM,12.4418,52.401,12.3166,0.289,,,,
85,07/08/21 03:00:00 AM,12.4418,52.401,12.3172,0.288,,,,
86,07/08/21 03:30:00 AM,12.4403,52.401,12.3159,0.287,,,,
87,07/08/21 04:00:00 AM,12.4390,52.401,12.3159,0.284,,,,
88,07/08/21 04:30:00 AM,12.4377,52.401,12.3183,0.276,,,,
89,07/08/21 05:00:00 AM,12.4390,52.401,12.3181,0.279,,,,
90,07/08/21 05:30:00 AM,12.4390,52.401,12.3195,0.276,,,,
91,07/08/21 06:00:00 AM,12.4418,52.401,12.3205,0.280,,,,
92,07/08/21 06:30:00 AM,12.4377,52.401,12.3221,0.267,,,,
93,07/08/21 07:00:00 AM,12.4363,52.401,12.3199,0.268,,,,
94,07/08/21 07:30:00 AM,12.4390,52.401,12.3265,0.260,,,,
95,07/08/21 08:00:00 AM,12.4363,52.401,12.3255,0.256,,,,
96,07/08/21 08:30:00 AM,12.4363,52.401,12.3299,0.245,,,,
97,07/08/21 09:00:00 AM,12.4377,52.401,12.3340,0.239,,,,
98,07/08/21 09:30:00 AM,12.4390,52.401,12.3291,0.254,,,,
99,07/08/21 10:00:00 AM,12.4367,52.576,12.3315,0.243,,,,
