"Plot Title: atm control"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20214178, SEN S/N: 20214178)","Temp, °F (LGR S/N: 20214178, SEN S/N: 20214178)","Coupler Detached (LGR S/N: 20214178)","Coupler Attached (LGR S/N: 20214178)","Host Connected (LGR S/N: 20214178)","End Of File (LGR S/N: 20214178)"
1,04/24/19 04:00:00 PM,12.3965,81.442,Logged,,,
2,04/24/19 04:30:00 PM,12.3898,74.098,,,,
3,04/24/19 05:00:00 PM,12.3858,72.372,,,,
4,04/24/19 05:30:00 PM,12.3833,71.339,,,,
5,04/24/19 06:00:00 PM,12.3845,69.449,,,,
6,04/24/19 06:30:00 PM,12.3829,67.564,,,,
7,04/24/19 07:00:00 PM,12.3825,65.509,,,,
8,04/24/19 07:30:00 PM,12.3827,61.912,,,,
9,04/24/19 08:00:00 PM,12.3867,56.750,,,,
10,04/24/19 08:30:00 PM,12.3909,52.225,,,,
11,04/24/19 09:00:00 PM,12.3961,48.695,,,,
12,04/24/19 09:30:00 PM,12.4017,46.728,,,,
13,04/24/19 10:00:00 PM,12.4051,44.922,,,,
14,04/24/19 10:30:00 PM,12.4019,43.282,,,,
15,04/24/19 11:00:00 PM,12.4035,41.994,,,,
16,04/24/19 11:30:00 PM,12.4078,40.696,,,,
17,04/25/19 12:00:00 AM,12.4061,39.760,,,,
18,04/25/19 12:30:00 AM,12.4074,39.007,,,,
19,04/25/19 01:00:00 AM,12.4077,38.440,,,,
20,04/25/19 01:30:00 AM,12.4062,37.679,,,,
21,04/25/19 02:00:00 AM,12.4010,37.107,,,,
22,04/25/19 02:30:00 AM,12.3987,36.531,,,,
23,04/25/19 03:00:00 AM,12.4020,36.145,,,,
24,04/25/19 03:30:00 AM,12.4020,35.370,,,,
25,04/25/19 04:00:00 AM,12.4026,34.981,,,,
26,04/25/19 04:30:00 AM,12.4051,34.786,,,,
27,04/25/19 05:00:00 AM,12.4006,34.590,,,,
28,04/25/19 05:30:00 AM,12.4012,34.198,,,,
29,04/25/19 06:00:00 AM,12.4019,33.805,,,,
30,04/25/19 06:30:00 AM,12.4046,33.805,,,,
31,04/25/19 07:00:00 AM,12.4064,34.002,,,,
32,04/25/19 07:30:00 AM,12.4091,34.786,,,,
33,04/25/19 08:00:00 AM,12.4104,37.679,,,,
34,04/25/19 08:30:00 AM,12.4078,44.195,,,,
35,04/25/19 09:00:00 AM,12.4057,48.695,,,,
36,04/25/19 09:30:00 AM,12.4059,58.647,,,,
37,04/25/19 10:00:00 AM,12.4019,73.926,,,,
38,04/25/19 10:30:00 AM,12.4025,81.621,,,,
39,04/25/19 11:00:00 AM,12.4030,81.266,,,,
40,04/25/19 11:30:00 AM,12.4023,83.221,,,,
