"Plot Title: CMW2"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20844447, SEN S/N: 20844447)","Temp, °F (LGR S/N: 20844447, SEN S/N: 20844447)","Abs Pres Barom., psi (LGR S/N: 20214178, SEN S/N: 20214178)","Sensor Depth, feet (LGR S/N: 20844447)","Coupler Detached (LGR S/N: 20844447)","Coupler Attached (LGR S/N: 20844447)","Host Connected (LGR S/N: 20844447)","End Of File (LGR S/N: 20844447)"
1,07/06/21 08:30:00 AM,12.4609,53.973,,,Logged,,,
2,07/06/21 09:00:00 AM,12.4567,52.225,,,,,,
3,07/06/21 09:30:00 AM,12.4563,52.050,12.4360,0.047,,,,
4,07/06/21 10:00:00 AM,12.4545,51.874,12.4345,0.046,,,,
5,07/06/21 10:30:00 AM,12.4516,51.874,12.4326,0.044,,,,
6,07/06/21 11:00:00 AM,12.4502,51.874,12.4302,0.046,,,,
7,07/06/21 11:30:00 AM,12.4473,51.874,12.4281,0.044,,,,
8,07/06/21 12:00:00 PM,12.4460,51.874,12.4184,0.064,,,,
9,07/06/21 12:30:00 PM,12.4460,51.874,12.4158,0.070,,,,
10,07/06/21 01:00:00 PM,12.4445,51.874,12.4161,0.066,,,,
11,07/06/21 01:30:00 PM,12.4431,51.874,12.4162,0.062,,,,
12,07/06/21 02:00:00 PM,12.4445,51.874,12.4196,0.058,,,,
13,07/06/21 02:30:00 PM,12.4445,51.874,12.4154,0.067,,,,
14,07/06/21 03:00:00 PM,12.4374,51.874,12.4154,0.051,,,,
15,07/06/21 03:30:00 PM,12.4389,51.874,12.4115,0.063,,,,
16,07/06/21 04:00:00 PM,12.4374,51.874,12.4025,0.081,,,,
17,07/06/21 04:30:00 PM,12.4345,51.874,12.3972,0.086,,,,
18,07/06/21 05:00:00 PM,12.4331,51.874,12.3959,0.086,,,,
19,07/06/21 05:30:00 PM,12.4274,51.874,12.3946,0.076,,,,
20,07/06/21 06:00:00 PM,12.4289,51.874,12.3941,0.080,,,,
21,07/06/21 06:30:00 PM,12.4274,51.874,12.3925,0.081,,,,
22,07/06/21 07:00:00 PM,12.4274,51.874,12.3914,0.083,,,,
23,07/06/21 07:30:00 PM,12.4289,51.874,12.3941,0.080,,,,
24,07/06/21 08:00:00 PM,12.4303,51.874,12.3922,0.088,,,,
25,07/06/21 08:30:00 PM,12.4303,51.874,12.3922,0.088,,,,
26,07/06/21 09:00:00 PM,12.4316,51.874,12.3965,0.081,,,,
27,07/06/21 09:30:00 PM,12.4360,51.874,12.3986,0.086,,,,
28,07/06/21 10:00:00 PM,12.4374,51.874,12.4025,0.081,,,,
29,07/06/21 10:30:00 PM,12.4374,51.874,12.4035,0.078,,,,
30,07/06/21 11:00:00 PM,12.4389,51.874,12.4032,0.082,,,,
31,07/06/21 11:30:00 PM,12.4374,51.874,12.4026,0.080,,,,
32,07/07/21 12:00:00 AM,12.4389,51.874,12.4041,0.080,,,,
33,07/07/21 12:30:00 AM,12.4374,51.874,12.4041,0.077,,,,
34,07/07/21 01:00:00 AM,12.4389,51.874,12.4054,0.077,,,,
35,07/07/21 01:30:00 AM,12.4389,51.874,12.4093,0.068,,,,
36,07/07/21 02:00:00 AM,12.4389,51.874,12.4054,0.077,,,,
37,07/07/21 02:30:00 AM,12.4389,51.874,12.4084,0.070,,,,
38,07/07/21 03:00:00 AM,12.4402,51.874,12.4094,0.071,,,,
39,07/07/21 03:30:00 AM,12.4389,51.874,12.4086,0.070,,,,
40,07/07/21 04:00:00 AM,12.4345,51.874,12.4054,0.067,,,,
41,07/07/21 04:30:00 AM,12.4379,52.050,12.4061,0.073,,,,
42,07/07/21 05:00:00 AM,12.4374,51.874,12.4046,0.076,,,,
43,07/07/21 05:30:00 AM,12.4350,52.050,12.4042,0.071,,,,
44,07/07/21 06:00:00 AM,12.4345,51.874,12.4045,0.069,,,,
45,07/07/21 06:30:00 AM,12.4364,52.050,12.4055,0.071,,,,
46,07/07/21 07:00:00 AM,12.4392,52.050,12.4070,0.074,,,,
47,07/07/21 07:30:00 AM,12.4364,52.050,12.4051,0.072,,,,
48,07/07/21 08:00:00 AM,12.4335,52.050,12.4086,0.058,,,,
49,07/07/21 08:30:00 AM,12.4321,52.050,12.4075,0.057,,,,
50,07/07/21 09:00:00 AM,12.4306,52.050,12.4048,0.060,,,,
51,07/07/21 09:30:00 AM,12.4306,52.050,12.4106,0.046,,,,
52,07/07/21 10:00:00 AM,12.4264,52.050,12.4091,0.040,,,,
53,07/07/21 10:30:00 AM,12.4235,52.050,12.4055,0.042,,,,
54,07/07/21 11:00:00 AM,12.4220,52.050,12.4059,0.037,,,,
55,07/07/21 11:30:00 AM,12.4220,52.050,12.4023,0.046,,,,
56,07/07/21 12:00:00 PM,12.4235,52.050,12.3946,0.067,,,,
57,07/07/21 12:30:00 PM,12.4193,52.050,12.3927,0.061,,,,
58,07/07/21 01:00:00 PM,12.4178,52.050,12.3923,0.059,,,,
59,07/07/21 01:30:00 PM,12.4136,52.050,12.3901,0.054,,,,
60,07/07/21 02:00:00 PM,12.4136,52.050,12.3872,0.061,,,,
