Date,baro.pressure_psi,total.pressure_psi,temp.ref_F,water.level.above.sensor,ID
2019-04-24 16:30:00,12.3898,16.1513,45.648,8.678,CM0W
2019-04-24 17:00:00,12.3858,16.1381,43.831,8.656,CM0W
2019-04-24 17:30:00,12.3833,16.1341,43.648,8.652,CM0W
2019-04-24 18:00:00,12.3845,16.1302,43.466,8.641,CM0W
2019-04-24 18:30:00,12.3829,16.1257,43.466,8.634,CM0W
2019-04-24 19:00:00,12.3825,16.1243,43.466,8.632,CM0W
2019-04-24 19:30:00,12.3827,16.1257,43.466,8.634,CM0W
2019-04-24 20:00:00,12.3867,16.1272,43.466,8.629,CM0W
2019-04-24 20:30:00,12.3909,16.1288,43.466,8.623,CM0W
2019-04-24 21:00:00,12.3961,16.1331,43.466,8.621,CM0W
2019-04-24 21:30:00,12.4017,16.136,43.466,8.614,CM0W
2019-04-24 22:00:00,12.4051,16.1375,43.466,8.61,CM0W
2019-04-24 22:30:00,12.4019,16.1375,43.466,8.617,CM0W
2019-04-24 23:00:00,12.4035,16.1375,43.466,8.614,CM0W
2019-04-24 23:30:00,12.4078,16.1389,43.466,8.607,CM0W
2019-04-25 00:00:00,12.4061,16.1404,43.466,8.614,CM0W
2019-04-25 00:30:00,12.4074,16.1418,43.466,8.615,CM0W
2019-04-25 01:00:00,12.4077,16.1418,43.466,8.614,CM0W
2019-04-25 01:30:00,12.4062,16.1404,43.466,8.614,CM0W
2019-04-25 02:00:00,12.401,16.1389,43.466,8.623,CM0W
2019-04-25 02:30:00,12.3987,16.136,43.466,8.621,CM0W
2019-04-25 03:00:00,12.402,16.1389,43.466,8.62,CM0W
2019-04-25 03:30:00,12.402,16.1404,43.466,8.624,CM0W
2019-04-25 04:00:00,12.4026,16.1418,43.466,8.626,CM0W
2019-04-25 04:30:00,12.4051,16.1433,43.466,8.623,CM0W
2019-04-25 05:00:00,12.4006,16.1404,43.466,8.627,CM0W
2019-04-25 05:30:00,12.4012,16.1404,43.466,8.626,CM0W
2019-04-25 06:00:00,12.4019,16.1404,43.466,8.624,CM0W
2019-04-25 06:30:00,12.4046,16.1418,43.466,8.621,CM0W
2019-04-25 07:00:00,12.4064,16.1433,43.466,8.62,CM0W
2019-04-25 07:30:00,12.4091,16.1476,43.466,8.624,CM0W
2019-04-25 08:00:00,12.4104,16.1462,43.466,8.618,CM0W
2019-04-25 08:30:00,12.4078,16.1491,43.466,8.631,CM0W
2019-04-25 09:00:00,12.4057,16.1476,43.466,8.632,CM0W
2019-04-25 09:30:00,12.4059,16.1462,43.466,8.628,CM0W
2019-04-25 10:00:00,12.4019,16.1447,43.466,8.634,CM0W
2019-04-25 10:30:00,12.4025,16.1462,43.466,8.636,CM0W
2019-04-25 11:00:00,12.403,16.1462,43.466,8.635,CM0W
2019-04-25 11:30:00,12.4023,16.1418,43.466,8.626,CM0W
2019-04-25 12:00:00,12.3981,16.1389,43.466,8.629,CM0W
2019-04-25 12:30:00,12.3946,16.1346,43.466,8.628,CM0W
2019-04-25 13:00:00,12.3948,16.1317,43.466,8.62,CM0W
2019-04-25 13:30:00,12.3935,16.1317,43.466,8.623,CM0W
2019-04-25 14:00:00,12.393,16.1317,43.466,8.625,CM0W
2019-04-25 14:30:00,12.393,16.1302,43.466,8.621,CM0W
2019-04-25 15:00:00,12.3888,16.1228,43.466,8.614,CM0W
2019-04-25 15:30:00,12.3854,16.1199,43.466,8.615,CM0W
2019-04-25 16:00:00,12.3832,16.1141,43.466,8.607,CM0W
2019-04-25 16:30:00,12.3811,16.1127,43.466,8.608,CM0W
2019-04-25 17:00:00,12.3771,16.1112,43.466,8.614,CM0W
2019-04-25 17:30:00,12.3798,16.1083,43.466,8.601,CM0W
2019-04-25 18:00:00,12.379,16.104,43.466,8.593,CM0W
2019-04-25 18:30:00,12.3764,16.104,43.466,8.599,CM0W
2019-04-25 19:00:00,12.3755,16.104,43.466,8.601,CM0W
2019-04-25 19:30:00,12.3772,16.1011,43.466,8.59,CM0W
2019-04-25 20:00:00,12.3835,16.1054,43.466,8.586,CM0W
2019-04-25 20:30:00,12.3854,16.1083,43.466,8.588,CM0W
2019-04-25 21:00:00,12.389,16.1127,43.466,8.59,CM0W
2019-04-25 21:30:00,12.3952,16.1127,43.466,8.576,CM0W
2019-04-25 22:00:00,12.3972,16.1141,43.466,8.574,CM0W
2019-04-25 22:30:00,12.3999,16.1185,43.466,8.578,CM0W
2019-04-25 23:00:00,12.3972,16.117,43.466,8.581,CM0W
2019-04-25 23:30:00,12.397,16.1156,43.466,8.578,CM0W
2019-04-26 00:00:00,12.3965,16.1199,43.466,8.589,CM0W
2019-04-26 00:30:00,12.3988,16.1228,43.466,8.591,CM0W
2019-04-26 01:00:00,12.4001,16.1199,43.466,8.581,CM0W
2019-04-26 01:30:00,12.3974,16.1199,43.466,8.587,CM0W
2019-04-26 02:00:00,12.3952,16.117,43.466,8.586,CM0W
2019-04-26 02:30:00,12.3932,16.117,43.466,8.59,CM0W
2019-04-26 03:00:00,12.3907,16.1156,43.466,8.593,CM0W
2019-04-26 03:30:00,12.3942,16.1214,43.466,8.598,CM0W
2019-04-26 04:00:00,12.3917,16.1185,43.466,8.597,CM0W
2019-04-26 04:30:00,12.3965,16.1214,43.466,8.593,CM0W
2019-04-26 05:00:00,12.3943,16.1199,43.466,8.594,CM0W
2019-04-26 05:30:00,12.3936,16.1228,43.466,8.603,CM0W
2019-04-26 06:00:00,12.3929,16.1214,43.466,8.601,CM0W
2019-04-26 06:30:00,12.3964,16.1257,43.466,8.603,CM0W
2019-04-26 07:00:00,12.3999,16.1288,43.466,8.602,CM0W
2019-04-26 07:30:00,12.4006,16.1288,43.466,8.6,CM0W
2019-04-26 08:00:00,12.3987,16.1302,43.466,8.608,CM0W
2019-04-26 08:30:00,12.3933,16.1272,43.466,8.613,CM0W
2019-04-26 09:00:00,12.3951,16.1243,43.466,8.603,CM0W
2019-04-26 09:30:00,12.3939,16.1272,43.466,8.612,CM0W
2019-04-26 10:00:00,12.3883,16.1288,43.466,8.629,CM0W
2019-04-26 10:30:00,12.3888,16.1272,43.466,8.624,CM0W
2019-04-26 11:00:00,12.3907,16.1288,43.466,8.623,CM0W
2019-04-26 11:30:00,12.3917,16.1257,43.466,8.614,CM0W
2019-04-26 12:00:00,12.3881,16.1257,43.466,8.622,CM0W
2019-04-26 12:30:00,12.3839,16.1214,43.466,8.622,CM0W
2019-04-26 13:00:00,12.3864,16.117,43.466,8.606,CM0W
2019-04-26 13:30:00,12.3862,16.117,43.466,8.606,CM0W
2019-04-26 14:00:00,12.384,16.1156,43.466,8.608,CM0W
2019-04-26 14:30:00,12.3861,16.1127,43.466,8.597,CM0W
2019-04-26 15:00:00,12.381,16.1083,43.466,8.598,CM0W
2019-04-26 15:30:00,12.3761,16.1011,43.466,8.593,CM0W
2019-04-26 16:00:00,12.3753,16.0995,43.466,8.591,CM0W
2019-04-26 16:30:00,12.374,16.098,43.466,8.591,CM0W
2019-04-26 17:00:00,12.3703,16.0951,43.466,8.592,CM0W
2019-04-26 17:30:00,12.3717,16.0937,43.466,8.586,CM0W
2019-04-26 18:00:00,12.3727,16.0908,43.466,8.577,CM0W
2019-04-26 18:30:00,12.372,16.0893,43.466,8.575,CM0W
2019-04-26 19:00:00,12.3735,16.0893,43.466,8.572,CM0W
2019-04-26 19:30:00,12.3727,16.0879,43.466,8.57,CM0W
2019-04-26 20:00:00,12.3767,16.0937,43.466,8.574,CM0W
2019-04-26 20:30:00,12.3842,16.098,43.466,8.567,CM0W
2019-04-26 21:00:00,12.3903,16.0995,43.466,8.556,CM0W
2019-04-26 21:30:00,12.3927,16.1011,43.466,8.555,CM0W
2019-04-26 22:00:00,12.3954,16.1054,43.466,8.558,CM0W
2019-04-26 22:30:00,12.3959,16.1054,43.466,8.557,CM0W
2019-04-26 23:00:00,12.3975,16.1083,43.466,8.56,CM0W
2019-04-26 23:30:00,12.3958,16.1069,43.466,8.561,CM0W
2019-04-27 00:00:00,12.3964,16.1054,43.466,8.556,CM0W
2019-04-27 00:30:00,12.3942,16.1054,43.466,8.561,CM0W
2019-04-27 01:00:00,12.3925,16.1025,43.466,8.558,CM0W
2019-04-27 01:30:00,12.392,16.1011,43.466,8.556,CM0W
2019-04-27 02:00:00,12.3893,16.1011,43.466,8.562,CM0W
2019-04-27 02:30:00,12.3865,16.1011,43.466,8.569,CM0W
2019-04-27 03:00:00,12.3891,16.1025,43.466,8.566,CM0W
2019-04-27 03:30:00,12.3864,16.0995,43.466,8.565,CM0W
2019-04-27 04:00:00,12.3825,16.0995,43.466,8.574,CM0W
2019-04-27 04:30:00,12.3832,16.0995,43.466,8.573,CM0W
2019-04-27 05:00:00,12.3822,16.0995,43.466,8.575,CM0W
2019-04-27 05:30:00,12.3782,16.0995,43.466,8.584,CM0W
2019-04-27 06:00:00,12.3793,16.1011,43.466,8.586,CM0W
2019-04-27 06:30:00,12.3775,16.0995,43.466,8.586,CM0W
2019-04-27 07:00:00,12.382,16.1011,43.466,8.579,CM0W
2019-04-27 07:30:00,12.3797,16.1025,43.466,8.588,CM0W
2019-04-27 08:00:00,12.3793,16.104,43.466,8.592,CM0W
2019-04-27 08:30:00,12.3803,16.104,43.466,8.59,CM0W
2019-04-27 09:00:00,12.3782,16.1025,43.466,8.591,CM0W
2019-04-27 09:30:00,12.3704,16.0966,43.466,8.596,CM0W
2019-04-27 10:00:00,12.3665,16.0966,43.466,8.605,CM0W
2019-04-27 10:30:00,12.3669,16.098,43.466,8.607,CM0W
2019-04-27 11:00:00,12.3661,16.0951,43.466,8.602,CM0W
2019-04-27 11:30:00,12.3677,16.0922,43.466,8.592,CM0W
2019-04-27 12:00:00,12.3594,16.0922,43.466,8.611,CM0W
2019-04-27 12:30:00,12.3558,16.0864,43.466,8.606,CM0W
2019-04-27 13:00:00,12.3547,16.0821,43.466,8.598,CM0W
2019-04-27 13:30:00,12.3539,16.0821,43.466,8.6,CM0W
2019-04-27 14:00:00,12.3442,16.0748,43.466,8.606,CM0W
2019-04-27 14:30:00,12.3439,16.0719,43.466,8.6,CM0W
2019-04-27 15:00:00,12.3476,16.0645,43.466,8.574,CM0W
2019-04-27 15:30:00,12.3397,16.0602,43.466,8.583,CM0W
2019-04-27 16:00:00,12.3352,16.0544,43.466,8.58,CM0W
2019-04-27 16:30:00,12.3331,16.05,43.466,8.574,CM0W
2019-04-27 17:00:00,12.3326,16.0457,43.466,8.565,CM0W
2019-04-27 17:30:00,12.3313,16.0428,43.466,8.562,CM0W
2019-04-27 18:00:00,12.3268,16.0383,43.466,8.562,CM0W
2019-04-27 18:30:00,12.3252,16.0368,43.466,8.562,CM0W
2019-04-27 19:00:00,12.3227,16.0325,43.466,8.558,CM0W
2019-04-27 19:30:00,12.3244,16.0339,43.466,8.557,CM0W
2019-04-27 20:00:00,12.327,16.0354,43.466,8.555,CM0W
2019-04-27 20:30:00,12.3317,16.0383,43.466,8.55,CM0W
2019-04-27 21:00:00,12.3373,16.0412,43.466,8.544,CM0W
