Date,baro.pressure_psi,total.pressure_psi,temp.ref_F,water.level.above.sensor,ID
2020-04-26 10:30:00,12.4191,15.9874,43.466,8.231,CM0W
2020-04-26 11:00:00,12.4162,15.9804,43.282,8.222,CM0W
2020-04-26 11:30:00,12.4086,15.9736,43.099,8.224,CM0W
2020-04-26 12:00:00,12.4058,15.9678,43.099,8.217,CM0W
2020-04-26 12:30:00,12.4004,15.9633,43.099,8.219,CM0W
2020-04-26 13:00:00,12.4007,15.9589,43.099,8.208,CM0W
2020-04-26 13:30:00,12.3943,15.9531,43.099,8.209,CM0W
2020-04-26 14:00:00,12.3939,15.9517,43.099,8.207,CM0W
2020-04-26 14:30:00,12.3958,15.9473,43.099,8.193,CM0W
2020-04-26 15:00:00,12.3913,15.943,43.099,8.193,CM0W
2020-04-26 15:30:00,12.3939,15.9415,43.099,8.184,CM0W
2020-04-26 16:00:00,12.3935,15.9386,43.099,8.178,CM0W
2020-04-26 16:30:00,12.3887,15.9343,43.099,8.179,CM0W
2020-04-26 17:00:00,12.3874,15.9343,43.099,8.182,CM0W
2020-04-26 17:30:00,12.3893,15.9343,43.099,8.178,CM0W
2020-04-26 18:00:00,12.3906,15.9312,43.099,8.167,CM0W
2020-04-26 18:30:00,12.3893,15.9312,43.099,8.17,CM0W
2020-04-26 19:00:00,12.3898,15.9283,43.099,8.163,CM0W
2020-04-26 19:30:00,12.3897,15.9327,43.099,8.173,CM0W
2020-04-26 20:00:00,12.3932,15.9283,43.099,8.155,CM0W
2020-04-26 20:30:00,12.3965,15.9312,43.099,8.154,CM0W
2020-04-26 21:00:00,12.403,15.9386,43.099,8.156,CM0W
2020-04-26 21:30:00,12.4067,15.9386,43.099,8.147,CM0W
2020-04-26 22:00:00,12.4171,15.9473,43.099,8.143,CM0W
2020-04-26 22:30:00,12.4205,15.9488,43.099,8.139,CM0W
2020-04-26 23:00:00,12.4229,15.9531,43.099,8.143,CM0W
2020-04-26 23:30:00,12.4167,15.9473,43.099,8.144,CM0W
2020-04-27 00:00:00,12.4155,15.9459,43.099,8.144,CM0W
