"Plot Title: CM0W"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20214128, SEN S/N: 20214128)","Temp, °F (LGR S/N: 20214128, SEN S/N: 20214128)","Abs Pres Barom., psi (LGR S/N: 20214178, SEN S/N: 20214178)","Sensor Depth, feet (LGR S/N: 20214128)","Coupler Detached (LGR S/N: 20214128)","Coupler Attached (LGR S/N: 20214128)","Host Connected (LGR S/N: 20214128)","Stopped (LGR S/N: 20214128)","End Of File (LGR S/N: 20214128)"
1,04/24/19 04:00:00 PM,,,12.3965,,,,,,
2,04/24/19 04:30:00 PM,16.1513,45.648,12.3898,8.678,Logged,,,,
3,04/24/19 05:00:00 PM,16.1381,43.831,12.3858,8.657,,,,,
4,04/24/19 05:30:00 PM,16.1341,43.648,12.3833,8.653,,,,,
5,04/24/19 06:00:00 PM,16.1302,43.466,12.3845,8.642,,,,,
6,04/24/19 06:30:00 PM,16.1257,43.466,12.3829,8.635,,,,,
7,04/24/19 07:00:00 PM,16.1243,43.466,12.3825,8.633,,,,,
8,04/24/19 07:30:00 PM,16.1257,43.466,12.3827,8.635,,,,,
9,04/24/19 08:00:00 PM,16.1272,43.466,12.3867,8.630,,,,,
10,04/24/19 08:30:00 PM,16.1288,43.466,12.3909,8.624,,,,,
11,04/24/19 09:00:00 PM,16.1331,43.466,12.3961,8.622,,,,,
12,04/24/19 09:30:00 PM,16.1360,43.466,12.4017,8.615,,,,,
13,04/24/19 10:00:00 PM,16.1375,43.466,12.4051,8.611,,,,,
14,04/24/19 10:30:00 PM,16.1375,43.466,12.4019,8.618,,,,,
15,04/24/19 11:00:00 PM,16.1375,43.466,12.4035,8.615,,,,,
16,04/24/19 11:30:00 PM,16.1389,43.466,12.4078,8.608,,,,,
17,04/25/19 12:00:00 AM,16.1404,43.466,12.4061,8.615,,,,,
18,04/25/19 12:30:00 AM,16.1418,43.466,12.4074,8.616,,,,,
19,04/25/19 01:00:00 AM,16.1418,43.466,12.4077,8.615,,,,,
20,04/25/19 01:30:00 AM,16.1404,43.466,12.4062,8.615,,,,,
21,04/25/19 02:00:00 AM,16.1389,43.466,12.4010,8.624,,,,,
22,04/25/19 02:30:00 AM,16.1360,43.466,12.3987,8.622,,,,,
23,04/25/19 03:00:00 AM,16.1389,43.466,12.4020,8.621,,,,,
24,04/25/19 03:30:00 AM,16.1404,43.466,12.4020,8.625,,,,,
25,04/25/19 04:00:00 AM,16.1418,43.466,12.4026,8.627,,,,,
26,04/25/19 04:30:00 AM,16.1433,43.466,12.4051,8.624,,,,,
27,04/25/19 05:00:00 AM,16.1404,43.466,12.4006,8.628,,,,,
28,04/25/19 05:30:00 AM,16.1404,43.466,12.4012,8.627,,,,,
29,04/25/19 06:00:00 AM,16.1404,43.466,12.4019,8.625,,,,,
30,04/25/19 06:30:00 AM,16.1418,43.466,12.4046,8.622,,,,,
31,04/25/19 07:00:00 AM,16.1433,43.466,12.4064,8.621,,,,,
32,04/25/19 07:30:00 AM,16.1476,43.466,12.4091,8.625,,,,,
33,04/25/19 08:00:00 AM,16.1462,43.466,12.4104,8.619,,,,,
34,04/25/19 08:30:00 AM,16.1491,43.466,12.4078,8.631,,,,,
35,04/25/19 09:00:00 AM,16.1476,43.466,12.4057,8.633,,,,,
36,04/25/19 09:30:00 AM,16.1462,43.466,12.4059,8.629,,,,,
37,04/25/19 10:00:00 AM,16.1447,43.466,12.4019,8.635,,,,,
38,04/25/19 10:30:00 AM,16.1462,43.466,12.4025,8.637,,,,,
39,04/25/19 11:00:00 AM,16.1462,43.466,12.4030,8.636,,,,,
40,04/25/19 11:30:00 AM,16.1418,43.466,12.4023,8.627,,,,,
41,04/25/19 12:00:00 PM,16.1389,43.466,12.3981,8.630,,,,,
42,04/25/19 12:30:00 PM,16.1346,43.466,12.3946,8.628,,,,,
43,04/25/19 01:00:00 PM,16.1317,43.466,12.3948,8.621,,,,,
44,04/25/19 01:30:00 PM,16.1317,43.466,12.3935,8.624,,,,,
45,04/25/19 02:00:00 PM,16.1317,43.466,12.3930,8.625,,,,,
46,04/25/19 02:30:00 PM,16.1302,43.466,12.3930,8.622,,,,,
47,04/25/19 03:00:00 PM,16.1228,43.466,12.3888,8.615,,,,,
