"Plot Title: CM1W"
"#","Date Time, GMT-08:00","Abs Pres, psi (LGR S/N: 10960660, SEN S/N: 10960660)","Temp, °F (LGR S/N: 10960660, SEN S/N: 10960660)","Abs Pres Barom., psi (LGR S/N: 20214178, SEN S/N: 20214178)","Sensor Depth, feet (LGR S/N: 10960660)","Coupler Detached (LGR S/N: 10960660)","Coupler Attached (LGR S/N: 10960660)","Host Connected (LGR S/N: 10960660)","End Of File (LGR S/N: 10960660)"
1,04/24/19 03:00:00 PM,,,12.3965,,,,,
2,04/24/19 03:30:00 PM,,,12.3898,,,,,
3,04/24/19 04:00:00 PM,,,12.3858,,,,,
4,04/24/19 04:30:00 PM,,,12.3833,,,,,
5,04/24/19 05:00:00 PM,,,12.3845,,,,,
6,04/24/19 05:30:00 PM,,,12.3829,,,,,
7,04/24/19 06:00:00 PM,,,12.3825,,,,,
8,04/24/19 06:30:00 PM,,,12.3827,,,,,
9,04/24/19 07:00:00 PM,,,12.3867,,,,,
10,04/24/19 07:30:00 PM,,,12.3909,,,,,
11,04/24/19 08:00:00 PM,,,12.3961,,,,,
12,04/24/19 08:30:00 PM,,,12.4017,,,,,
13,04/24/19 09:00:00 PM,,,12.4051,,,,,
14,04/24/19 09:30:00 PM,,,12.4019,,,,,
15,04/24/19 10:00:00 PM,,,12.4035,,,,,
16,04/24/19 10:30:00 PM,,,12.4078,,,,,
17,04/24/19 11:00:00 PM,,,12.4061,,,,,
18,04/24/19 11:30:00 PM,,,12.4074,,,,,
19,04/25/19 12:00:00 AM,,,12.4077,,,,,
20,04/25/19 12:30:00 AM,,,12.4062,,,,,
21,04/25/19 01:00:00 AM,,,12.4010,,,,,
22,04/25/19 01:30:00 AM,,,12.3987,,,,,
23,04/25/19 02:00:00 AM,,,12.4020,,,,,
24,04/25/19 02:30:00 AM,,,12.4020,,,,,
25,04/25/19 03:00:00 AM,,,12.4026,,,,,
26,04/25/19 03:30:00 AM,,,12.4051,,,,,
27,04/25/19 04:00:00 AM,,,12.4006,,,,,
28,04/25/19 04:30:00 AM,,,12.4012,,,,,
29,04/25/19 05:00:00 AM,,,12.4019,,,,,
30,04/25/19 05:30:00 AM,,,12.4046,,,,,
31,04/25/19 06:00:00 AM,,,12.4064,,,,,
32,04/25/19 06:30:00 AM,,,12.4091,,,,,
33,04/25/19 07:00:00 AM,,,12.4104,,,,,
34,04/25/19 07:30:00 AM,,,12.4078,,,,,
35,04/25/19 08:00:00 AM,,,12.4057,,,,,
36,04/25/19 08:30:00 AM,,,12.4059,,,,,
37,04/25/19 09:00:00 AM,,,12.4019,,,,,
38,04/25/19 09:30:00 AM,,,12.4025,,,,,
39,04/25/19 10:00:00 AM,,,12.4030,,,,,
40,04/25/19 10:30:00 AM,,,12.4023,,,,,
41,04/25/19 11:00:00 AM,,,12.3981,,,,,
42,04/25/19 11:30:00 AM,,,12.3946,,,,,
43,04/25/19 12:00:00 PM,,,12.3948,,,,,
44,04/25/19 12:30:00 PM,,,12.3935,,,,,
45,04/25/19 01:00:00 PM,,,12.3930,,,,,
46,04/25/19 01:30:00 PM,,,12.3930,,,,,
47,04/25/19 02:00:00 PM,,,12.3888,,,,,
48,04/25/19 02:30:00 PM,,,12.3854,,,,,
49,04/25/19 03:00:00 PM,,,12.3832,,,,,
50,04/25/19 03:30:00 PM,,,12.3811,,,,,
51,04/25/19 04:00:00 PM,,,12.3771,,,,,
52,04/25/19 04:30:00 PM,,,12.3798,,,,,
53,04/25/19 05:00:00 PM,,,12.3790,,,,,
54,04/25/19 05:30:00 PM,,,12.3764,,,,,
55,04/25/19 06:00:00 PM,,,12.3755,,,,,
56,04/25/19 06:30:00 PM,,,12.3772,,,,,
57,04/25/19 07:00:00 PM,,,12.3835,,,,,
58,04/25/19 07:30:00 PM,,,12.3854,,,,,
59,04/25/19 08:00:00 PM,,,12.3890,,,,,
60,04/25/19 08:30:00 PM,,,12.3952,,,,,
61,04/25/19 09:00:00 PM,,,12.3972,,,,,
62,04/25/19 09:30:00 PM,,,12.3999,,,,,
63,04/25/19 10:00:00 PM,,,12.3972,,,,,
64,04/25/19 10:30:00 PM,,,12.3970,,,,,
65,04/25/19 11:00:00 PM,,,12.3965,,,,,
66,04/25/19 11:30:00 PM,,,12.3988,,,,,
67,04/26/19 12:00:00 AM,,,12.4001,,,,,
68,04/26/19 12:30:00 AM,,,12.3974,,,,,
69,04/26/19 01:00:00 AM,,,12.3952,,,,,
70,04/26/19 01:30:00 AM,,,12.3932,,,,,
71,04/26/19 02:00:00 AM,,,12.3907,,,,,
72,04/26/19 02:30:00 AM,,,12.3942,,,,,
73,04/26/19 03:00:00 AM,,,12.3917,,,,,
74,04/26/19 03:30:00 AM,,,12.3965,,,,,
75,04/26/19 04:00:00 AM,,,12.3943,,,,,
76,04/26/19 04:30:00 AM,,,12.3936,,,,,
77,04/26/19 05:00:00 AM,,,12.3929,,,,,
78,04/26/19 05:30:00 AM,,,12.3964,,,,,
79,04/26/19 06:00:00 AM,,,12.3999,,,,,
80,04/26/19 06:30:00 AM,,,12.4006,,,,,
81,04/26/19 07:00:00 AM,,,12.3987,,,,,
82,04/26/19 07:30:00 AM,,,12.3933,,,,,
83,04/26/19 08:00:00 AM,,,12.3951,,,,,
84,04/26/19 08:30:00 AM,,,12.3939,,,,,
85,04/26/19 09:00:00 AM,,,12.3883,,,,,
86,04/26/19 09:30:00 AM,,,12.3888,,,,,
87,04/26/19 10:00:00 AM,,,12.3907,,,,,
88,04/26/19 10:30:00 AM,,,12.3917,,,,,
89,04/26/19 11:00:00 AM,,,12.3881,,,,,
90,04/26/19 11:30:00 AM,,,12.3839,,,,,
91,04/26/19 12:00:00 PM,,,12.3864,,,,,
92,04/26/19 12:30:00 PM,,,12.3862,,,,,
93,04/26/19 01:00:00 PM,,,12.3840,,,,,
94,04/26/19 01:30:00 PM,,,12.3861,,,,,
95,04/26/19 02:00:00 PM,,,12.3810,,,,,
