"Plot Title: CM0W"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20844450, SEN S/N: 20844450)","Temp, °F (LGR S/N: 20844450, SEN S/N: 20844450)","Abs Pres Barom., psi (LGR S/N: 20214178, SEN S/N: 20214178)","Sensor Depth, feet (LGR S/N: 20844450)","Coupler Detached (LGR S/N: 20844450)","Coupler Attached (LGR S/N: 20844450)","Host Connected (LGR S/N: 20844450)","Stopped (LGR S/N: 20844450)","End Of File (LGR S/N: 20844450)"
1,08/18/20 09:30:00 AM,13.1079,50.819,12.4692,1.474,Logged,,,,
2,08/18/20 10:00:00 AM,13.1011,49.759,12.4738,1.448,,,,,
3,08/18/20 10:30:00 AM,13.0989,49.582,12.4761,1.437,,,,,
4,08/18/20 11:00:00 AM,13.0944,49.582,12.4743,1.431,,,,,
5,08/18/20 11:30:00 AM,13.0930,49.582,12.4714,1.435,,,,,
6,08/18/20 12:00:00 PM,13.0869,49.582,12.4643,1.437,,,,,
7,08/18/20 12:30:00 PM,13.0854,49.582,12.4624,1.438,,,,,
8,08/18/20 01:00:00 PM,13.0779,49.582,12.4590,1.428,,,,,
9,08/18/20 01:30:00 PM,13.0750,49.582,12.4567,1.427,,,,,
10,08/18/20 02:00:00 PM,13.0779,49.582,12.4551,1.437,,,,,
11,08/18/20 02:30:00 PM,13.0734,49.582,12.4538,1.430,,,,,
12,08/18/20 03:00:00 PM,13.0734,49.582,12.4513,1.436,,,,,
13,08/18/20 03:30:00 PM,13.0660,49.582,12.4441,1.435,,,,,
14,08/18/20 04:00:00 PM,13.0630,49.582,12.4435,1.429,,,,,
15,08/18/20 04:30:00 PM,13.0585,49.582,12.4348,1.439,,,,,
16,08/18/20 05:00:00 PM,13.0570,49.582,12.4323,1.442,,,,,
17,08/18/20 05:30:00 PM,13.0540,49.582,12.4286,1.443,,,,,
18,08/18/20 06:00:00 PM,13.0525,49.582,12.4258,1.446,,,,,
19,08/18/20 06:30:00 PM,13.0480,49.582,12.4203,1.449,,,,,
20,08/18/20 07:00:00 PM,13.0450,49.582,12.4186,1.446,,,,,
21,08/18/20 07:30:00 PM,13.0495,49.582,12.4203,1.452,,,,,
22,08/18/20 08:00:00 PM,13.0509,49.582,12.4249,1.445,,,,,
23,08/18/20 08:30:00 PM,13.0540,49.582,12.4289,1.443,,,,,
24,08/18/20 09:00:00 PM,13.0554,49.582,12.4344,1.433,,,,,
25,08/18/20 09:30:00 PM,13.0585,49.582,12.4348,1.439,,,,,
26,08/18/20 10:00:00 PM,13.0585,49.582,12.4352,1.438,,,,,
27,08/18/20 10:30:00 PM,13.0585,49.582,12.4360,1.437,,,,,
28,08/18/20 11:00:00 PM,13.0570,49.582,12.4370,1.431,,,,,
29,08/18/20 11:30:00 PM,13.0525,49.582,12.4329,1.430,,,,,
30,08/19/20 12:00:00 AM,13.0540,49.582,12.4321,1.435,,,,,
31,08/19/20 12:30:00 AM,13.0509,49.582,12.4326,1.427,,,,,
32,08/19/20 01:00:00 AM,13.0540,49.582,12.4328,1.434,,,,,
33,08/19/20 01:30:00 AM,13.0509,49.582,12.4305,1.432,,,,,
34,08/19/20 02:00:00 AM,13.0509,49.582,12.4321,1.428,,,,,
35,08/19/20 02:30:00 AM,13.0464,49.582,12.4278,1.427,,,,,
36,08/19/20 03:00:00 AM,13.0450,49.582,12.4274,1.425,,,,,
37,08/19/20 03:30:00 AM,13.0419,49.582,12.4260,1.421,,,,,
38,08/19/20 04:00:00 AM,13.0405,49.582,12.4232,1.424,,,,,
39,08/19/20 04:30:00 AM,13.0390,49.582,12.4255,1.416,,,,,
40,08/19/20 05:00:00 AM,13.0360,49.582,12.4210,1.419,,,,,
41,08/19/20 05:30:00 AM,13.0360,49.582,12.4176,1.427,,,,,
42,08/19/20 06:00:00 AM,13.0345,49.582,12.4191,1.420,,,,,
43,08/19/20 06:30:00 AM,13.0329,49.582,12.4181,1.419,,,,,
44,08/19/20 07:00:00 AM,13.0374,49.582,12.4222,1.420,,,,,
45,08/19/20 07:30:00 AM,13.0419,49.582,12.4257,1.422,,,,,
46,08/19/20 08:00:00 AM,13.0405,49.582,12.4287,1.412,,,,,
47,08/19/20 08:30:00 AM,13.0329,49.582,12.4225,1.409,,,,,
48,08/19/20 09:00:00 AM,13.0315,49.582,12.4210,1.409,,,,,
49,08/19/20 09:30:00 AM,13.0315,49.582,12.4206,1.410,,,,,
50,08/19/20 10:00:00 AM,13.0329,49.582,12.4219,1.410,,,,,
51,08/19/20 10:30:00 AM,13.0315,49.582,12.4228,1.405,,,,,
52,08/19/20 11:00:00 AM,13.0315,49.582,12.4194,1.412,,,,,
53,08/19/20 11:30:00 AM,13.0315,49.582,12.4218,1.407,,,,,
54,08/19/20 12:00:00 PM,13.0329,49.582,12.4232,1.407,,,,,
55,08/19/20 12:30:00 PM,13.0329,49.582,12.4264,1.400,,,,,
