"Plot Title: CM2W"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20844447, SEN S/N: 20844447)","Temp, °F (LGR S/N: 20844447, SEN S/N: 20844447)","Abs Pres Barom., psi (LGR S/N: 20214178, SEN S/N: 20214178)","Sensor Depth, feet (LGR S/N: 20844447)","Coupler Detached (LGR S/N: 20844447)","Coupler Attached (LGR S/N: 20844447)","Host Connected (LGR S/N: 20844447)","End Of File (LGR S/N: 20844447)"
1,07/07/20 05:00:00 PM,12.5221,53.973,,0.122,Logged,,,
2,07/07/20 05:30:00 PM,12.5205,52.050,,0.119,,,,
3,07/07/20 06:00:00 PM,12.5178,51.523,,0.112,,,,
4,07/07/20 06:30:00 PM,12.5173,51.346,,0.111,,,,
5,07/07/20 07:00:00 PM,12.5159,51.346,,0.108,,,,
6,07/07/20 07:30:00 PM,12.5173,51.346,,0.111,,,,
7,07/07/20 08:00:00 PM,12.5156,51.172,,0.107,,,,
8,07/07/20 08:30:00 PM,12.5184,51.172,,0.113,,,,
9,07/07/20 09:00:00 PM,12.5156,51.172,,0.107,,,,
10,07/07/20 09:30:00 PM,12.5184,51.172,,0.113,,,,
11,07/07/20 10:00:00 PM,12.5227,51.172,,0.124,,,,
12,07/07/20 10:30:00 PM,12.5240,51.172,,0.127,,,,
13,07/07/20 11:00:00 PM,12.5227,51.172,,0.124,,,,
14,07/07/20 11:30:00 PM,12.5227,51.172,,0.124,,,,
15,07/08/20 12:00:00 AM,12.5227,51.172,,0.124,,,,
16,07/08/20 12:30:00 AM,12.5213,51.172,,0.120,,,,
17,07/08/20 01:00:00 AM,12.5213,51.172,,0.120,,,,
18,07/08/20 01:30:00 AM,12.5169,51.172,,0.110,,,,
19,07/08/20 02:00:00 AM,12.5184,51.172,,0.113,,,,
20,07/08/20 02:30:00 AM,12.5141,51.172,,0.104,,,,
21,07/08/20 03:00:00 AM,12.5141,51.172,,0.104,,,,
22,07/08/20 03:30:00 AM,12.5127,51.172,,0.100,,,,
23,07/08/20 04:00:00 AM,12.5112,51.172,,0.097,,,,
24,07/08/20 04:30:00 AM,12.5070,51.172,,0.087,,,,
25,07/08/20 05:00:00 AM,12.5098,51.172,,0.094,,,,
26,07/08/20 05:30:00 AM,12.5098,51.172,,0.094,,,,
27,07/08/20 06:00:00 AM,12.5112,51.172,,0.097,,,,
28,07/08/20 06:30:00 AM,12.5112,51.172,,0.097,,,,
29,07/08/20 07:00:00 AM,12.5112,51.172,,0.097,,,,
30,07/08/20 07:30:00 AM,12.5112,51.172,,0.097,,,,
31,07/08/20 08:00:00 AM,12.5098,51.172,,0.094,,,,
32,07/08/20 08:30:00 AM,12.5083,51.172,,0.090,,,,
33,07/08/20 09:00:00 AM,12.5070,51.172,,0.087,,,,
34,07/08/20 09:30:00 AM,12.5056,51.172,,0.084,,,,
35,07/08/20 10:00:00 AM,12.5041,51.172,,0.081,,,,
36,07/08/20 10:30:00 AM,12.4998,51.172,,0.071,,,,
37,07/08/20 11:00:00 AM,12.4985,51.172,,0.068,,,,
38,07/08/20 11:30:00 AM,12.4985,51.172,,0.068,,,,
39,07/08/20 12:00:00 PM,12.4956,51.172,,0.061,,,,
40,07/08/20 12:30:00 PM,12.4912,51.172,,0.051,,,,
41,07/08/20 01:00:00 PM,12.4899,51.172,,0.048,,,,
42,07/08/20 01:30:00 PM,12.4827,51.172,,0.031,,,,
43,07/08/20 02:00:00 PM,12.4827,51.172,,0.031,,,,
44,07/08/20 02:30:00 PM,12.4856,51.172,,0.038,,,,
45,07/08/20 03:00:00 PM,12.4841,51.172,,0.034,,,,
46,07/08/20 03:30:00 PM,12.4785,51.172,,0.021,,,,
47,07/08/20 04:00:00 PM,12.4756,51.172,,0.015,,,,
48,07/08/20 04:30:00 PM,12.4728,51.172,,0.008,,,,
49,07/08/20 05:00:00 PM,12.4699,51.172,,0.002,,,,
50,07/08/20 05:30:00 PM,12.4714,51.172,,0.005,,,,
51,07/08/20 06:00:00 PM,12.4685,51.172,,-0.002,,,,
52,07/08/20 06:30:00 PM,12.4685,51.172,,-0.002,,,,
53,07/08/20 07:00:00 PM,12.4699,51.172,,0.002,,,,
54,07/08/20 07:30:00 PM,12.4714,51.172,,0.005,,,,
55,07/08/20 08:00:00 PM,12.4728,51.172,,0.008,,,,
56,07/08/20 08:30:00 PM,12.4714,51.172,,0.005,,,,
57,07/08/20 09:00:00 PM,12.4743,51.172,,0.012,,,,
58,07/08/20 09:30:00 PM,12.4756,51.172,,0.015,,,,
59,07/08/20 10:00:00 PM,12.4785,51.172,,0.021,,,,
60,07/08/20 10:30:00 PM,12.4814,51.172,,0.028,,,,
61,07/08/20 11:00:00 PM,12.4799,51.172,,0.025,,,,
62,07/08/20 11:30:00 PM,12.4814,51.172,,0.028,,,,
63,07/09/20 12:00:00 AM,12.4814,51.172,,0.028,,,,
64,07/09/20 12:30:00 AM,12.4814,51.172,,0.028,,,,
65,07/09/20 01:00:00 AM,12.4814,51.172,,0.028,,,,
66,07/09/20 01:30:00 AM,12.4841,51.172,,0.034,,,,
67,07/09/20 02:00:00 AM,12.4827,51.172,,0.031,,,,
68,07/09/20 02:30:00 AM,12.4827,51.172,,0.031,,,,
69,07/09/20 03:00:00 AM,12.4799,51.172,,0.025,,,,
70,07/09/20 03:30:00 AM,12.4814,51.172,,0.028,,,,
71,07/09/20 04:00:00 AM,12.4770,51.172,,0.018,,,,
72,07/09/20 04:30:00 AM,12.4814,51.172,,0.028,,,,
73,07/09/20 05:00:00 AM,12.4770,51.172,,0.018,,,,
74,07/09/20 05:30:00 AM,12.4799,51.172,,0.025,,,,
75,07/09/20 06:00:00 AM,12.4799,51.172,,0.025,,,,
76,07/09/20 06:30:00 AM,12.4799,51.172,,0.025,,,,
77,07/09/20 07:00:00 AM,12.4814,51.172,,0.028,,,,
78,07/09/20 07:30:00 AM,12.4799,51.172,,0.025,,,,
79,07/09/20 08:00:00 AM,12.4799,51.172,,0.025,,,,
80,07/09/20 08:30:00 AM,12.4770,51.172,,0.018,,,,
81,07/09/20 09:00:00 AM,12.4756,51.172,,0.015,,,,
82,07/09/20 09:30:00 AM,12.4756,51.172,,0.015,,,,
83,07/09/20 10:00:00 AM,12.4714,51.172,,0.005,,,,
84,07/09/20 10:30:00 AM,12.4685,51.172,,-0.002,,,,
85,07/09/20 11:00:00 AM,12.4728,51.172,,0.008,,,,
86,07/09/20 11:30:00 AM,12.4743,51.172,,0.012,,,,
87,07/09/20 12:00:00 PM,12.4714,51.172,,0.005,,,,
88,07/09/20 12:30:00 PM,12.4699,51.172,,0.002,,,,
89,07/09/20 01:00:00 PM,12.4685,51.172,,-0.002,,,,
90,07/09/20 01:30:00 PM,12.4685,51.172,,-0.002,,,,
91,07/09/20 02:00:00 PM,12.4657,51.172,,-0.008,,,,
92,07/09/20 02:30:00 PM,12.4670,51.172,,-0.005,,,,
93,07/09/20 03:00:00 PM,12.4670,51.172,,-0.005,,,,
94,07/09/20 03:30:00 PM,12.4657,51.172,,-0.008,,,,
