Date,baro.pressure_psi,total.pressure_psi,temp.ref_F,water.level.above.sensor,ID
2020-07-07 17:00:00,12.3774,12.5221,53.973,0.334,CM2W
2020-07-07 17:30:00,12.3791,12.5205,52.05,0.326,CM2W
2020-07-07 18:00:00,12.3746,12.5178,51.523,0.33,CM2W
2020-07-07 18:30:00,12.3707,12.5173,51.346,0.338,CM2W
2020-07-07 19:00:00,12.3717,12.5159,51.346,0.333,CM2W
2020-07-07 19:30:00,12.374,12.5173,51.346,0.331,CM2W
2020-07-07 20:00:00,12.3716,12.5156,51.172,0.332,CM2W
2020-07-07 20:30:00,12.374,12.5184,51.172,0.333,CM2W
2020-07-07 21:00:00,12.3727,12.5156,51.172,0.33,CM2W
2020-07-07 21:30:00,12.3796,12.5184,51.172,0.32,CM2W
2020-07-07 22:00:00,12.3843,12.5227,51.172,0.319,CM2W
2020-07-07 22:30:00,12.388,12.524,51.172,0.314,CM2W
2020-07-07 23:00:00,12.3846,12.5227,51.172,0.319,CM2W
2020-07-07 23:30:00,12.3848,12.5227,51.172,0.318,CM2W
2020-07-08 00:00:00,12.3861,12.5227,51.172,0.315,CM2W
2020-07-08 00:30:00,12.3864,12.5213,51.172,0.311,CM2W
2020-07-08 01:00:00,12.3859,12.5213,51.172,0.312,CM2W
2020-07-08 01:30:00,12.3852,12.5169,51.172,0.304,CM2W
2020-07-08 02:00:00,12.3833,12.5184,51.172,0.312,CM2W
2020-07-08 02:30:00,12.3846,12.5141,51.172,0.299,CM2W
2020-07-08 03:00:00,12.3801,12.5141,51.172,0.309,CM2W
2020-07-08 03:30:00,12.3801,12.5127,51.172,0.306,CM2W
2020-07-08 04:00:00,12.3787,12.5112,51.172,0.306,CM2W
2020-07-08 04:30:00,12.379,12.507,51.172,0.295,CM2W
2020-07-08 05:00:00,12.3825,12.5098,51.172,0.294,CM2W
2020-07-08 05:30:00,12.3817,12.5098,51.172,0.296,CM2W
2020-07-08 06:00:00,12.383,12.5112,51.172,0.296,CM2W
2020-07-08 06:30:00,12.383,12.5112,51.172,0.296,CM2W
2020-07-08 07:00:00,12.3855,12.5112,51.172,0.29,CM2W
2020-07-08 07:30:00,12.3826,12.5112,51.172,0.297,CM2W
2020-07-08 08:00:00,12.3851,12.5098,51.172,0.288,CM2W
2020-07-08 08:30:00,12.3856,12.5083,51.172,0.283,CM2W
2020-07-08 09:00:00,12.3846,12.507,51.172,0.282,CM2W
2020-07-08 09:30:00,12.3903,12.5056,51.172,0.266,CM2W
2020-07-08 10:00:00,12.3875,12.5041,51.172,0.269,CM2W
2020-07-08 10:30:00,12.3846,12.4998,51.172,0.266,CM2W
2020-07-08 11:00:00,12.3819,12.4985,51.172,0.269,CM2W
2020-07-08 11:30:00,12.3782,12.4985,51.172,0.278,CM2W
2020-07-08 12:00:00,12.3722,12.4956,51.172,0.285,CM2W
2020-07-08 12:30:00,12.3708,12.4912,51.172,0.278,CM2W
2020-07-08 13:00:00,12.3666,12.4899,51.172,0.285,CM2W
2020-07-08 13:30:00,12.3658,12.4827,51.172,0.27,CM2W
2020-07-08 14:00:00,12.3668,12.4827,51.172,0.267,CM2W
2020-07-08 14:30:00,12.364,12.4856,51.172,0.281,CM2W
2020-07-08 15:00:00,12.3639,12.4841,51.172,0.277,CM2W
2020-07-08 15:30:00,12.3597,12.4785,51.172,0.274,CM2W
2020-07-08 16:00:00,12.3545,12.4756,51.172,0.279,CM2W
2020-07-08 16:30:00,12.3532,12.4728,51.172,0.276,CM2W
2020-07-08 17:00:00,12.3511,12.4699,51.172,0.274,CM2W
2020-07-08 17:30:00,12.352,12.4714,51.172,0.276,CM2W
2020-07-08 18:00:00,12.352,12.4685,51.172,0.269,CM2W
2020-07-08 18:30:00,12.3489,12.4685,51.172,0.276,CM2W
2020-07-08 19:00:00,12.3533,12.4699,51.172,0.269,CM2W
2020-07-08 19:30:00,12.3549,12.4714,51.172,0.269,CM2W
2020-07-08 20:00:00,12.3561,12.4728,51.172,0.269,CM2W
2020-07-08 20:30:00,12.3571,12.4714,51.172,0.264,CM2W
2020-07-08 21:00:00,12.3604,12.4743,51.172,0.263,CM2W
2020-07-08 21:30:00,12.3655,12.4756,51.172,0.254,CM2W
