"Plot Title: CMW2"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20844447, SEN S/N: 20844447)","Temp, °F (LGR S/N: 20844447, SEN S/N: 20844447)","Abs Pres Barom., psi (LGR S/N: 20844446, SEN S/N: 20844446)","Sensor Depth, feet (LGR S/N: 20844447)","Coupler Detached (LGR S/N: 20844447)","Coupler Attached (LGR S/N: 20844447)","Host Connected (LGR S/N: 20844447)","End Of File (LGR S/N: 20844447)"
1,07/06/21 08:30:00 AM,12.4609,53.973,,,Logged,,,
2,07/06/21 09:00:00 AM,12.4567,52.225,,,,,,
3,07/06/21 09:30:00 AM,12.4563,52.050,,,,,,
4,07/06/21 10:00:00 AM,12.4545,51.874,,,,,,
5,07/06/21 10:30:00 AM,12.4516,51.874,,,,,,
6,07/06/21 11:00:00 AM,12.4502,51.874,,,,,,
7,07/06/21 11:30:00 AM,12.4473,51.874,,,,,,
8,07/06/21 12:00:00 PM,12.4460,51.874,,,,,,
9,07/06/21 12:30:00 PM,12.4460,51.874,12.3594,0.200,,,,
10,07/06/21 01:00:00 PM,12.4445,51.874,12.3581,0.200,,,,
11,07/06/21 01:30:00 PM,12.4431,51.874,12.3574,0.198,,,,
12,07/06/21 02:00:00 PM,12.4445,51.874,12.3513,0.215,,,,
13,07/06/21 02:30:00 PM,12.4445,51.874,12.3481,0.223,,,,
14,07/06/21 03:00:00 PM,12.4374,51.874,12.3452,0.213,,,,
15,07/06/21 03:30:00 PM,12.4389,51.874,12.3466,0.213,,,,
16,07/06/21 04:00:00 PM,12.4374,51.874,12.3400,0.225,,,,
17,07/06/21 04:30:00 PM,12.4345,51.874,12.3391,0.220,,,,
18,07/06/21 05:00:00 PM,12.4331,51.874,12.3372,0.221,,,,
19,07/06/21 05:30:00 PM,12.4274,51.874,12.3359,0.211,,,,
20,07/06/21 06:00:00 PM,12.4289,51.874,12.3347,0.217,,,,
21,07/06/21 06:30:00 PM,12.4274,51.874,12.3343,0.215,,,,
22,07/06/21 07:00:00 PM,12.4274,51.874,12.3320,0.220,,,,
23,07/06/21 07:30:00 PM,12.4289,51.874,12.3324,0.223,,,,
24,07/06/21 08:00:00 PM,12.4303,51.874,12.3292,0.233,,,,
25,07/06/21 08:30:00 PM,12.4303,51.874,12.3292,0.233,,,,
26,07/06/21 09:00:00 PM,12.4316,51.874,12.3315,0.231,,,,
27,07/06/21 09:30:00 PM,12.4360,51.874,12.3373,0.228,,,,
28,07/06/21 10:00:00 PM,12.4374,51.874,12.3431,0.218,,,,
29,07/06/21 10:30:00 PM,12.4374,51.874,12.3458,0.212,,,,
30,07/06/21 11:00:00 PM,12.4389,51.874,12.3439,0.219,,,,
31,07/06/21 11:30:00 PM,12.4374,51.874,12.3453,0.213,,,,
32,07/07/21 12:00:00 AM,12.4389,51.874,12.3424,0.223,,,,
33,07/07/21 12:30:00 AM,12.4374,51.874,12.3459,0.211,,,,
34,07/07/21 01:00:00 AM,12.4389,51.874,12.3434,0.220,,,,
35,07/07/21 01:30:00 AM,12.4389,51.874,12.3418,0.224,,,,
36,07/07/21 02:00:00 AM,12.4389,51.874,12.3442,0.219,,,,
37,07/07/21 02:30:00 AM,12.4389,51.874,12.3423,0.223,,,,
38,07/07/21 03:00:00 AM,12.4402,51.874,12.3434,0.223,,,,
39,07/07/21 03:30:00 AM,12.4389,51.874,12.3459,0.215,,,,
40,07/07/21 04:00:00 AM,12.4345,51.874,12.3434,0.210,,,,
41,07/07/21 04:30:00 AM,12.4379,52.050,12.3405,0.225,,,,
42,07/07/21 05:00:00 AM,12.4374,51.874,12.3421,0.220,,,,
43,07/07/21 05:30:00 AM,12.4350,52.050,12.3401,0.219,,,,
44,07/07/21 06:00:00 AM,12.4345,51.874,12.3392,0.220,,,,
45,07/07/21 06:30:00 AM,12.4364,52.050,12.3400,0.223,,,,
46,07/07/21 07:00:00 AM,12.4392,52.050,12.3447,0.218,,,,
47,07/07/21 07:30:00 AM,12.4364,52.050,12.3469,0.207,,,,
48,07/07/21 08:00:00 AM,12.4335,52.050,12.3447,0.205,,,,
49,07/07/21 08:30:00 AM,12.4321,52.050,12.3485,0.193,,,,
50,07/07/21 09:00:00 AM,12.4306,52.050,12.3489,0.188,,,,
51,07/07/21 09:30:00 AM,12.4306,52.050,12.3401,0.209,,,,
52,07/07/21 10:00:00 AM,12.4264,52.050,12.3434,0.191,,,,
53,07/07/21 10:30:00 AM,12.4235,52.050,12.3439,0.184,,,,
54,07/07/21 11:00:00 AM,12.4220,52.050,12.3424,0.184,,,,
55,07/07/21 11:30:00 AM,12.4220,52.050,12.3426,0.183,,,,
56,07/07/21 12:00:00 PM,12.4235,52.050,12.3404,0.192,,,,
57,07/07/21 12:30:00 PM,12.4193,52.050,12.3392,0.185,,,,
58,07/07/21 01:00:00 PM,12.4178,52.050,12.3363,0.188,,,,
59,07/07/21 01:30:00 PM,12.4136,52.050,12.3310,0.191,,,,
60,07/07/21 02:00:00 PM,12.4136,52.050,12.3273,0.199,,,,
61,07/07/21 02:30:00 PM,12.4107,52.050,12.3275,0.192,,,,
