"Plot Title: ATM"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 10672171, SEN S/N: 10672171)","Temp, °F (LGR S/N: 10672171, SEN S/N: 10672171)","Coupler Detached (LGR S/N: 10672171)","Coupler Attached (LGR S/N: 10672171)","Host Connected (LGR S/N: 10672171)","End Of File (LGR S/N: 10672171)"
1,07/10/20 08:30:00 AM,12.3649,57.958,Logged,,,
2,07/10/20 09:00:00 AM,12.3701,60.024,,,,
3,07/10/20 09:30:00 AM,12.3710,66.022,,,,
4,07/10/20 10:00:00 AM,12.3687,70.824,,,,
5,07/10/20 10:30:00 AM,12.3733,74.791,,,,
6,07/10/20 11:00:00 AM,12.3753,83.757,,,,
7,07/10/20 11:30:00 AM,12.3740,87.368,,,,
8,07/10/20 12:00:00 PM,12.3682,86.823,,,,
9,07/10/20 12:30:00 PM,12.3751,85.735,,,,
10,07/10/20 01:00:00 PM,12.3701,85.554,,,,
11,07/10/20 01:30:00 PM,12.3684,89.017,,,,
12,07/10/20 02:00:00 PM,12.3677,88.650,,,,
13,07/10/20 02:30:00 PM,12.3645,87.186,,,,
14,07/10/20 03:00:00 PM,12.3664,88.099,,,,
15,07/10/20 03:30:00 PM,12.3616,90.124,,,,
16,07/10/20 04:00:00 PM,12.3627,90.680,,,,
17,07/10/20 04:30:00 PM,12.3626,88.466,,,,
18,07/10/20 05:00:00 PM,12.3610,87.733,,,,
19,07/10/20 05:30:00 PM,12.3568,92.174,,,,
20,07/10/20 06:00:00 PM,12.3579,92.737,,,,
21,07/10/20 06:30:00 PM,12.3559,91.800,,,,
22,07/10/20 07:00:00 PM,12.3552,83.043,,,,
23,07/10/20 07:30:00 PM,12.3616,79.678,,,,
24,07/10/20 08:00:00 PM,12.3606,73.234,,,,
25,07/10/20 08:30:00 PM,12.3655,67.564,,,,
26,07/10/20 09:00:00 PM,12.3656,61.912,,,,
27,07/10/20 09:30:00 PM,12.3682,57.441,,,,
28,07/10/20 10:00:00 PM,12.3695,54.322,,,,
29,07/10/20 10:30:00 PM,12.3665,51.346,,,,
30,07/10/20 11:00:00 PM,12.3703,49.228,,,,
31,07/10/20 11:30:00 PM,12.3743,47.266,,,,
32,07/11/20 12:00:00 AM,12.3782,45.286,,,,
