Date,water.level.above.sensor_MM2W,water.level.above.sensor_MM3W,water.level.above.sensor_MM4W,water.level.above.sensor_MM5W,water.level.above.sensor_MM7W,depth.gw_ft_MM2W,depth.gw_ft_MM3W,depth.gw_ft_MM4W,depth.gw_ft_MM5W,depth.gw_ft_MM7W,water.level.above.sensor_MM6W,depth.gw_ft_MM6W,WY
2019-04-27,NA,NA,NA,NA,8.414,NA,NA,NA,NA,1.044,NA,NA,2019
2019-05-04,NA,NA,NA,NA,8.28,NA,NA,NA,NA,1.178,NA,NA,2019
2019-05-11,NA,NA,NA,NA,8.281,NA,NA,NA,NA,1.177,NA,NA,2019
2019-05-18,NA,NA,NA,NA,8.405,NA,NA,NA,NA,1.053,NA,NA,2019
2019-05-25,NA,NA,NA,NA,8.368,NA,NA,NA,NA,1.09,NA,NA,2019
2019-06-01,NA,8.182,NA,NA,8.052,NA,1.151,NA,NA,1.406,NA,NA,2019
2019-06-08,NA,7.614,NA,NA,7.95,NA,1.719,NA,NA,1.508,NA,NA,2019
2019-06-15,NA,7.215,NA,NA,7.494,NA,2.118,NA,NA,1.964,NA,NA,2019
2019-06-22,NA,6.797,NA,NA,7.128,NA,2.536,NA,NA,2.33,NA,NA,2019
2019-06-29,NA,6.491,NA,NA,6.823,NA,2.842,NA,NA,2.635,NA,NA,2019
2019-07-06,NA,6.258,NA,NA,6.57,NA,3.075,NA,NA,2.888,NA,NA,2019
2019-07-13,NA,5.992,NA,NA,6.316,NA,3.341,NA,NA,3.142,NA,NA,2019
2019-07-20,NA,5.671,NA,NA,5.978,NA,3.662,NA,NA,3.48,NA,NA,2019
2019-07-27,NA,5.421,NA,NA,5.579,NA,3.912,NA,NA,3.879,NA,NA,2019
2019-08-03,NA,5.203,NA,NA,5.266,NA,4.13,NA,NA,4.192,NA,NA,2019
2019-08-10,NA,4.743,NA,NA,4.957,NA,4.59,NA,NA,4.501,NA,NA,2019
2019-08-17,NA,4.266,NA,NA,4.653,NA,5.067,NA,NA,4.805,NA,NA,2019
2019-08-24,NA,3.786,NA,NA,4.349,NA,5.547,NA,NA,5.109,NA,NA,2019
2019-08-31,NA,3.422,NA,NA,4.052,NA,5.911,NA,NA,5.406,NA,NA,2019
2019-09-07,NA,3.146,NA,NA,3.768,NA,6.187,NA,NA,5.69,NA,NA,2019
2019-09-14,NA,2.933,NA,NA,3.615,NA,6.4,NA,NA,5.843,NA,NA,2019
2019-09-21,NA,2.7,NA,NA,3.465,NA,6.633,NA,NA,5.993,NA,NA,2019
2019-09-28,NA,2.533,NA,NA,3.296,NA,6.8,NA,NA,6.162,NA,NA,2019
2019-10-05,NA,2.202,NA,NA,3.118,NA,7.131,NA,NA,6.34,NA,NA,2020
2019-10-12,NA,2.006,NA,NA,2.967,NA,7.327,NA,NA,6.491,NA,NA,2020
2019-10-19,NA,1.698,NA,NA,2.813,NA,7.635,NA,NA,6.645,NA,NA,2020
2019-10-26,NA,1.488,NA,NA,2.635,NA,7.845,NA,NA,6.823,NA,NA,2020
