Date,baro.pressure_psi,total.pressure_psi,temp.ref_F,water.level.above.sensor,ID
2020-04-25 16:00:00,12.4145,15.4092,49.404,6.91,MM3W
2020-04-25 16:30:00,12.4106,15.4091,44.379,6.917,MM3W
2020-04-25 17:00:00,12.4088,15.4179,43.648,6.941,MM3W
2020-04-25 17:30:00,12.4096,15.4278,43.466,6.962,MM3W
2020-04-25 18:00:00,12.4077,15.4346,43.282,6.983,MM3W
2020-04-25 18:30:00,12.4074,15.4391,43.282,6.994,MM3W
2020-04-25 19:00:00,12.4083,15.4499,43.282,7.016,MM3W
2020-04-25 19:30:00,12.4057,15.4499,43.282,7.022,MM3W
2020-04-25 20:00:00,12.403,15.4559,43.282,7.042,MM3W
2020-04-25 20:30:00,12.4058,15.4651,43.282,7.057,MM3W
2020-04-25 21:00:00,12.4074,15.4713,43.282,7.068,MM3W
2020-04-25 21:30:00,12.4135,15.4805,43.282,7.075,MM3W
2020-04-25 22:00:00,12.4171,15.4896,43.282,7.088,MM3W
2020-04-25 22:30:00,12.4162,15.4926,43.282,7.097,MM3W
2020-04-25 23:00:00,12.4148,15.491,43.282,7.096,MM3W
2020-04-25 23:30:00,12.4154,15.4934,43.099,7.1,MM3W
2020-04-26 00:00:00,12.4181,15.4995,43.099,7.108,MM3W
2020-04-26 00:30:00,12.418,15.5025,43.099,7.115,MM3W
2020-04-26 01:00:00,12.4145,15.5025,43.099,7.123,MM3W
2020-04-26 01:30:00,12.4168,15.5055,43.099,7.125,MM3W
2020-04-26 02:00:00,12.4123,15.5055,43.099,7.135,MM3W
2020-04-26 02:30:00,12.4122,15.507,43.099,7.139,MM3W
2020-04-26 03:00:00,12.4109,15.5055,43.099,7.139,MM3W
2020-04-26 03:30:00,12.4067,15.504,43.099,7.145,MM3W
2020-04-26 04:00:00,12.407,15.507,43.099,7.151,MM3W
2020-04-26 04:30:00,12.4086,15.5086,43.099,7.151,MM3W
2020-04-26 05:00:00,12.4033,15.504,43.099,7.153,MM3W
2020-04-26 05:30:00,12.4036,15.507,43.099,7.159,MM3W
2020-04-26 06:00:00,12.4044,15.5086,43.099,7.161,MM3W
2020-04-26 06:30:00,12.4054,15.51,43.099,7.162,MM3W
2020-04-26 07:00:00,12.4074,15.5131,43.099,7.164,MM3W
2020-04-26 07:30:00,12.4106,15.5193,43.099,7.171,MM3W
2020-04-26 08:00:00,12.4126,15.5177,43.099,7.163,MM3W
2020-04-26 08:30:00,12.4151,15.5193,43.099,7.161,MM3W
2020-04-26 09:00:00,12.4125,15.5224,43.099,7.174,MM3W
2020-04-26 09:30:00,12.4147,15.5208,43.099,7.165,MM3W
2020-04-26 10:00:00,12.4196,15.5224,43.099,7.158,MM3W
2020-04-26 10:30:00,12.4191,15.5238,43.099,7.162,MM3W
2020-04-26 11:00:00,12.4162,15.5224,43.099,7.165,MM3W
2020-04-26 11:30:00,12.4086,15.5224,43.099,7.183,MM3W
2020-04-26 12:00:00,12.4058,15.5193,43.099,7.182,MM3W
2020-04-26 12:30:00,12.4004,15.5147,43.099,7.184,MM3W
2020-04-26 13:00:00,12.4007,15.5116,43.099,7.176,MM3W
2020-04-26 13:30:00,12.3943,15.507,43.099,7.18,MM3W
2020-04-26 14:00:00,12.3939,15.507,43.099,7.181,MM3W
2020-04-26 14:30:00,12.3958,15.5055,43.099,7.173,MM3W
2020-04-26 15:00:00,12.3913,15.504,43.099,7.18,MM3W
2020-04-26 15:30:00,12.3939,15.5055,43.099,7.178,MM3W
2020-04-26 16:00:00,12.3935,15.504,43.099,7.175,MM3W
2020-04-26 16:30:00,12.3887,15.5055,43.099,7.19,MM3W
2020-04-26 17:00:00,12.3874,15.504,43.099,7.189,MM3W
2020-04-26 17:30:00,12.3893,15.504,43.099,7.185,MM3W
2020-04-26 18:00:00,12.3906,15.5055,43.099,7.185,MM3W
2020-04-26 18:30:00,12.3893,15.504,43.099,7.185,MM3W
2020-04-26 19:00:00,12.3898,15.504,43.099,7.184,MM3W
2020-04-26 19:30:00,12.3897,15.5086,43.099,7.195,MM3W
2020-04-26 20:00:00,12.3932,15.507,43.099,7.183,MM3W
2020-04-26 20:30:00,12.3965,15.507,43.099,7.175,MM3W
2020-04-26 21:00:00,12.403,15.5163,43.099,7.182,MM3W
2020-04-26 21:30:00,12.4067,15.5177,43.099,7.176,MM3W
2020-04-26 22:00:00,12.4171,15.5238,43.099,7.167,MM3W
2020-04-26 22:30:00,12.4205,15.5285,43.099,7.17,MM3W
2020-04-26 23:00:00,12.4229,15.5269,43.099,7.16,MM3W
2020-04-26 23:30:00,12.4167,15.5238,43.099,7.167,MM3W
2020-04-27 00:00:00,12.4155,15.5193,43.099,7.16,MM3W
2020-04-27 00:30:00,12.4171,15.5208,43.099,7.16,MM3W
2020-04-27 01:00:00,12.4174,15.5208,43.099,7.159,MM3W
2020-04-27 01:30:00,12.4187,15.5224,43.099,7.16,MM3W
2020-04-27 02:00:00,12.419,15.5208,43.099,7.155,MM3W
2020-04-27 02:30:00,12.4162,15.5163,43.099,7.151,MM3W
