"Plot Title: MMM top well"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20214129, SEN S/N: 20214129)","Temp, °F (LGR S/N: 20214129, SEN S/N: 20214129)","Coupler Detached (LGR S/N: 20214129)","Coupler Attached (LGR S/N: 20214129)","Host Connected (LGR S/N: 20214129)","Stopped (LGR S/N: 20214129)","End Of File (LGR S/N: 20214129)"
1,04/25/19 11:00:00 AM,16.2349,44.742,Logged,,,,
2,04/25/19 11:30:00 AM,16.2203,43.099,,,,,
3,04/25/19 12:00:00 PM,16.2077,42.915,,,,,
4,04/25/19 12:30:00 PM,16.1951,42.732,,,,,
5,04/25/19 01:00:00 PM,16.1848,42.732,,,,,
6,04/25/19 01:30:00 PM,16.1774,42.732,,,,,
7,04/25/19 02:00:00 PM,16.1716,42.732,,,,,
8,04/25/19 02:30:00 PM,16.1656,42.732,,,,,
9,04/25/19 03:00:00 PM,16.1613,42.732,,,,,
10,04/25/19 03:30:00 PM,16.1510,42.732,,,,,
11,04/25/19 04:00:00 PM,16.1494,42.732,,,,,
12,04/25/19 04:30:00 PM,16.1421,42.732,,,,,
13,04/25/19 05:00:00 PM,16.1391,42.732,,,,,
14,04/25/19 05:30:00 PM,16.1362,42.732,,,,,
15,04/25/19 06:00:00 PM,16.1333,42.732,,,,,
16,04/25/19 06:30:00 PM,16.1302,42.732,,,,,
17,04/25/19 07:00:00 PM,16.1288,42.732,,,,,
18,04/25/19 07:30:00 PM,16.1259,42.732,,,,,
19,04/25/19 08:00:00 PM,16.1244,42.732,,,,,
20,04/25/19 08:30:00 PM,16.1273,42.732,,,,,
21,04/25/19 09:00:00 PM,16.1259,42.732,,,,,
22,04/25/19 09:30:00 PM,16.1302,42.732,,,,,
23,04/25/19 10:00:00 PM,16.1288,42.732,,,,,
24,04/25/19 10:30:00 PM,16.1288,42.732,,,,,
25,04/25/19 11:00:00 PM,16.1259,42.732,,,,,
26,04/25/19 11:30:00 PM,16.1214,42.732,,,,,
