"Plot Title: MMM top well"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20214129, SEN S/N: 20214129)","Temp, °F (LGR S/N: 20214129, SEN S/N: 20214129)","Abs Pres Barom., psi (LGR S/N: 20214178, SEN S/N: 20214178)","Sensor Depth, feet (LGR S/N: 20214129)","Coupler Detached (LGR S/N: 20214129)","Coupler Attached (LGR S/N: 20214129)","Host Connected (LGR S/N: 20214129)","End Of File (LGR S/N: 20214129)"
1,04/24/19 04:00:00 PM,,,12.3965,,,,,
2,04/24/19 04:30:00 PM,,,12.3898,,,,,
3,04/24/19 05:00:00 PM,,,12.3858,,,,,
4,04/24/19 05:30:00 PM,,,12.3833,,,,,
5,04/24/19 06:00:00 PM,,,12.3845,,,,,
6,04/24/19 06:30:00 PM,,,12.3829,,,,,
7,04/24/19 07:00:00 PM,,,12.3825,,,,,
8,04/24/19 07:30:00 PM,,,12.3827,,,,,
9,04/24/19 08:00:00 PM,,,12.3867,,,,,
10,04/24/19 08:30:00 PM,,,12.3909,,,,,
11,04/24/19 09:00:00 PM,,,12.3961,,,,,
12,04/24/19 09:30:00 PM,,,12.4017,,,,,
13,04/24/19 10:00:00 PM,,,12.4051,,,,,
14,04/24/19 10:30:00 PM,,,12.4019,,,,,
15,04/24/19 11:00:00 PM,,,12.4035,,,,,
16,04/24/19 11:30:00 PM,,,12.4078,,,,,
17,04/25/19 12:00:00 AM,,,12.4061,,,,,
18,04/25/19 12:30:00 AM,,,12.4074,,,,,
19,04/25/19 01:00:00 AM,,,12.4077,,,,,
20,04/25/19 01:30:00 AM,,,12.4062,,,,,
21,04/25/19 02:00:00 AM,,,12.4010,,,,,
22,04/25/19 02:30:00 AM,,,12.3987,,,,,
23,04/25/19 03:00:00 AM,,,12.4020,,,,,
24,04/25/19 03:30:00 AM,,,12.4020,,,,,
25,04/25/19 04:00:00 AM,,,12.4026,,,,,
26,04/25/19 04:30:00 AM,,,12.4051,,,,,
27,04/25/19 05:00:00 AM,,,12.4006,,,,,
28,04/25/19 05:30:00 AM,,,12.4012,,,,,
29,04/25/19 06:00:00 AM,,,12.4019,,,,,
30,04/25/19 06:30:00 AM,,,12.4046,,,,,
31,04/25/19 07:00:00 AM,,,12.4064,,,,,
32,04/25/19 07:30:00 AM,,,12.4091,,,,,
33,04/25/19 08:00:00 AM,,,12.4104,,,,,
34,04/25/19 08:30:00 AM,,,12.4078,,,,,
