Plot Title: MM4W,,,,,,,,,,,
#,"Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 10949901, SEN S/N: 10949901)","Temp, °F (LGR S/N: 10949901, SEN S/N: 10949901)","Abs Pres Barom., psi (LGR S/N: 20214178, SEN S/N: 20214178)","Sensor Depth, feet (LGR S/N: 10949901)","Abs Pres Barom., psi (LGR S/N: 20214178, SEN S/N: 20214178)","Sensor Depth, feet (LGR S/N: 10949901)",Coupler Detached (LGR S/N: 10949901),Coupler Attached (LGR S/N: 10949901),Host Connected (LGR S/N: 10949901),End Of File (LGR S/N: 10949901)
1,7/5/2021 18:30,12.383,58.82,,,,,Logged,,,
2,7/5/2021 19:00,12.3814,53.798,,,,,,,,
3,7/5/2021 19:30,12.3826,52.75,,,,,,,,
4,7/5/2021 20:00,12.3807,52.576,,,,,,,,
5,7/5/2021 20:30,12.383,52.401,,,,,,,,
6,7/5/2021 21:00,12.3845,52.401,,,,,,,,
7,7/5/2021 21:30,12.3887,52.401,,,,,,,,
8,7/5/2021 22:00,12.3901,52.401,,,,,,,,
9,7/5/2021 22:30,12.3958,52.401,,,,,,,,
10,7/5/2021 23:00,12.3958,52.401,,,,,,,,
11,7/5/2021 23:30,12.3958,52.401,,,,,,,,
12,7/6/2021 0:00,12.3958,52.401,,,,,,,,
13,7/6/2021 0:30,12.3943,52.401,,,,,,,,
14,7/6/2021 1:00,12.3943,52.401,,,,,,,,
15,7/6/2021 1:30,12.3943,52.401,,,,,,,,
16,7/6/2021 2:00,12.3929,52.401,,,,,,,,
17,7/6/2021 2:30,12.3971,52.401,,,,,,,,
18,7/6/2021 3:00,12.3971,52.401,,,,,,,,
19,7/6/2021 3:30,12.3986,52.401,,,,,,,,
20,7/6/2021 4:00,12.3986,52.401,,,,,,,,
21,7/6/2021 4:30,12.3971,52.401,,,,,,,,
22,7/6/2021 5:00,12.3971,52.401,,,,,,,,
23,7/6/2021 5:30,12.4,52.401,,,,,,,,
24,7/6/2021 6:00,12.3986,52.401,,,,,,,,
25,7/6/2021 6:30,12.4028,52.401,,,,,,,,
26,7/6/2021 7:00,12.4013,52.401,,,,,,,,
27,7/6/2021 7:30,12.4,52.401,,,,,,,,
28,7/6/2021 8:00,12.3986,52.401,,,,,,,,
29,7/6/2021 8:30,12.3986,52.401,,,,,,,,
30,7/6/2021 9:00,12.3986,52.401,,,,,,,,
31,7/6/2021 9:30,12.3986,52.401,12.436,-0.086,12.436,-0.086,,,,
32,7/6/2021 10:00,12.3971,52.401,12.4345,-0.086,12.4345,-0.086,,,,
33,7/6/2021 10:30,12.3958,52.401,12.4326,-0.085,12.4326,-0.085,,,,
34,7/6/2021 11:00,12.3929,52.401,12.4302,-0.086,12.4302,-0.086,,,,
35,7/6/2021 11:30,12.3914,52.401,12.4281,-0.085,12.4281,-0.085,,,,
36,7/6/2021 12:00,12.3858,52.401,12.4184,-0.075,12.4184,-0.075,,,,
37,7/6/2021 12:30,12.3858,52.401,12.4158,-0.069,12.4158,-0.069,,,,
38,7/6/2021 13:00,12.3845,52.401,12.4161,-0.073,12.4161,-0.073,,,,
39,7/6/2021 13:30,12.383,52.401,12.4162,-0.077,12.4162,-0.077,,,,
40,7/6/2021 14:00,12.3816,52.401,12.4196,-0.088,12.4196,-0.088,,,,
41,7/6/2021 14:30,12.3803,52.401,12.4154,-0.081,12.4154,-0.081,,,,
42,7/6/2021 15:00,12.3788,52.401,12.4154,-0.084,12.4154,-0.084,,,,
43,7/6/2021 15:30,12.3774,52.401,12.4115,-0.079,12.4115,-0.079,,,,
44,7/6/2021 16:00,12.3746,52.401,12.4025,-0.064,12.4025,-0.064,,,,
45,7/6/2021 16:30,12.3746,52.401,12.3972,-0.052,12.3972,-0.052,,,,
46,7/6/2021 17:00,12.3717,52.401,12.3959,-0.056,12.3959,-0.056,,,,
47,7/6/2021 17:30,12.369,52.401,12.3946,-0.059,12.3946,-0.059,,,,
48,7/6/2021 18:00,12.369,52.401,12.3941,-0.058,12.3941,-0.058,,,,
49,7/6/2021 18:30,12.3661,52.401,12.3925,-0.061,12.3925,-0.061,,,,
50,7/6/2021 19:00,12.369,52.401,12.3914,-0.052,12.3914,-0.052,,,,
51,7/6/2021 19:30,12.3723,52.576,12.3941,-0.05,12.3941,-0.05,,,,
52,7/6/2021 20:00,12.3723,52.576,12.3922,-0.046,12.3922,-0.046,,,,
53,7/6/2021 20:30,12.3723,52.576,12.3922,-0.046,12.3922,-0.046,,,,
54,7/6/2021 21:00,12.3736,52.576,12.3965,-0.053,12.3965,-0.053,,,,
55,7/6/2021 21:30,12.3765,52.576,12.3986,-0.051,12.3986,-0.051,,,,
56,7/6/2021 22:00,12.3807,52.576,12.4025,-0.05,12.4025,-0.05,,,,
57,7/6/2021 22:30,12.3822,52.576,12.4035,-0.049,12.4035,-0.049,,,,
58,7/6/2021 23:00,12.3822,52.576,12.4032,-0.049,12.4032,-0.049,,,,
59,7/6/2021 23:30,12.3807,52.576,12.4026,-0.051,12.4026,-0.051,,,,
60,7/7/2021 0:00,12.3807,52.576,12.4041,-0.054,12.4041,-0.054,,,,
61,7/7/2021 0:30,12.3807,52.576,12.4041,-0.054,12.4041,-0.054,,,,
62,7/7/2021 1:00,12.3807,52.576,12.4054,-0.057,12.4054,-0.057,,,,
63,7/7/2021 1:30,12.3822,52.576,12.4093,-0.063,12.4093,-0.063,,,,
64,7/7/2021 2:00,12.3822,52.576,12.4054,-0.054,12.4054,-0.054,,,,
65,7/7/2021 2:30,12.3807,52.576,12.4084,-0.064,12.4084,-0.064,,,,
66,7/7/2021 3:00,12.3822,52.576,12.4094,-0.063,12.4094,-0.063,,,,
67,7/7/2021 3:30,12.3822,52.576,12.4086,-0.061,12.4086,-0.061,,,,
68,7/7/2021 4:00,12.3807,52.576,12.4054,-0.057,12.4054,-0.057,,,,
69,7/7/2021 4:30,12.3765,52.576,12.4061,-0.068,12.4061,-0.068,,,,
70,7/7/2021 5:00,12.378,52.576,12.4046,-0.062,12.4046,-0.062,,,,
71,7/7/2021 5:30,12.3793,52.576,12.4042,-0.058,12.4042,-0.058,,,,
72,7/7/2021 6:00,12.3765,52.576,12.4045,-0.065,12.4045,-0.065,,,,
73,7/7/2021 6:30,12.378,52.576,12.4055,-0.064,12.4055,-0.064,,,,
74,7/7/2021 7:00,12.3793,52.576,12.407,-0.064,12.407,-0.064,,,,
75,7/7/2021 7:30,12.378,52.576,12.4051,-0.063,12.4051,-0.063,,,,
76,7/7/2021 8:00,12.3765,52.576,12.4086,-0.074,12.4086,-0.074,,,,
77,7/7/2021 8:30,12.3765,52.576,12.4075,-0.072,12.4075,-0.072,,,,
78,7/7/2021 9:00,12.3751,52.576,12.4048,-0.069,12.4048,-0.069,,,,
79,7/7/2021 9:30,12.3751,52.576,12.4106,-0.082,12.4106,-0.082,,,,
80,7/7/2021 10:00,12.3708,52.576,12.4091,-0.088,12.4091,-0.088,,,,
81,7/7/2021 10:30,12.3694,52.576,12.4055,-0.083,12.4055,-0.083,,,,
82,7/7/2021 11:00,12.3666,52.576,12.4059,-0.091,12.4059,-0.091,,,,
83,7/7/2021 11:30,12.3637,52.576,12.4023,-0.089,12.4023,-0.089,,,,
84,7/7/2021 12:00,12.3637,52.576,12.3946,-0.071,12.3946,-0.071,,,,
85,7/7/2021 12:30,12.361,52.576,12.3927,-0.073,12.3927,-0.073,,,,
86,7/7/2021 13:00,12.3582,52.576,12.3923,-0.079,12.3923,-0.079,,,,
87,7/7/2021 13:30,12.3553,52.576,12.3901,-0.08,12.3901,-0.08,,,,
88,7/7/2021 14:00,12.3539,52.576,12.3872,-0.077,12.3872,-0.077,,,,
89,7/7/2021 14:30,12.3511,52.576,12.3898,-0.089,12.3898,-0.089,,,,
90,7/7/2021 15:00,12.3497,52.576,12.3877,-0.088,12.3877,-0.088,,,,
91,7/7/2021 15:30,12.3469,52.576,12.3811,-0.079,12.3811,-0.079,,,,
92,7/7/2021 16:00,12.3455,52.576,12.3756,-0.07,12.3756,-0.07,,,,
93,7/7/2021 16:30,12.3427,52.576,12.3724,-0.069,12.3724,-0.069,,,,
94,7/7/2021 17:00,12.3398,52.576,12.3716,-0.073,12.3716,-0.073,,,,
95,7/7/2021 17:30,12.3385,52.576,12.3675,-0.067,12.3675,-0.067,,,,
96,7/7/2021 18:00,12.3385,52.576,12.3695,-0.072,12.3695,-0.072,,,,
97,7/7/2021 18:30,12.3398,52.576,12.3666,-0.062,12.3666,-0.062,,,,
98,7/7/2021 19:00,12.3413,52.576,12.3646,-0.054,12.3646,-0.054,,,,
99,7/7/2021 19:30,12.344,52.576,12.3645,-0.047,12.3645,-0.047,,,,
100,7/7/2021 20:00,12.3413,52.576,12.364,-0.053,12.364,-0.053,,,,
