Date,baro.pressure_psi,total.pressure_psi,temp.ref_F,water.level.above.sensor,ID
2020-07-07 09:00:00,12.3942,12.3798,58.131,-0.033,MM2W
2020-07-07 09:30:00,12.4025,12.4007,55.884,-0.004,MM2W
2020-07-07 10:00:00,12.4039,12.4058,55.537,0.004,MM2W
2020-07-07 10:30:00,12.4041,12.3826,57.441,-0.05,MM2W
2020-07-07 11:00:00,12.399,12.3964,55.884,-0.006,MM2W
2020-07-07 11:30:00,12.3954,12.3971,55.537,0.004,MM2W
2020-07-07 12:00:00,12.3907,12.3986,55.537,0.018,MM2W
2020-07-07 12:30:00,12.3875,12.3938,55.364,0.015,MM2W
2020-07-07 13:00:00,12.3903,12.3938,55.364,0.008,MM2W
2020-07-07 13:30:00,12.3893,12.3865,55.364,-0.006,MM2W
2020-07-07 14:00:00,12.3885,12.3909,55.364,0.006,MM2W
2020-07-07 14:30:00,12.3832,12.3894,55.364,0.014,MM2W
2020-07-07 15:00:00,12.3838,12.3865,55.364,0.006,MM2W
2020-07-07 15:30:00,12.3791,12.3865,55.364,0.017,MM2W
2020-07-07 16:00:00,12.3769,12.388,55.364,0.026,MM2W
2020-07-07 16:30:00,12.3724,12.388,55.364,0.036,MM2W
2020-07-07 17:00:00,12.3774,12.388,55.364,0.024,MM2W
2020-07-07 17:30:00,12.3791,12.3909,55.364,0.027,MM2W
2020-07-07 18:00:00,12.3746,12.3909,55.364,0.038,MM2W
2020-07-07 18:30:00,12.3707,12.3967,55.364,0.06,MM2W
2020-07-07 19:00:00,12.3717,12.3967,55.364,0.058,MM2W
2020-07-07 19:30:00,12.374,12.3967,55.364,0.052,MM2W
2020-07-07 20:00:00,12.3716,12.3923,55.364,0.048,MM2W
2020-07-07 20:30:00,12.374,12.3923,55.364,0.042,MM2W
2020-07-07 21:00:00,12.3727,12.3952,55.364,0.052,MM2W
2020-07-07 21:30:00,12.3796,12.3909,55.364,0.026,MM2W
2020-07-07 22:00:00,12.3843,12.388,55.364,0.009,MM2W
2020-07-07 22:30:00,12.388,12.3865,55.364,-0.003,MM2W
2020-07-07 23:00:00,12.3846,12.3822,55.364,-0.006,MM2W
2020-07-07 23:30:00,12.3848,12.3836,55.364,-0.003,MM2W
2020-07-08 00:00:00,12.3861,12.3822,55.364,-0.009,MM2W
2020-07-08 00:30:00,12.3864,12.3778,55.364,-0.02,MM2W
2020-07-08 01:00:00,12.3859,12.3749,55.364,-0.025,MM2W
2020-07-08 01:30:00,12.3852,12.3735,55.364,-0.027,MM2W
2020-07-08 02:00:00,12.3833,12.3677,55.364,-0.036,MM2W
2020-07-08 02:30:00,12.3846,12.3677,55.364,-0.039,MM2W
2020-07-08 03:00:00,12.3801,12.3662,55.364,-0.032,MM2W
2020-07-08 03:30:00,12.3801,12.3662,55.364,-0.032,MM2W
2020-07-08 04:00:00,12.3787,12.3677,55.364,-0.025,MM2W
2020-07-08 04:30:00,12.379,12.3662,55.364,-0.03,MM2W
2020-07-08 05:00:00,12.3825,12.3662,55.364,-0.038,MM2W
2020-07-08 05:30:00,12.3817,12.3677,55.364,-0.032,MM2W
2020-07-08 06:00:00,12.383,12.3662,55.364,-0.039,MM2W
2020-07-08 06:30:00,12.383,12.3706,55.364,-0.029,MM2W
2020-07-08 07:00:00,12.3855,12.3677,55.364,-0.041,MM2W
2020-07-08 07:30:00,12.3826,12.3677,55.364,-0.034,MM2W
2020-07-08 08:00:00,12.3851,12.3677,55.364,-0.04,MM2W
2020-07-08 08:30:00,12.3856,12.3677,55.364,-0.041,MM2W
2020-07-08 09:00:00,12.3846,12.3619,55.364,-0.052,MM2W
2020-07-08 09:30:00,12.3903,12.3604,55.364,-0.069,MM2W
2020-07-08 10:00:00,12.3875,12.3619,55.364,-0.059,MM2W
2020-07-08 10:30:00,12.3846,12.359,55.364,-0.059,MM2W
2020-07-08 11:00:00,12.3819,12.3561,55.364,-0.06,MM2W
2020-07-08 11:30:00,12.3782,12.3507,55.537,-0.063,MM2W
2020-07-08 12:00:00,12.3722,12.3449,55.537,-0.063,MM2W
2020-07-08 12:30:00,12.3708,12.3434,55.537,-0.063,MM2W
2020-07-08 13:00:00,12.3666,12.3405,55.537,-0.06,MM2W
2020-07-08 13:30:00,12.3658,12.3347,55.537,-0.072,MM2W
2020-07-08 14:00:00,12.3668,12.3347,55.537,-0.074,MM2W
2020-07-08 14:30:00,12.364,12.3333,55.537,-0.071,MM2W
2020-07-08 15:00:00,12.3639,12.3333,55.537,-0.071,MM2W
2020-07-08 15:30:00,12.3597,12.3318,55.537,-0.064,MM2W
2020-07-08 16:00:00,12.3545,12.3304,55.537,-0.056,MM2W
2020-07-08 16:30:00,12.3532,12.326,55.537,-0.063,MM2W
2020-07-08 17:00:00,12.3511,12.326,55.537,-0.058,MM2W
2020-07-08 17:30:00,12.352,12.3275,55.537,-0.057,MM2W
2020-07-08 18:00:00,12.352,12.3275,55.537,-0.057,MM2W
2020-07-08 18:30:00,12.3489,12.3318,55.537,-0.039,MM2W
