Date,baro.pressure_psi,total.pressure_psi,temp.ref_F,water.level.above.sensor,ID
2020-07-07 10:30:00,12.4041,12.4651,67.906,0.141,MM4W
2020-07-07 11:00:00,12.399,12.4899,53.798,0.21,MM4W
2020-07-07 11:30:00,12.3954,12.4893,52.576,0.217,MM4W
2020-07-07 12:00:00,12.3907,12.4896,52.225,0.228,MM4W
2020-07-07 12:30:00,12.3875,12.4877,52.05,0.231,MM4W
2020-07-07 13:00:00,12.3903,12.4835,52.05,0.215,MM4W
2020-07-07 13:30:00,12.3893,12.4821,52.05,0.214,MM4W
2020-07-07 14:00:00,12.3885,12.4802,51.874,0.212,MM4W
2020-07-07 14:30:00,12.3832,12.476,51.874,0.214,MM4W
2020-07-07 15:00:00,12.3838,12.4746,51.874,0.21,MM4W
2020-07-07 15:30:00,12.3791,12.4718,51.874,0.214,MM4W
2020-07-07 16:00:00,12.3769,12.4703,51.874,0.216,MM4W
2020-07-07 16:30:00,12.3724,12.4703,51.874,0.226,MM4W
2020-07-07 17:00:00,12.3774,12.4703,51.874,0.214,MM4W
2020-07-07 17:30:00,12.3791,12.4689,51.874,0.207,MM4W
2020-07-07 18:00:00,12.3746,12.4647,51.874,0.208,MM4W
2020-07-07 18:30:00,12.3707,12.4661,51.874,0.22,MM4W
2020-07-07 19:00:00,12.3717,12.4647,51.874,0.215,MM4W
2020-07-07 19:30:00,12.374,12.4647,51.874,0.209,MM4W
2020-07-07 20:00:00,12.3716,12.4647,51.874,0.215,MM4W
2020-07-07 20:30:00,12.374,12.4632,51.874,0.206,MM4W
2020-07-07 21:00:00,12.3727,12.4661,51.874,0.216,MM4W
2020-07-07 21:30:00,12.3796,12.4689,51.874,0.206,MM4W
2020-07-07 22:00:00,12.3843,12.4703,51.874,0.198,MM4W
2020-07-07 22:30:00,12.388,12.476,51.874,0.203,MM4W
2020-07-07 23:00:00,12.3846,12.4731,51.874,0.204,MM4W
2020-07-07 23:30:00,12.3848,12.4718,51.874,0.201,MM4W
2020-07-08 00:00:00,12.3861,12.4718,51.874,0.198,MM4W
2020-07-08 00:30:00,12.3864,12.4718,51.874,0.197,MM4W
2020-07-08 01:00:00,12.3859,12.4718,51.874,0.198,MM4W
2020-07-08 01:30:00,12.3852,12.4674,51.874,0.19,MM4W
2020-07-08 02:00:00,12.3833,12.4661,51.874,0.191,MM4W
2020-07-08 02:30:00,12.3846,12.4647,51.874,0.185,MM4W
2020-07-08 03:00:00,12.3801,12.4647,51.874,0.195,MM4W
2020-07-08 03:30:00,12.3801,12.4632,51.874,0.192,MM4W
2020-07-08 04:00:00,12.3787,12.4619,51.874,0.192,MM4W
2020-07-08 04:30:00,12.379,12.4619,51.874,0.191,MM4W
2020-07-08 05:00:00,12.3825,12.4632,51.874,0.186,MM4W
2020-07-08 05:30:00,12.3817,12.4619,51.874,0.185,MM4W
2020-07-08 06:00:00,12.383,12.4632,51.874,0.185,MM4W
2020-07-08 06:30:00,12.383,12.4647,51.874,0.189,MM4W
2020-07-08 07:00:00,12.3855,12.4632,51.874,0.179,MM4W
2020-07-08 07:30:00,12.3826,12.4632,51.874,0.186,MM4W
2020-07-08 08:00:00,12.3851,12.4632,51.874,0.18,MM4W
2020-07-08 08:30:00,12.3856,12.4661,51.874,0.186,MM4W
2020-07-08 09:00:00,12.3846,12.4661,51.874,0.188,MM4W
2020-07-08 09:30:00,12.3903,12.4661,51.874,0.175,MM4W
2020-07-08 10:00:00,12.3875,12.4605,51.874,0.168,MM4W
2020-07-08 10:30:00,12.3846,12.4576,51.874,0.168,MM4W
2020-07-08 11:00:00,12.3819,12.4563,51.874,0.172,MM4W
2020-07-08 11:30:00,12.3782,12.4534,51.874,0.174,MM4W
2020-07-08 12:00:00,12.3722,12.4477,51.874,0.174,MM4W
2020-07-08 12:30:00,12.3708,12.4464,51.874,0.174,MM4W
2020-07-08 13:00:00,12.3666,12.4408,51.874,0.171,MM4W
2020-07-08 13:30:00,12.3658,12.4366,51.874,0.163,MM4W
2020-07-08 14:00:00,12.3668,12.4309,51.874,0.148,MM4W
2020-07-08 14:30:00,12.364,12.4294,51.874,0.151,MM4W
2020-07-08 15:00:00,12.3639,12.428,51.874,0.148,MM4W
2020-07-08 15:30:00,12.3597,12.4244,52.05,0.149,MM4W
2020-07-08 16:00:00,12.3545,12.4257,52.05,0.164,MM4W
2020-07-08 16:30:00,12.3532,12.4229,52.05,0.161,MM4W
2020-07-08 17:00:00,12.3511,12.4215,52.05,0.162,MM4W
2020-07-08 17:30:00,12.352,12.4202,52.05,0.157,MM4W
2020-07-08 18:00:00,12.352,12.4173,52.05,0.151,MM4W
2020-07-08 18:30:00,12.3489,12.4202,52.05,0.165,MM4W
2020-07-08 19:00:00,12.3533,12.4215,52.05,0.157,MM4W
2020-07-08 19:30:00,12.3549,12.4202,52.05,0.151,MM4W
2020-07-08 20:00:00,12.3561,12.4215,52.05,0.151,MM4W
2020-07-08 20:30:00,12.3571,12.4257,52.05,0.158,MM4W
2020-07-08 21:00:00,12.3604,12.4286,52.05,0.157,MM4W
2020-07-08 21:30:00,12.3655,12.4342,52.05,0.159,MM4W
2020-07-08 22:00:00,12.3687,12.4384,52.05,0.161,MM4W
2020-07-08 22:30:00,12.372,12.4412,52.05,0.16,MM4W
2020-07-08 23:00:00,12.3707,12.4412,52.05,0.163,MM4W
2020-07-08 23:30:00,12.3746,12.4441,52.05,0.16,MM4W
2020-07-09 00:00:00,12.3765,12.4468,52.05,0.162,MM4W
2020-07-09 00:30:00,12.3751,12.4468,52.05,0.165,MM4W
2020-07-09 01:00:00,12.378,12.4468,52.05,0.159,MM4W
