"Plot Title: atm control"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20214178, SEN S/N: 20214178)","Temp, °F (LGR S/N: 20214178, SEN S/N: 20214178)","Coupler Detached (LGR S/N: 20214178)","Coupler Attached (LGR S/N: 20214178)","Host Connected (LGR S/N: 20214178)","End Of File (LGR S/N: 20214178)"
1,08/18/20 09:30:00 AM,12.4692,73.753,Logged,,,
2,08/18/20 10:00:00 AM,12.4738,83.579,,,,
3,08/18/20 10:30:00 AM,12.4761,88.833,,,,
4,08/18/20 11:00:00 AM,12.4743,91.800,,,,
5,08/18/20 11:30:00 AM,12.4714,93.873,,,,
6,08/18/20 12:00:00 PM,12.4643,92.737,,,,
7,08/18/20 12:30:00 PM,12.4624,94.633,,,,
8,08/18/20 01:00:00 PM,12.4590,94.444,,,,
9,08/18/20 01:30:00 PM,12.4567,94.633,,,,
10,08/18/20 02:00:00 PM,12.4551,95.590,,,,
11,08/18/20 02:30:00 PM,12.4538,95.590,,,,
12,08/18/20 03:00:00 PM,12.4513,98.307,,,,
13,08/18/20 03:30:00 PM,12.4441,94.062,,,,
14,08/18/20 04:00:00 PM,12.4435,93.304,,,,
15,08/18/20 04:30:00 PM,12.4348,91.053,,,,
16,08/18/20 05:00:00 PM,12.4323,89.569,,,,
17,08/18/20 05:30:00 PM,12.4286,88.099,,,,
18,08/18/20 06:00:00 PM,12.4258,85.374,,,,
19,08/18/20 06:30:00 PM,12.4203,84.295,,,,
20,08/18/20 07:00:00 PM,12.4186,83.043,,,,
21,08/18/20 07:30:00 PM,12.4203,80.382,,,,
22,08/18/20 08:00:00 PM,12.4249,77.225,,,,
23,08/18/20 08:30:00 PM,12.4289,73.062,,,,
24,08/18/20 09:00:00 PM,12.4344,70.137,,,,
25,08/18/20 09:30:00 PM,12.4348,67.906,,,,
26,08/18/20 10:00:00 PM,12.4352,65.680,,,,
27,08/18/20 10:30:00 PM,12.4360,64.139,,,,
28,08/18/20 11:00:00 PM,12.4370,62.769,,,,
29,08/18/20 11:30:00 PM,12.4329,61.569,,,,
30,08/19/20 12:00:00 AM,12.4321,60.539,,,,
31,08/19/20 12:30:00 AM,12.4326,59.508,,,,
32,08/19/20 01:00:00 AM,12.4328,58.303,,,,
33,08/19/20 01:30:00 AM,12.4305,57.268,,,,
34,08/19/20 02:00:00 AM,12.4321,56.057,,,,
35,08/19/20 02:30:00 AM,12.4278,55.364,,,,
36,08/19/20 03:00:00 AM,12.4274,55.189,,,,
37,08/19/20 03:30:00 AM,12.4260,54.495,,,,
38,08/19/20 04:00:00 AM,12.4232,53.798,,,,
39,08/19/20 04:30:00 AM,12.4255,53.623,,,,
40,08/19/20 05:00:00 AM,12.4210,53.449,,,,
41,08/19/20 05:30:00 AM,12.4176,53.100,,,,
42,08/19/20 06:00:00 AM,12.4191,52.576,,,,
43,08/19/20 06:30:00 AM,12.4181,52.050,,,,
44,08/19/20 07:00:00 AM,12.4222,51.346,,,,
45,08/19/20 07:30:00 AM,12.4257,52.401,,,,
46,08/19/20 08:00:00 AM,12.4287,57.096,,,,
47,08/19/20 08:30:00 AM,12.4225,64.310,,,,
48,08/19/20 09:00:00 AM,12.4210,70.308,,,,
49,08/19/20 09:30:00 AM,12.4206,71.339,,,,
50,08/19/20 10:00:00 AM,12.4219,74.791,,,,
51,08/19/20 10:30:00 AM,12.4228,79.151,,,,
52,08/19/20 11:00:00 AM,12.4194,79.502,,,,
53,08/19/20 11:30:00 AM,12.4218,79.326,,,,
54,08/19/20 12:00:00 PM,12.4232,78.800,,,,
55,08/19/20 12:30:00 PM,12.4264,82.330,,,,
56,08/19/20 01:00:00 PM,12.4216,84.834,,,,
57,08/19/20 01:30:00 PM,12.4225,85.194,,,,
58,08/19/20 02:00:00 PM,12.4225,80.735,,,,
59,08/19/20 02:30:00 PM,12.4216,78.098,,,,
60,08/19/20 03:00:00 PM,12.4216,80.911,,,,
61,08/19/20 03:30:00 PM,12.4139,77.225,,,,
62,08/19/20 04:00:00 PM,12.4099,76.703,,,,
63,08/19/20 04:30:00 PM,12.4054,74.791,,,,
64,08/19/20 05:00:00 PM,12.3997,73.580,,,,
65,08/19/20 05:30:00 PM,12.3977,73.926,,,,
66,08/19/20 06:00:00 PM,12.3962,72.718,,,,
67,08/19/20 06:30:00 PM,12.3917,69.622,,,,
68,08/19/20 07:00:00 PM,12.3948,66.708,,,,
69,08/19/20 07:30:00 PM,12.3968,63.282,,,,
70,08/19/20 08:00:00 PM,12.3978,60.024,,,,
71,08/19/20 08:30:00 PM,12.4012,57.096,,,,
72,08/19/20 09:00:00 PM,12.4057,54.669,,,,
73,08/19/20 09:30:00 PM,12.4051,52.401,,,,
74,08/19/20 10:00:00 PM,12.4045,50.819,,,,
75,08/19/20 10:30:00 PM,12.4026,49.228,,,,
76,08/19/20 11:00:00 PM,12.4029,47.982,,,,
77,08/19/20 11:30:00 PM,12.4032,46.728,,,,
78,08/20/20 12:00:00 AM,12.4023,45.648,,,,
79,08/20/20 12:30:00 AM,12.4030,44.560,,,,
80,08/20/20 01:00:00 AM,12.4022,43.466,,,,
81,08/20/20 01:30:00 AM,12.4017,42.548,,,,
82,08/20/20 02:00:00 AM,12.4007,41.994,,,,
83,08/20/20 02:30:00 AM,12.3977,41.810,,,,
84,08/20/20 03:00:00 AM,12.3962,41.067,,,,
85,08/20/20 03:30:00 AM,12.3948,40.321,,,,
86,08/20/20 04:00:00 AM,12.3951,39.760,,,,
87,08/20/20 04:30:00 AM,12.3941,39.196,,,,
88,08/20/20 05:00:00 AM,12.3946,38.818,,,,
89,08/20/20 05:30:00 AM,12.3957,38.629,,,,
90,08/20/20 06:00:00 AM,12.3964,38.250,,,,
91,08/20/20 06:30:00 AM,12.4001,38.061,,,,
92,08/20/20 07:00:00 AM,12.4019,38.250,,,,
93,08/20/20 07:30:00 AM,12.4033,39.007,,,,
94,08/20/20 08:00:00 AM,12.4020,41.254,,,,
95,08/20/20 08:30:00 AM,12.4020,46.188,,,,
96,08/20/20 09:00:00 AM,12.4042,50.643,,,,
97,08/20/20 09:30:00 AM,12.4036,56.923,,,,
98,08/20/20 10:00:00 AM,12.4065,69.449,,,,
99,08/20/20 10:30:00 AM,12.4026,78.274,,,,
100,08/20/20 11:00:00 AM,12.4023,79.853,,,,
101,08/20/20 11:30:00 AM,12.3983,83.221,,,,
102,08/20/20 12:00:00 PM,12.3903,83.935,,,,
103,08/20/20 12:30:00 PM,12.3888,86.097,,,,
104,08/20/20 01:00:00 PM,12.3865,87.368,,,,
105,08/20/20 01:30:00 PM,12.3829,88.099,,,,
106,08/20/20 02:00:00 PM,12.3803,90.309,,,,
107,08/20/20 02:30:00 PM,12.3769,89.569,,,,
108,08/20/20 03:00:00 PM,12.3778,87.733,,,,
109,08/20/20 03:30:00 PM,12.3723,84.474,,,,
110,08/20/20 04:00:00 PM,12.3723,83.935,,,,
111,08/20/20 04:30:00 PM,12.3694,81.090,,,,
112,08/20/20 05:00:00 PM,12.3665,79.326,,,,
113,08/20/20 05:30:00 PM,12.3668,77.749,,,,
114,08/20/20 06:00:00 PM,12.3645,75.659,,,,
115,08/20/20 06:30:00 PM,12.3617,72.718,,,,
116,08/20/20 07:00:00 PM,12.3603,69.107,,,,
117,08/20/20 07:30:00 PM,12.3627,65.338,,,,
118,08/20/20 08:00:00 PM,12.3623,62.083,,,,
119,08/20/20 08:30:00 PM,12.3646,59.337,,,,
120,08/20/20 09:00:00 PM,12.3674,56.750,,,,
121,08/20/20 09:30:00 PM,12.3713,54.669,,,,
122,08/20/20 10:00:00 PM,12.3723,52.576,,,,
123,08/20/20 10:30:00 PM,12.3714,50.819,,,,
124,08/20/20 11:00:00 PM,12.3720,49.050,,,,
125,08/20/20 11:30:00 PM,12.3729,47.446,,,,
126,08/21/20 12:00:00 AM,12.3719,46.188,,,,
127,08/21/20 12:30:00 AM,12.3724,45.104,,,,
128,08/21/20 01:00:00 AM,12.3713,43.831,,,,
129,08/21/20 01:30:00 AM,12.3695,42.915,,,,
130,08/21/20 02:00:00 AM,12.3691,41.994,,,,
131,08/21/20 02:30:00 AM,12.3704,41.254,,,,
132,08/21/20 03:00:00 AM,12.3690,40.509,,,,
133,08/21/20 03:30:00 AM,12.3703,39.760,,,,
134,08/21/20 04:00:00 AM,12.3720,39.196,,,,
135,08/21/20 04:30:00 AM,12.3727,38.818,,,,
136,08/21/20 05:00:00 AM,12.3730,38.250,,,,
137,08/21/20 05:30:00 AM,12.3726,38.061,,,,
138,08/21/20 06:00:00 AM,12.3746,37.679,,,,
139,08/21/20 06:30:00 AM,12.3756,37.488,,,,
140,08/21/20 07:00:00 AM,12.3778,37.870,,,,
141,08/21/20 07:30:00 AM,12.3803,39.196,,,,
142,08/21/20 08:00:00 AM,12.3835,41.625,,,,
143,08/21/20 08:30:00 AM,12.3862,45.104,,,,
144,08/21/20 09:00:00 AM,12.3862,49.937,,,,
145,08/21/20 09:30:00 AM,12.3855,56.230,,,,
146,08/21/20 10:00:00 AM,12.3890,65.338,,,,
147,08/21/20 10:30:00 AM,12.3910,71.683,,,,
148,08/21/20 11:00:00 AM,12.3904,77.225,,,,
149,08/21/20 11:30:00 AM,12.3887,81.090,,,,
150,08/21/20 12:00:00 PM,12.3877,82.864,,,,
151,08/21/20 12:30:00 PM,12.3851,85.735,,,,
152,08/21/20 01:00:00 PM,12.3827,87.004,,,,
153,08/21/20 01:30:00 PM,12.3816,89.755,,,,
154,08/21/20 02:00:00 PM,12.3845,91.425,,,,
155,08/21/20 02:30:00 PM,12.3788,93.493,,,,
156,08/21/20 03:00:00 PM,12.3780,93.682,,,,
157,08/21/20 03:30:00 PM,12.3727,87.915,,,,
158,08/21/20 04:00:00 PM,12.3722,88.282,,,,
159,08/21/20 04:30:00 PM,12.3666,85.014,,,,
160,08/21/20 05:00:00 PM,12.3668,82.864,,,,
161,08/21/20 05:30:00 PM,12.3671,80.735,,,,
162,08/21/20 06:00:00 PM,12.3684,78.975,,,,
163,08/21/20 06:30:00 PM,12.3698,76.703,,,,
164,08/21/20 07:00:00 PM,12.3723,74.271,,,,
165,08/21/20 07:30:00 PM,12.3674,70.995,,,,
166,08/21/20 08:00:00 PM,12.3740,67.906,,,,
167,08/21/20 08:30:00 PM,12.3785,64.996,,,,
168,08/21/20 09:00:00 PM,12.3840,61.912,,,,
169,08/21/20 09:30:00 PM,12.3891,59.164,,,,
170,08/21/20 10:00:00 PM,12.3888,57.096,,,,
171,08/21/20 10:30:00 PM,12.3883,55.537,,,,
172,08/21/20 11:00:00 PM,12.3881,54.147,,,,
173,08/21/20 11:30:00 PM,12.3878,52.750,,,,
