Date,water.level.above.sensor_MM2W,water.level.above.sensor_MM3W,water.level.above.sensor_MM4W,water.level.above.sensor_MM5W,water.level.above.sensor_MM7W,depth.gw_ft_MM2W,depth.gw_ft_MM3W,depth.gw_ft_MM4W,depth.gw_ft_MM5W,depth.gw_ft_MM7W,water.level.above.sensor_MM6W,depth.gw_ft_MM6W,WY
2019-04-26,NA,NA,NA,NA,8.441,NA,NA,NA,NA,1.017,NA,NA,2019
2019-05-03,NA,NA,NA,NA,8.299,NA,NA,NA,NA,1.159,NA,NA,2019
2019-05-10,NA,NA,NA,NA,8.23,NA,NA,NA,NA,1.228,NA,NA,2019
2019-05-17,NA,NA,NA,NA,8.449,NA,NA,NA,NA,1.009,NA,NA,2019
2019-05-24,NA,NA,NA,NA,8.353,NA,NA,NA,NA,1.105,NA,NA,2019
2019-05-31,NA,8.25,NA,NA,8.128,NA,1.083,NA,NA,1.33,NA,NA,2019
2019-06-07,NA,7.685,NA,NA,7.939,NA,1.648,NA,NA,1.52,NA,NA,2019
2019-06-14,NA,7.274,NA,NA,7.58,NA,2.059,NA,NA,1.878,NA,NA,2019
2019-06-21,NA,6.851,NA,NA,7.169,NA,2.482,NA,NA,2.289,NA,NA,2019
2019-06-28,NA,6.528,NA,NA,6.856,NA,2.805,NA,NA,2.602,NA,NA,2019
2019-07-05,NA,6.292,NA,NA,6.615,NA,3.041,NA,NA,2.843,NA,NA,2019
2019-07-12,NA,6.035,NA,NA,6.353,NA,3.298,NA,NA,3.105,NA,NA,2019
2019-07-19,NA,5.716,NA,NA,6.039,NA,3.617,NA,NA,3.419,NA,NA,2019
2019-07-26,NA,5.449,NA,NA,5.628,NA,3.884,NA,NA,3.83,NA,NA,2019
2019-08-02,NA,5.242,NA,NA,5.309,NA,4.091,NA,NA,4.149,NA,NA,2019
2019-08-09,NA,4.815,NA,NA,5,NA,4.518,NA,NA,4.458,NA,NA,2019
2019-08-16,NA,4.341,NA,NA,4.697,NA,4.992,NA,NA,4.761,NA,NA,2019
2019-08-23,NA,3.844,NA,NA,4.391,NA,5.489,NA,NA,5.067,NA,NA,2019
2019-08-30,NA,3.472,NA,NA,4.105,NA,5.861,NA,NA,5.353,NA,NA,2019
2019-09-06,NA,3.186,NA,NA,3.794,NA,6.147,NA,NA,5.664,NA,NA,2019
2019-09-13,NA,2.955,NA,NA,3.629,NA,6.378,NA,NA,5.829,NA,NA,2019
2019-09-20,NA,2.728,NA,NA,3.492,NA,6.605,NA,NA,5.966,NA,NA,2019
2019-09-27,NA,2.572,NA,NA,3.323,NA,6.761,NA,NA,6.135,NA,NA,2019
2019-10-04,NA,2.241,NA,NA,3.14,NA,7.092,NA,NA,6.318,NA,NA,2020
2019-10-11,NA,2.032,NA,NA,2.985,NA,7.301,NA,NA,6.473,NA,NA,2020
2019-10-18,NA,1.75,NA,NA,2.842,NA,7.583,NA,NA,6.616,NA,NA,2020
2019-10-25,NA,1.522,NA,NA,2.658,NA,7.811,NA,NA,6.8,NA,NA,2020
2019-11-01,NA,1.227,NA,NA,2.502,NA,8.106,NA,NA,6.956,NA,NA,2020
2019-11-08,NA,0.965,NA,NA,2.343,NA,8.368,NA,NA,7.115,NA,NA,2020
2019-11-15,NA,0.811,NA,NA,2.24,NA,8.522,NA,NA,7.218,NA,NA,2020
2019-11-22,NA,0.648,NA,NA,2.092,NA,8.685,NA,NA,7.366,NA,NA,2020
2019-11-29,NA,0.419,NA,NA,1.851,NA,8.914,NA,NA,7.607,NA,NA,2020
2019-12-06,NA,1.405,NA,NA,2.596,NA,7.928,NA,NA,6.862,NA,NA,2020
2019-12-13,0.007,4.017,NA,NA,4.412,3.826,5.316,NA,NA,5.046,NA,NA,2020
2019-12-20,0,4.782,NA,NA,4.871,3.833,4.551,NA,NA,4.587,NA,NA,2020
2019-12-27,0,4.761,NA,NA,4.753,3.833,4.572,NA,NA,4.705,NA,NA,2020
2020-01-03,0,4.516,NA,NA,4.611,3.833,4.817,NA,NA,4.847,NA,NA,2020
2020-01-10,0,NA,NA,NA,4.512,3.833,NA,NA,NA,4.946,NA,NA,2020
2020-01-17,0.003,NA,NA,NA,4.377,3.83,NA,NA,NA,5.081,NA,NA,2020
2020-01-24,0.327,NA,NA,NA,5.173,3.506,NA,NA,NA,4.285,NA,NA,2020
2020-01-31,1.265,NA,NA,NA,6.452,2.568,NA,NA,NA,3.006,NA,NA,2020
