Plot Title: MM6W,,,,,,,,,
#,"Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20844451, SEN S/N: 20844451)","Temp, °F (LGR S/N: 20844451, SEN S/N: 20844451)","Abs Pres Barom., psi (LGR S/N: 20844446, SEN S/N: 20844446)","Sensor Depth, feet (LGR S/N: 20844451)",Coupler Detached (LGR S/N: 20844451),Coupler Attached (LGR S/N: 20844451),Host Connected (LGR S/N: 20844451),End Of File (LGR S/N: 20844451)
1,7/5/2021 19:00,12.3607,57.268,,,Logged,,,
2,7/5/2021 19:30,12.3545,53.274,,,,,,
3,7/5/2021 20:00,12.3501,52.576,,,,,,
4,7/5/2021 20:30,12.3527,52.401,,,,,,
5,7/5/2021 21:00,12.351,52.225,,,,,,
6,7/5/2021 21:30,12.3584,52.225,,,,,,
7,7/5/2021 22:00,12.3629,52.225,,,,,,
8,7/5/2021 22:30,12.3658,52.225,,,,,,
9,7/5/2021 23:00,12.3629,52.225,,,,,,
10,7/5/2021 23:30,12.3658,52.225,,,,,,
11,7/6/2021 0:00,12.3643,52.225,,,,,,
12,7/6/2021 0:30,12.3672,52.225,,,,,,
13,7/6/2021 1:00,12.3672,52.225,,,,,,
14,7/6/2021 1:30,12.3672,52.225,,,,,,
15,7/6/2021 2:00,12.3658,52.225,,,,,,
16,7/6/2021 2:30,12.3688,52.225,,,,,,
17,7/6/2021 3:00,12.3703,52.225,,,,,,
18,7/6/2021 3:30,12.3717,52.225,,,,,,
19,7/6/2021 4:00,12.3717,52.225,,,,,,
20,7/6/2021 4:30,12.3732,52.225,,,,,,
21,7/6/2021 5:00,12.3732,52.225,,,,,,
22,7/6/2021 5:30,12.3748,52.225,,,,,,
23,7/6/2021 6:00,12.3762,52.225,,,,,,
24,7/6/2021 6:30,12.3777,52.225,,,,,,
25,7/6/2021 7:00,12.3777,52.225,,,,,,
26,7/6/2021 7:30,12.3762,52.225,,,,,,
27,7/6/2021 8:00,12.3748,52.225,,,,,,
28,7/6/2021 8:30,12.3777,52.225,,,,,,
29,7/6/2021 9:00,12.3762,52.225,,,,,,
30,7/6/2021 9:30,12.3717,52.225,,,,,,
