"Plot Title: MM6W"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20844451, SEN S/N: 20844451)","Temp, °F (LGR S/N: 20844451, SEN S/N: 20844451)","Abs Pres Barom., psi (LGR S/N: 20214178, SEN S/N: 20214178)","Sensor Depth, feet (LGR S/N: 20844451)","Coupler Detached (LGR S/N: 20844451)","Coupler Attached (LGR S/N: 20844451)","Host Connected (LGR S/N: 20844451)","End Of File (LGR S/N: 20844451)"
1,07/05/21 07:00:00 PM,12.3607,57.268,,,Logged,,,
2,07/05/21 07:30:00 PM,12.3545,53.274,,,,,,
3,07/05/21 08:00:00 PM,12.3501,52.576,,,,,,
4,07/05/21 08:30:00 PM,12.3527,52.401,,,,,,
5,07/05/21 09:00:00 PM,12.3510,52.225,,,,,,
6,07/05/21 09:30:00 PM,12.3584,52.225,,,,,,
7,07/05/21 10:00:00 PM,12.3629,52.225,,,,,,
8,07/05/21 10:30:00 PM,12.3658,52.225,,,,,,
9,07/05/21 11:00:00 PM,12.3629,52.225,,,,,,
10,07/05/21 11:30:00 PM,12.3658,52.225,,,,,,
11,07/06/21 12:00:00 AM,12.3643,52.225,,,,,,
12,07/06/21 12:30:00 AM,12.3672,52.225,,,,,,
13,07/06/21 01:00:00 AM,12.3672,52.225,,,,,,
14,07/06/21 01:30:00 AM,12.3672,52.225,,,,,,
15,07/06/21 02:00:00 AM,12.3658,52.225,,,,,,
16,07/06/21 02:30:00 AM,12.3688,52.225,,,,,,
17,07/06/21 03:00:00 AM,12.3703,52.225,,,,,,
18,07/06/21 03:30:00 AM,12.3717,52.225,,,,,,
19,07/06/21 04:00:00 AM,12.3717,52.225,,,,,,
20,07/06/21 04:30:00 AM,12.3732,52.225,,,,,,
21,07/06/21 05:00:00 AM,12.3732,52.225,,,,,,
22,07/06/21 05:30:00 AM,12.3748,52.225,,,,,,
23,07/06/21 06:00:00 AM,12.3762,52.225,,,,,,
24,07/06/21 06:30:00 AM,12.3777,52.225,,,,,,
25,07/06/21 07:00:00 AM,12.3777,52.225,,,,,,
26,07/06/21 07:30:00 AM,12.3762,52.225,,,,,,
27,07/06/21 08:00:00 AM,12.3748,52.225,,,,,,
28,07/06/21 08:30:00 AM,12.3777,52.225,,,,,,
29,07/06/21 09:00:00 AM,12.3762,52.225,,,,,,
30,07/06/21 09:30:00 AM,12.3717,52.225,12.4360,-0.148,,,,
31,07/06/21 10:00:00 AM,12.3703,52.225,12.4345,-0.148,,,,
32,07/06/21 10:30:00 AM,12.3643,52.225,12.4326,-0.158,,,,
33,07/06/21 11:00:00 AM,12.3598,52.225,12.4302,-0.162,,,,
34,07/06/21 11:30:00 AM,12.3584,52.225,12.4281,-0.161,,,,
35,07/06/21 12:00:00 PM,12.3539,52.225,12.4184,-0.149,,,,
36,07/06/21 12:30:00 PM,12.3539,52.225,12.4158,-0.143,,,,
37,07/06/21 01:00:00 PM,12.3495,52.225,12.4161,-0.154,,,,
38,07/06/21 01:30:00 PM,12.3450,52.225,12.4162,-0.164,,,,
39,07/06/21 02:00:00 PM,12.3465,52.225,12.4196,-0.169,,,,
40,07/06/21 02:30:00 PM,12.3436,52.225,12.4154,-0.166,,,,
41,07/06/21 03:00:00 PM,12.3405,52.225,12.4154,-0.173,,,,
42,07/06/21 03:30:00 PM,12.3391,52.225,12.4115,-0.167,,,,
43,07/06/21 04:00:00 PM,12.3346,52.225,12.4025,-0.157,,,,
44,07/06/21 04:30:00 PM,12.3301,52.225,12.3972,-0.155,,,,
45,07/06/21 05:00:00 PM,12.3301,52.225,12.3959,-0.152,,,,
46,07/06/21 05:30:00 PM,12.3241,52.225,12.3946,-0.163,,,,
47,07/06/21 06:00:00 PM,12.3241,52.225,12.3941,-0.161,,,,
48,07/06/21 06:30:00 PM,12.3227,52.225,12.3925,-0.161,,,,
49,07/06/21 07:00:00 PM,12.3241,52.225,12.3914,-0.155,,,,
50,07/06/21 07:30:00 PM,12.3272,52.225,12.3941,-0.154,,,,
