Date,baro.pressure_psi,total.pressure_psi,temp.ref_F,water.level.above.sensor,ID
2020-07-08 18:00:00,12.352,12.3652,46.369,0.03,RCW1
2020-07-08 18:30:00,12.3489,12.3626,44.742,0.032,RCW1
2020-07-08 19:00:00,12.3533,12.3643,44.379,0.025,RCW1
2020-07-08 19:30:00,12.3549,12.3668,44.195,0.027,RCW1
2020-07-08 20:00:00,12.3561,12.3713,44.195,0.035,RCW1
2020-07-08 20:30:00,12.3571,12.3713,44.195,0.033,RCW1
2020-07-08 21:00:00,12.3604,12.3753,44.013,0.034,RCW1
2020-07-08 21:30:00,12.3655,12.3814,44.013,0.037,RCW1
2020-07-08 22:00:00,12.3687,12.3845,44.013,0.036,RCW1
2020-07-08 22:30:00,12.372,12.3845,44.013,0.029,RCW1
2020-07-08 23:00:00,12.3707,12.3875,44.013,0.039,RCW1
2020-07-08 23:30:00,12.3746,12.389,44.013,0.033,RCW1
2020-07-09 00:00:00,12.3765,12.389,44.013,0.029,RCW1
2020-07-09 00:30:00,12.3751,12.3906,44.013,0.036,RCW1
2020-07-09 01:00:00,12.378,12.3906,44.013,0.029,RCW1
2020-07-09 01:30:00,12.3797,12.3906,44.013,0.025,RCW1
2020-07-09 02:00:00,12.3816,12.3936,44.013,0.028,RCW1
2020-07-09 02:30:00,12.3829,12.3936,44.013,0.025,RCW1
2020-07-09 03:00:00,12.3781,12.3936,44.013,0.036,RCW1
2020-07-09 03:30:00,12.3807,12.392,44.013,0.026,RCW1
2020-07-09 04:00:00,12.382,12.3951,44.013,0.03,RCW1
2020-07-09 04:30:00,12.3807,12.392,44.013,0.026,RCW1
2020-07-09 05:00:00,12.382,12.3936,44.013,0.027,RCW1
2020-07-09 05:30:00,12.3843,12.3936,44.013,0.021,RCW1
2020-07-09 06:00:00,12.3846,12.3951,44.013,0.024,RCW1
2020-07-09 06:30:00,12.3874,12.3967,44.013,0.021,RCW1
2020-07-09 07:00:00,12.3875,12.3981,44.013,0.024,RCW1
2020-07-09 07:30:00,12.3874,12.3951,44.013,0.018,RCW1
2020-07-09 08:00:00,12.3913,12.3981,44.013,0.016,RCW1
2020-07-09 08:30:00,12.3884,12.3981,44.013,0.022,RCW1
2020-07-09 09:00:00,12.384,12.3951,44.013,0.026,RCW1
2020-07-09 09:30:00,12.3922,12.3936,44.013,0.003,RCW1
2020-07-09 10:00:00,12.3917,12.3936,44.013,0.004,RCW1
2020-07-09 10:30:00,12.3906,12.392,44.013,0.003,RCW1
2020-07-09 11:00:00,12.3903,12.3936,44.013,0.008,RCW1
2020-07-09 11:30:00,12.3906,12.3967,44.013,0.014,RCW1
2020-07-09 12:00:00,12.3819,12.3936,44.013,0.027,RCW1
2020-07-09 12:30:00,12.3842,12.3936,44.013,0.022,RCW1
2020-07-09 13:00:00,12.3838,12.392,44.013,0.019,RCW1
2020-07-09 13:30:00,12.3852,12.3875,44.013,0.005,RCW1
2020-07-09 14:00:00,12.3838,12.3859,44.013,0.005,RCW1
2020-07-09 14:30:00,12.3869,12.3875,44.013,0.001,RCW1
2020-07-09 15:00:00,12.3846,12.3875,44.013,0.007,RCW1
2020-07-09 15:30:00,12.3822,12.389,44.013,0.016,RCW1
2020-07-09 16:00:00,12.3788,12.3875,44.013,0.02,RCW1
2020-07-09 16:30:00,12.3785,12.389,44.013,0.024,RCW1
2020-07-09 17:00:00,12.3811,12.3906,44.013,0.022,RCW1
2020-07-09 17:30:00,12.383,12.392,44.013,0.021,RCW1
2020-07-09 18:00:00,12.3817,12.3906,44.013,0.021,RCW1
2020-07-09 18:30:00,12.3823,12.392,44.013,0.022,RCW1
2020-07-09 19:00:00,12.3814,12.3936,44.013,0.028,RCW1
2020-07-09 19:30:00,12.3843,12.3951,44.013,0.025,RCW1
2020-07-09 20:00:00,12.3855,12.3981,44.013,0.029,RCW1
2020-07-09 20:30:00,12.3861,12.3981,44.013,0.028,RCW1
2020-07-09 21:00:00,12.393,12.4058,44.013,0.03,RCW1
2020-07-09 21:30:00,12.3986,12.4149,44.013,0.038,RCW1
2020-07-09 22:00:00,12.4036,12.418,44.013,0.033,RCW1
2020-07-09 22:30:00,12.4081,12.4196,44.013,0.027,RCW1
2020-07-09 23:00:00,12.4106,12.421,44.013,0.024,RCW1
2020-07-09 23:30:00,12.4102,12.4226,44.013,0.029,RCW1
2020-07-10 00:00:00,12.411,12.4226,44.013,0.027,RCW1
2020-07-10 00:30:00,12.4136,12.4257,44.013,0.028,RCW1
2020-07-10 01:00:00,12.4139,12.4257,44.013,0.027,RCW1
2020-07-10 01:30:00,12.4158,12.4257,44.013,0.023,RCW1
2020-07-10 02:00:00,12.4181,12.4271,44.013,0.021,RCW1
2020-07-10 02:30:00,12.4174,12.4271,44.013,0.022,RCW1
2020-07-10 03:00:00,12.4197,12.4287,44.013,0.021,RCW1
2020-07-10 03:30:00,12.421,12.4318,44.013,0.025,RCW1
2020-07-10 04:00:00,12.4218,12.4287,44.013,0.016,RCW1
2020-07-10 04:30:00,12.4248,12.4302,44.013,0.012,RCW1
2020-07-10 05:00:00,12.4247,12.4348,44.013,0.023,RCW1
2020-07-10 05:30:00,12.4277,12.4379,44.013,0.024,RCW1
2020-07-10 06:00:00,12.4335,12.4424,44.013,0.021,RCW1
2020-07-10 06:30:00,12.4352,12.4454,44.013,0.024,RCW1
2020-07-10 07:00:00,12.4422,12.4486,44.013,0.015,RCW1
2020-07-10 07:30:00,12.4441,12.45,44.013,0.014,RCW1
2020-07-10 08:00:00,12.4463,12.4531,44.013,0.016,RCW1
2020-07-10 08:30:00,12.3649,12.4547,44.013,0.207,RCW1
2020-07-10 09:00:00,12.3701,12.4531,44.013,0.191,RCW1
2020-07-10 09:30:00,12.371,12.4547,44.013,0.193,RCW1
2020-07-10 10:00:00,12.3687,12.4531,44.013,0.195,RCW1
2020-07-10 10:30:00,12.3733,12.4547,44.013,0.188,RCW1
