Date,Time,pres (psi),temp (f)
12/9/2019,12:00:00,12.5346,47.266
12/9/2019,12:30:00,12.5271,47.266
12/9/2019,13:00:00,12.5233,47.088
12/9/2019,13:30:00,12.5188,47.088
12/9/2019,14:00:00,12.5172,47.088
12/9/2019,14:30:00,12.5188,47.088
12/9/2019,15:00:00,12.5202,47.088
12/9/2019,15:30:00,12.5202,47.088
12/9/2019,16:00:00,12.5233,47.088
12/9/2019,16:30:00,12.5263,47.088
12/9/2019,17:00:00,12.5279,47.088
12/9/2019,17:30:00,12.5279,47.088
12/9/2019,18:00:00,12.5326,47.088
12/9/2019,18:30:00,12.5371,47.088
12/9/2019,19:00:00,12.5371,47.088
12/9/2019,19:30:00,12.5401,47.088
12/9/2019,20:00:00,12.5432,47.088
12/9/2019,20:30:00,12.5432,47.088
12/9/2019,21:00:00,12.5478,47.088
12/9/2019,21:30:00,12.5478,47.088
12/9/2019,22:00:00,12.5508,47.088
12/9/2019,22:30:00,12.5508,47.088
12/9/2019,23:00:00,12.5523,47.088
12/9/2019,23:30:00,12.5508,47.088
12/10/2019,00:00:00,12.5523,47.088
12/10/2019,00:30:00,12.5508,47.088
12/10/2019,01:00:00,12.5462,47.088
12/10/2019,01:30:00,12.5555,47.088
12/10/2019,02:00:00,12.5555,47.088
12/10/2019,02:30:00,12.5539,47.088
12/10/2019,03:00:00,12.5585,47.088
12/10/2019,03:30:00,12.5523,47.088
12/10/2019,04:00:00,12.5539,47.088
12/10/2019,04:30:00,12.5523,47.088
12/10/2019,05:00:00,12.5523,47.088
12/10/2019,05:30:00,12.5508,47.088
12/10/2019,06:00:00,12.5523,47.088
12/10/2019,06:30:00,12.5492,47.088
12/10/2019,07:00:00,12.5539,47.088
12/10/2019,07:30:00,12.5523,47.088
12/10/2019,08:00:00,12.5508,47.088
12/10/2019,08:30:00,12.5539,47.088
12/10/2019,09:00:00,12.563,47.088
12/10/2019,09:30:00,12.5616,47.088
12/10/2019,10:00:00,12.5585,47.088
12/10/2019,10:30:00,12.56,47.088
12/10/2019,11:00:00,12.5539,47.088
12/10/2019,11:30:00,12.5462,47.088
12/10/2019,12:00:00,12.5387,47.088
12/10/2019,12:30:00,12.5326,47.088
12/10/2019,13:00:00,12.531,47.088
12/10/2019,13:30:00,12.5249,47.088
12/10/2019,14:00:00,12.5233,47.088
12/10/2019,14:30:00,12.5295,47.088
12/10/2019,15:00:00,12.5249,47.088
12/10/2019,15:30:00,12.5233,47.088
12/10/2019,16:00:00,12.5279,47.088
12/10/2019,16:30:00,12.531,47.088
12/10/2019,17:00:00,12.5279,47.088
12/10/2019,17:30:00,12.5263,47.088
12/10/2019,18:00:00,12.5172,47.088
12/10/2019,18:30:00,12.5202,47.088
12/10/2019,19:00:00,12.5172,47.088
12/10/2019,19:30:00,12.5249,47.088
12/10/2019,20:00:00,12.5263,47.088
12/10/2019,20:30:00,12.5295,47.088
12/10/2019,21:00:00,12.5249,47.088
12/10/2019,21:30:00,12.5249,47.088
12/10/2019,22:00:00,12.5371,47.088
12/10/2019,22:30:00,12.5387,47.088
12/10/2019,23:00:00,12.5371,47.088
12/10/2019,23:30:00,12.534,47.088
12/11/2019,00:00:00,12.5326,47.088
12/11/2019,00:30:00,12.531,47.088
12/11/2019,01:00:00,12.5326,47.088
12/11/2019,01:30:00,12.534,47.088
12/11/2019,02:00:00,12.5295,47.088
12/11/2019,02:30:00,12.531,47.088
12/11/2019,03:00:00,12.5263,47.088
12/11/2019,03:30:00,12.5263,47.088
12/11/2019,04:00:00,12.5263,47.088
12/11/2019,04:30:00,12.5279,47.088
12/11/2019,05:00:00,12.5263,47.088
12/11/2019,05:30:00,12.5263,47.088
12/11/2019,06:00:00,12.531,47.088
12/11/2019,06:30:00,12.5356,47.088
12/11/2019,07:00:00,12.5326,47.088
12/11/2019,07:30:00,12.5371,47.088
12/11/2019,08:00:00,12.531,47.088
12/11/2019,08:30:00,12.5371,47.088
12/11/2019,09:00:00,12.5432,47.088
12/11/2019,09:30:00,12.5462,47.088
12/11/2019,10:00:00,12.5569,47.088
12/11/2019,10:30:00,12.5555,47.088
12/11/2019,11:00:00,12.5508,47.088
12/11/2019,11:30:00,12.5432,47.088
12/11/2019,12:00:00,12.5371,47.088
12/11/2019,12:30:00,12.5263,47.088
12/11/2019,13:00:00,12.5233,47.088
12/11/2019,13:30:00,12.5188,47.088
12/11/2019,14:00:00,12.5188,47.088
12/11/2019,14:30:00,12.5188,47.088
12/11/2019,15:00:00,12.5202,47.088
12/11/2019,15:30:00,12.5157,47.088
12/11/2019,16:00:00,12.5172,47.088
12/11/2019,16:30:00,12.5141,47.088
12/11/2019,17:00:00,12.5111,47.088
12/11/2019,17:30:00,12.5081,47.088
12/11/2019,18:00:00,12.5127,47.088
12/11/2019,18:30:00,12.5081,47.088
12/11/2019,19:00:00,12.5157,47.088
12/11/2019,19:30:00,12.5218,47.088
12/11/2019,20:00:00,12.5233,47.088
12/11/2019,20:30:00,12.5263,47.088
12/11/2019,21:00:00,12.5249,47.088
12/11/2019,21:30:00,12.5295,47.088
12/11/2019,22:00:00,12.5249,47.088
12/11/2019,22:30:00,12.5202,47.088
12/11/2019,23:00:00,12.5218,47.088
12/11/2019,23:30:00,12.5157,47.088
12/12/2019,00:00:00,12.5157,47.088
12/12/2019,00:30:00,12.5172,47.088
12/12/2019,01:00:00,12.5202,47.088
12/12/2019,01:30:00,12.5172,47.088
12/12/2019,02:00:00,12.5202,47.088
12/12/2019,02:30:00,12.5218,47.088
12/12/2019,03:00:00,12.5249,47.088
12/12/2019,03:30:00,12.5233,47.088
12/12/2019,04:00:00,12.5218,47.088
12/12/2019,04:30:00,12.5279,47.088
12/12/2019,05:00:00,12.5249,47.088
12/12/2019,05:30:00,12.5279,47.088
12/12/2019,06:00:00,12.531,47.088
12/12/2019,06:30:00,12.5401,47.088
12/12/2019,07:00:00,12.5401,47.088
12/12/2019,07:30:00,12.5401,47.088
12/12/2019,08:00:00,12.5432,47.088
12/12/2019,08:30:00,12.5432,47.088
12/12/2019,09:00:00,12.5508,47.088
12/12/2019,09:30:00,12.5585,47.088
12/12/2019,10:00:00,12.5616,47.088
12/12/2019,10:30:00,12.5677,47.088
12/12/2019,11:00:00,12.5661,47.088
12/12/2019,11:30:00,12.5616,47.088
12/12/2019,12:00:00,12.5555,47.088
12/12/2019,12:30:00,12.5555,47.088
12/12/2019,13:00:00,12.5539,47.088
12/12/2019,13:30:00,12.5523,47.088
12/12/2019,14:00:00,12.5492,47.088
12/12/2019,14:30:00,12.5478,47.088
12/12/2019,15:00:00,12.5555,47.088
12/12/2019,15:30:00,12.5585,47.088
12/12/2019,16:00:00,12.5569,47.088
12/12/2019,16:30:00,12.5569,47.088
12/12/2019,17:00:00,12.5569,47.088
12/12/2019,17:30:00,12.5616,47.088
12/12/2019,18:00:00,12.563,47.088
12/12/2019,18:30:00,12.563,47.088
12/12/2019,19:00:00,12.5691,47.088
12/12/2019,19:30:00,12.5707,47.088
12/12/2019,20:00:00,12.5677,47.088
12/12/2019,20:30:00,12.563,47.088
12/12/2019,21:00:00,12.5646,47.088
12/12/2019,21:30:00,12.5707,47.088
12/12/2019,22:00:00,12.5707,47.088
12/12/2019,22:30:00,12.5677,47.088
12/12/2019,23:00:00,12.5707,47.088
12/12/2019,23:30:00,12.5707,47.088
12/13/2019,00:00:00,12.563,47.088
12/13/2019,00:30:00,12.5616,47.088
12/13/2019,01:00:00,12.5569,47.088
12/13/2019,01:30:00,12.5508,47.088
12/13/2019,02:00:00,12.5555,47.088
12/13/2019,02:30:00,12.5478,47.088
12/13/2019,03:00:00,12.5492,47.088
12/13/2019,03:30:00,12.5401,47.088
12/13/2019,04:00:00,12.5432,47.088
12/13/2019,04:30:00,12.5356,47.088
12/13/2019,05:00:00,12.5279,47.088
12/13/2019,05:30:00,12.5257,46.908
12/13/2019,06:00:00,12.5213,46.908
12/13/2019,06:30:00,12.5202,47.088
12/13/2019,07:00:00,12.5166,46.908
12/13/2019,07:30:00,12.5127,47.088
12/13/2019,08:00:00,12.5089,46.908
12/13/2019,08:30:00,12.5096,47.088
12/13/2019,09:00:00,12.512,46.908
12/13/2019,09:30:00,12.5111,47.088
12/13/2019,10:00:00,12.5105,46.908
12/13/2019,10:30:00,12.5028,46.908
12/13/2019,11:00:00,12.4937,46.908
12/13/2019,11:30:00,12.4862,46.908
12/13/2019,12:00:00,12.4799,46.908
12/13/2019,12:30:00,12.4738,46.908
12/13/2019,13:00:00,12.4724,46.908
12/13/2019,13:30:00,12.4724,46.908
12/13/2019,14:00:00,12.4647,46.908
12/13/2019,14:30:00,12.4586,46.908
12/13/2019,15:00:00,12.4479,46.908
12/13/2019,15:30:00,12.4464,46.908
12/13/2019,16:00:00,12.4479,46.908
12/13/2019,16:30:00,12.4434,46.908
12/13/2019,17:00:00,12.4434,46.908
12/13/2019,17:30:00,12.4418,46.908
12/13/2019,18:00:00,12.4373,46.908
12/13/2019,18:30:00,12.4326,46.908
12/13/2019,19:00:00,12.4296,46.908
12/13/2019,19:30:00,12.4296,46.908
12/13/2019,20:00:00,12.4189,46.908
12/13/2019,20:30:00,12.4205,46.908
12/13/2019,21:00:00,12.4174,46.908
12/13/2019,21:30:00,12.4189,46.908
12/13/2019,22:00:00,12.4249,46.908
12/13/2019,22:30:00,12.4281,46.908
12/13/2019,23:00:00,12.4296,46.908
12/13/2019,23:30:00,12.4326,46.908
12/14/2019,00:00:00,12.4326,46.908
12/14/2019,00:30:00,12.4326,46.908
12/14/2019,01:00:00,12.4281,46.908
12/14/2019,01:30:00,12.4342,46.908
12/14/2019,02:00:00,12.4312,46.908
12/14/2019,02:30:00,12.4373,46.908
12/14/2019,03:00:00,12.4342,46.908
12/14/2019,03:30:00,12.4357,46.908
12/14/2019,04:00:00,12.4387,46.908
12/14/2019,04:30:00,12.4403,46.908
12/14/2019,05:00:00,12.4357,46.908
12/14/2019,05:30:00,12.4403,46.908
12/14/2019,06:00:00,12.4434,46.908
12/14/2019,06:30:00,12.4434,46.908
12/14/2019,07:00:00,12.4418,46.908
12/14/2019,07:30:00,12.4418,46.908
12/14/2019,08:00:00,12.4418,46.908
12/14/2019,08:30:00,12.4434,46.908
12/14/2019,09:00:00,12.4464,46.908
12/14/2019,09:30:00,12.4479,46.908
12/14/2019,10:00:00,12.4525,46.908
12/14/2019,10:30:00,12.4479,46.908
12/14/2019,11:00:00,12.4418,46.908
12/14/2019,11:30:00,12.4326,46.908
12/14/2019,12:00:00,12.4281,46.908
12/14/2019,12:30:00,12.4219,46.908
12/14/2019,13:00:00,12.4174,46.908
12/14/2019,13:30:00,12.4128,46.908
12/14/2019,14:00:00,12.4097,46.908
12/14/2019,14:30:00,12.4052,46.908
12/14/2019,15:00:00,12.4052,46.908
12/14/2019,15:30:00,12.4022,46.908
12/14/2019,16:00:00,12.3945,46.908
12/14/2019,16:30:00,12.3898,46.908
12/14/2019,17:00:00,12.3898,46.908
12/14/2019,17:30:00,12.3898,46.908
12/14/2019,18:00:00,12.3823,46.908
12/14/2019,18:30:00,12.3793,46.908
12/14/2019,19:00:00,12.3793,46.908
12/14/2019,19:30:00,12.3793,46.908
12/14/2019,20:00:00,12.3793,46.908
12/14/2019,20:30:00,12.3777,46.908
12/14/2019,21:00:00,12.3807,46.908
12/14/2019,21:30:00,12.3838,46.908
12/14/2019,22:00:00,12.3868,46.908
12/14/2019,22:30:00,12.3884,46.908
12/14/2019,23:00:00,12.3929,46.908
12/14/2019,23:30:00,12.3945,46.908
12/15/2019,00:00:00,12.3975,46.908
12/15/2019,00:30:00,12.4006,46.908
12/15/2019,01:00:00,12.4036,46.908
12/15/2019,01:30:00,12.4097,46.908
12/15/2019,02:00:00,12.4128,46.908
12/15/2019,02:30:00,12.4189,46.908
12/15/2019,03:00:00,12.4205,46.908
12/15/2019,03:30:00,12.4281,46.908
12/15/2019,04:00:00,12.4312,46.908
12/15/2019,04:30:00,12.4357,46.908
12/15/2019,05:00:00,12.4387,46.908
12/15/2019,05:30:00,12.4434,46.908
12/15/2019,06:00:00,12.4495,46.908
12/15/2019,06:30:00,12.4556,46.908
12/15/2019,07:00:00,12.4602,46.908
12/15/2019,07:30:00,12.4663,46.908
12/15/2019,08:00:00,12.4738,46.908
12/15/2019,08:30:00,12.4785,46.908
12/15/2019,09:00:00,12.483,46.908
12/15/2019,09:30:00,12.4862,46.908
12/15/2019,10:00:00,12.4937,46.908
12/15/2019,10:30:00,12.4953,46.908
12/15/2019,11:00:00,12.4953,46.908
12/15/2019,11:30:00,12.4937,46.908
12/15/2019,12:00:00,12.4937,46.908
12/15/2019,12:30:00,12.4906,46.908
12/15/2019,13:00:00,12.4937,46.908
12/15/2019,13:30:00,12.4953,46.908
12/15/2019,14:00:00,12.4983,46.908
12/15/2019,14:30:00,12.4998,46.908
12/15/2019,15:00:00,12.5044,46.908
12/15/2019,15:30:00,12.5075,46.908
12/15/2019,16:00:00,12.5089,46.908
12/15/2019,16:30:00,12.5105,46.908
12/15/2019,17:00:00,12.5136,46.908
12/15/2019,17:30:00,12.5197,46.908
12/15/2019,18:00:00,12.5243,46.908
12/15/2019,18:30:00,12.5257,46.908
12/15/2019,19:00:00,12.5288,46.908
12/15/2019,19:30:00,12.5288,46.908
12/15/2019,20:00:00,12.5349,46.908
