"Plot Title: lower well Rock Crk"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20214180, SEN S/N: 20214180)","Temp, °F (LGR S/N: 20214180, SEN S/N: 20214180)","Coupler Detached (LGR S/N: 20214180)","Coupler Attached (LGR S/N: 20214180)","Host Connected (LGR S/N: 20214180)","Stopped (LGR S/N: 20214180)","End Of File (LGR S/N: 20214180)"
1,05/30/19 03:00:00 PM,16.4109,43.282,Logged,,,,
2,05/30/19 03:30:00 PM,16.4041,43.099,,,,,
3,05/30/19 04:00:00 PM,16.3938,43.099,,,,,
4,05/30/19 04:30:00 PM,16.3893,43.099,,,,,
5,05/30/19 05:00:00 PM,16.3765,42.915,,,,,
6,05/30/19 05:30:00 PM,16.3794,42.915,,,,,
7,05/30/19 06:00:00 PM,16.3721,42.915,,,,,
8,05/30/19 06:30:00 PM,16.3751,42.915,,,,,
9,05/30/19 07:00:00 PM,16.3706,42.915,,,,,
10,05/30/19 07:30:00 PM,16.3721,42.915,,,,,
11,05/30/19 08:00:00 PM,16.3751,42.915,,,,,
12,05/30/19 08:30:00 PM,16.3751,42.915,,,,,
13,05/30/19 09:00:00 PM,16.3706,42.915,,,,,
14,05/30/19 09:30:00 PM,16.3721,42.915,,,,,
15,05/30/19 10:00:00 PM,16.3706,42.915,,,,,
16,05/30/19 10:30:00 PM,16.3662,42.915,,,,,
17,05/30/19 11:00:00 PM,16.3691,42.915,,,,,
18,05/30/19 11:30:00 PM,16.3662,42.915,,,,,
19,05/31/19 12:00:00 AM,16.3604,42.915,,,,,
20,05/31/19 12:30:00 AM,16.3604,42.915,,,,,
21,05/31/19 01:00:00 AM,16.3574,42.915,,,,,
22,05/31/19 01:30:00 AM,16.3559,42.915,,,,,
23,05/31/19 02:00:00 AM,16.3574,42.915,,,,,
24,05/31/19 02:30:00 AM,16.3545,42.915,,,,,
25,05/31/19 03:00:00 AM,16.3559,42.915,,,,,
26,05/31/19 03:30:00 AM,16.3501,42.915,,,,,
27,05/31/19 04:00:00 AM,16.3516,42.915,,,,,
28,05/31/19 04:30:00 AM,16.3516,42.915,,,,,
29,05/31/19 05:00:00 AM,16.3516,42.915,,,,,
30,05/31/19 05:30:00 AM,16.3516,42.915,,,,,
31,05/31/19 06:00:00 AM,16.3501,42.915,,,,,
32,05/31/19 06:30:00 AM,16.3516,42.915,,,,,
33,05/31/19 07:00:00 AM,16.3501,42.915,,,,,
34,05/31/19 07:30:00 AM,16.3501,42.915,,,,,
35,05/31/19 08:00:00 AM,16.3516,42.915,,,,,
36,05/31/19 08:30:00 AM,16.3516,42.915,,,,,
37,05/31/19 09:00:00 AM,16.3516,42.915,,,,,
38,05/31/19 09:30:00 AM,16.3501,42.915,,,,,
39,05/31/19 10:00:00 AM,16.3485,42.915,,,,,
40,05/31/19 10:30:00 AM,16.3471,42.915,,,,,
41,05/31/19 11:00:00 AM,16.3471,42.915,,,,,
42,05/31/19 11:30:00 AM,16.3456,42.915,,,,,
43,05/31/19 12:00:00 PM,16.3442,42.915,,,,,
44,05/31/19 12:30:00 PM,16.3413,42.915,,,,,
45,05/31/19 01:00:00 PM,16.3384,42.915,,,,,
46,05/31/19 01:30:00 PM,16.3324,42.915,,,,,
47,05/31/19 02:00:00 PM,16.3281,42.915,,,,,
48,05/31/19 02:30:00 PM,16.3295,42.915,,,,,
49,05/31/19 03:00:00 PM,16.3281,42.915,,,,,
50,05/31/19 03:30:00 PM,16.3250,42.915,,,,,
51,05/31/19 04:00:00 PM,16.3178,42.915,,,,,
52,05/31/19 04:30:00 PM,16.3118,42.915,,,,,
53,05/31/19 05:00:00 PM,16.3147,42.915,,,,,
54,05/31/19 05:30:00 PM,16.3118,42.915,,,,,
55,05/31/19 06:00:00 PM,16.3089,42.915,,,,,
56,05/31/19 06:30:00 PM,16.3089,42.915,,,,,
57,05/31/19 07:00:00 PM,16.3104,42.915,,,,,
58,05/31/19 07:30:00 PM,16.3147,42.915,,,,,
59,05/31/19 08:00:00 PM,16.3147,42.915,,,,,
60,05/31/19 08:30:00 PM,16.3231,43.099,,,,,
61,05/31/19 09:00:00 PM,16.3250,42.915,,,,,
62,05/31/19 09:30:00 PM,16.3276,43.099,,,,,
63,05/31/19 10:00:00 PM,16.3334,43.099,,,,,
64,05/31/19 10:30:00 PM,16.3339,42.915,,,,,
65,05/31/19 11:00:00 PM,16.3334,43.099,,,,,
66,05/31/19 11:30:00 PM,16.3334,43.099,,,,,
67,06/01/19 12:00:00 AM,16.3349,43.099,,,,,
68,06/01/19 12:30:00 AM,16.3349,43.099,,,,,
69,06/01/19 01:00:00 AM,16.3320,43.099,,,,,
70,06/01/19 01:30:00 AM,16.3291,43.099,,,,,
71,06/01/19 02:00:00 AM,16.3291,43.099,,,,,
72,06/01/19 02:30:00 AM,16.3262,43.099,,,,,
73,06/01/19 03:00:00 AM,16.3276,43.099,,,,,
74,06/01/19 03:30:00 AM,16.3231,43.099,,,,,
75,06/01/19 04:00:00 AM,16.3246,43.099,,,,,
76,06/01/19 04:30:00 AM,16.3217,43.099,,,,,
77,06/01/19 05:00:00 AM,16.3262,43.099,,,,,
78,06/01/19 05:30:00 AM,16.3231,43.099,,,,,
79,06/01/19 06:00:00 AM,16.3246,43.099,,,,,
80,06/01/19 06:30:00 AM,16.3231,43.099,,,,,
81,06/01/19 07:00:00 AM,16.3246,43.099,,,,,
82,06/01/19 07:30:00 AM,16.3246,43.099,,,,,
83,06/01/19 08:00:00 AM,16.3262,43.099,,,,,
84,06/01/19 08:30:00 AM,16.3217,43.099,,,,,
85,06/01/19 09:00:00 AM,16.3231,43.099,,,,,
86,06/01/19 09:30:00 AM,16.3202,43.099,,,,,
87,06/01/19 10:00:00 AM,16.3159,43.099,,,,,
88,06/01/19 10:30:00 AM,16.3188,43.099,,,,,
89,06/01/19 11:00:00 AM,16.3188,43.099,,,,,
