Date,Time,pres (psi),temp (f)
12/09/2019,12:00:00,12.3579,44.56
12/09/2019,12:30:00,12.3584,49.937
12/09/2019,13:00:00,12.3591,57.441
12/09/2019,13:30:00,12.3463,48.871
12/09/2019,14:00:00,12.3514,49.05
12/09/2019,14:30:00,12.3384,45.828
12/09/2019,15:00:00,12.3408,48.517
12/09/2019,15:30:00,12.3436,49.582
12/09/2019,16:00:00,12.3471,54.495
12/09/2019,16:30:00,12.3459,48.695
12/09/2019,17:00:00,12.3488,39.384
12/09/2019,17:30:00,12.3489,34.394
12/09/2019,18:00:00,12.3492,31.213
12/09/2019,18:30:00,12.3521,28.969
12/09/2019,19:00:00,12.3537,27.93
12/09/2019,19:30:00,12.3526,27.511
12/09/2019,20:00:00,12.36,26.881
12/09/2019,20:30:00,12.3627,26.245
12/09/2019,21:00:00,12.3649,25.39
12/09/2019,21:30:00,12.3637,24.96
12/09/2019,22:00:00,12.3756,24.31
12/09/2019,22:30:00,12.3697,23.875
12/09/2019,23:00:00,12.3769,23.216
12/09/2019,23:30:00,12.3706,22.552
12/10/2019,0:00:00,12.3693,22.107
12/10/2019,0:30:00,12.3719,21.434
12/10/2019,1:00:00,12.3751,20.984
12/10/2019,1:30:00,12.3732,20.302
12/10/2019,2:00:00,12.3665,19.612
12/10/2019,2:30:00,12.3743,19.152
12/10/2019,3:00:00,12.3782,18.919
12/10/2019,3:30:00,12.373,18.685
12/10/2019,4:00:00,12.3775,18.685
12/10/2019,4:30:00,12.3698,19.152
12/10/2019,5:00:00,12.3764,19.843
12/10/2019,5:30:00,12.3745,20.757
12/10/2019,6:00:00,12.3711,21.209
12/10/2019,6:30:00,12.3672,21.434
12/10/2019,7:00:00,12.3765,21.434
12/10/2019,7:30:00,12.3751,20.984
12/10/2019,8:00:00,12.3732,20.302
12/10/2019,8:30:00,12.3724,20.073
12/10/2019,9:00:00,12.3672,19.843
12/10/2019,9:30:00,12.3724,20.073
12/10/2019,10:00:00,12.3804,21.209
12/10/2019,10:30:00,12.3829,23.655
12/10/2019,11:00:00,12.3809,29.379
12/10/2019,11:30:00,12.3819,31.415
12/10/2019,12:00:00,12.3791,43.831
12/10/2019,12:30:00,12.3753,49.404
12/10/2019,13:00:00,12.3636,57.441
12/10/2019,13:30:00,12.3584,49.937
12/10/2019,14:00:00,12.3587,46.548
12/10/2019,14:30:00,12.3563,45.648
12/10/2019,15:00:00,12.355,46.908
