"Plot Title: RCW2"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 10766795, SEN S/N: 10766795)","Temp, °F (LGR S/N: 10766795, SEN S/N: 10766795)","Coupler Detached (LGR S/N: 10766795)","Coupler Attached (LGR S/N: 10766795)","Host Connected (LGR S/N: 10766795)","End Of File (LGR S/N: 10766795)"
1,09/03/19 11:00:00 AM,12.3649,71.512,Logged,,,
2,09/03/19 11:30:00 AM,12.3604,57.096,,,,
3,09/03/19 12:00:00 PM,12.3566,54.322,,,,
4,09/03/19 12:30:00 PM,12.3565,53.623,,,,
5,09/03/19 01:00:00 PM,12.3546,53.449,,,,
6,09/03/19 01:30:00 PM,12.3501,53.449,,,,
7,09/03/19 02:00:00 PM,12.3481,53.274,,,,
8,09/03/19 02:30:00 PM,12.3452,53.274,,,,
9,09/03/19 03:00:00 PM,12.3436,53.274,,,,
10,09/03/19 03:30:00 PM,12.3391,53.274,,,,
11,09/03/19 04:00:00 PM,12.3362,53.274,,,,
12,09/03/19 04:30:00 PM,12.3346,53.274,,,,
13,09/03/19 05:00:00 PM,12.3317,53.274,,,,
14,09/03/19 05:30:00 PM,12.3301,53.274,,,,
15,09/03/19 06:00:00 PM,12.3301,53.274,,,,
16,09/03/19 06:30:00 PM,12.3301,53.274,,,,
17,09/03/19 07:00:00 PM,12.3286,53.274,,,,
18,09/03/19 07:30:00 PM,12.3346,53.274,,,,
19,09/03/19 08:00:00 PM,12.3391,53.274,,,,
20,09/03/19 08:30:00 PM,12.3436,53.274,,,,
21,09/03/19 09:00:00 PM,12.3436,53.274,,,,
22,09/03/19 09:30:00 PM,12.3421,53.274,,,,
23,09/03/19 10:00:00 PM,12.3447,53.100,,,,
24,09/03/19 10:30:00 PM,12.3452,53.274,,,,
25,09/03/19 11:00:00 PM,12.3436,53.274,,,,
26,09/03/19 11:30:00 PM,12.3452,53.274,,,,
27,09/04/19 12:00:00 AM,12.3436,53.274,,,,
28,09/04/19 12:30:00 AM,12.3436,53.274,,,,
29,09/04/19 01:00:00 AM,12.3452,53.274,,,,
30,09/04/19 01:30:00 AM,12.3447,53.100,,,,
31,09/04/19 02:00:00 AM,12.3417,53.100,,,,
32,09/04/19 02:30:00 AM,12.3376,53.274,,,,
33,09/04/19 03:00:00 AM,12.3391,53.274,,,,
34,09/04/19 03:30:00 AM,12.3346,53.274,,,,
35,09/04/19 04:00:00 AM,12.3331,53.274,,,,
36,09/04/19 04:30:00 AM,12.3331,53.274,,,,
37,09/04/19 05:00:00 AM,12.3346,53.274,,,,
38,09/04/19 05:30:00 AM,12.3331,53.274,,,,
39,09/04/19 06:00:00 AM,12.3362,53.274,,,,
40,09/04/19 06:30:00 AM,12.3391,53.274,,,,
