Date,baro.pressure_psi,total.pressure_psi,temp.ref_F,water.level.above.sensor,ID
2020-04-25 13:00:00,12.3646,16.3272,41.254,9.141,RCW6
2020-04-25 13:30:00,12.3563,16.317,40.509,9.136,RCW6
2020-04-25 14:00:00,12.3445,16.3096,40.509,9.146,RCW6
2020-04-25 14:30:00,12.3503,16.3041,40.321,9.12,RCW6
2020-04-25 15:00:00,12.3478,16.2983,40.321,9.113,RCW6
2020-04-25 15:30:00,12.3436,16.2938,40.321,9.112,RCW6
2020-04-25 16:00:00,12.3357,16.2895,40.321,9.12,RCW6
2020-04-25 16:30:00,12.3353,16.2866,40.321,9.115,RCW6
2020-04-25 17:00:00,12.3324,16.2821,40.321,9.111,RCW6
2020-04-25 17:30:00,12.3366,16.2835,40.321,9.104,RCW6
2020-04-25 18:00:00,12.3375,16.2851,40.321,9.106,RCW6
2020-04-25 18:30:00,12.3388,16.2821,40.321,9.096,RCW6
2020-04-25 19:00:00,12.3288,16.2806,40.321,9.116,RCW6
2020-04-25 19:30:00,12.3327,16.2806,40.321,9.107,RCW6
2020-04-25 20:00:00,12.331,16.2777,40.321,9.104,RCW6
2020-04-25 20:30:00,12.3311,16.2792,40.321,9.107,RCW6
2020-04-25 21:00:00,12.3334,16.2792,40.321,9.102,RCW6
2020-04-25 21:30:00,12.343,16.2835,40.321,9.09,RCW6
2020-04-25 22:00:00,12.3387,16.288,40.321,9.11,RCW6
2020-04-25 22:30:00,12.3394,16.288,40.321,9.108,RCW6
2020-04-25 23:00:00,12.3442,16.2866,40.321,9.094,RCW6
2020-04-25 23:30:00,12.3401,16.2821,40.321,9.093,RCW6
2020-04-26 00:00:00,12.3375,16.2866,40.321,9.11,RCW6
2020-04-26 00:30:00,12.3405,16.288,40.321,9.106,RCW6
2020-04-26 01:00:00,12.3349,16.2866,40.321,9.116,RCW6
2020-04-26 01:30:00,12.341,16.2851,40.321,9.098,RCW6
2020-04-26 02:00:00,12.3372,16.2835,40.321,9.103,RCW6
2020-04-26 02:30:00,12.3387,16.2835,40.321,9.1,RCW6
2020-04-26 03:00:00,12.3313,16.2792,40.321,9.107,RCW6
2020-04-26 03:30:00,12.3337,16.2792,40.321,9.101,RCW6
2020-04-26 04:00:00,12.3269,16.2777,40.321,9.113,RCW6
2020-04-26 04:30:00,12.3246,16.2792,40.321,9.122,RCW6
2020-04-26 05:00:00,12.3228,16.2777,40.321,9.123,RCW6
2020-04-26 05:30:00,12.3257,16.2777,40.321,9.116,RCW6
2020-04-26 06:00:00,12.3246,16.2763,40.321,9.116,RCW6
2020-04-26 06:30:00,12.324,16.2792,40.321,9.124,RCW6
2020-04-26 07:00:00,12.3252,16.2792,40.321,9.121,RCW6
2020-04-26 07:30:00,12.3286,16.2821,40.321,9.12,RCW6
2020-04-26 08:00:00,12.3343,16.2835,40.321,9.11,RCW6
2020-04-26 08:30:00,12.3318,16.2835,40.321,9.116,RCW6
2020-04-26 09:00:00,12.3405,16.2835,40.321,9.095,RCW6
2020-04-26 09:30:00,12.3333,16.2851,40.321,9.116,RCW6
2020-04-26 10:00:00,12.3342,16.2835,40.321,9.11,RCW6
2020-04-26 10:30:00,12.34,16.2851,40.321,9.1,RCW6
2020-04-26 11:00:00,12.3413,16.2851,40.321,9.097,RCW6
2020-04-26 11:30:00,12.3357,16.2835,40.321,9.107,RCW6
2020-04-26 12:00:00,12.3397,16.2806,40.321,9.091,RCW6
2020-04-26 12:30:00,12.3307,16.2748,40.321,9.098,RCW6
2020-04-26 13:00:00,12.3297,16.2718,40.321,9.093,RCW6
