"Plot Title: RCW2"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 10766795, SEN S/N: 10766795)","Temp, °F (LGR S/N: 10766795, SEN S/N: 10766795)","Abs Pres Barom., psi (LGR S/N: 10672171, SEN S/N: 10672171)","Sensor Depth, feet (LGR S/N: 10766795)","Coupler Detached (LGR S/N: 10766795)","Coupler Attached (LGR S/N: 10766795)","End Of File (LGR S/N: 10766795)"
1,09/03/19 11:00:00 AM,12.3649,71.512,12.3563,0.020,Logged,,
2,09/03/19 11:30:00 AM,12.3604,57.096,12.3604,0.000,,,
3,09/03/19 12:00:00 PM,12.3566,54.322,12.3579,-0.003,,,
4,09/03/19 12:30:00 PM,12.3565,53.623,12.3536,0.007,,,
5,09/03/19 01:00:00 PM,12.3546,53.449,12.3549,-0.001,,,
6,09/03/19 01:30:00 PM,12.3501,53.449,12.3527,-0.006,,,
7,09/03/19 02:00:00 PM,12.3481,53.274,12.3481,0.000,,,
8,09/03/19 02:30:00 PM,12.3452,53.274,12.3489,-0.009,,,
9,09/03/19 03:00:00 PM,12.3436,53.274,12.3418,0.004,,,
10,09/03/19 03:30:00 PM,12.3391,53.274,12.3387,0.001,,,
11,09/03/19 04:00:00 PM,12.3362,53.274,12.3346,0.004,,,
12,09/03/19 04:30:00 PM,12.3346,53.274,12.3346,0.000,,,
13,09/03/19 05:00:00 PM,12.3317,53.274,12.3330,-0.003,,,
14,09/03/19 05:30:00 PM,12.3301,53.274,12.3305,-0.001,,,
15,09/03/19 06:00:00 PM,12.3301,53.274,12.3240,0.014,,,
16,09/03/19 06:30:00 PM,12.3301,53.274,12.3318,-0.004,,,
17,09/03/19 07:00:00 PM,12.3286,53.274,12.3276,0.002,,,
18,09/03/19 07:30:00 PM,12.3346,53.274,12.3315,0.007,,,
19,09/03/19 08:00:00 PM,12.3391,53.274,12.3346,0.010,,,
20,09/03/19 08:30:00 PM,12.3436,53.274,12.3369,0.015,,,
21,09/03/19 09:00:00 PM,12.3436,53.274,12.3382,0.012,,,
22,09/03/19 09:30:00 PM,12.3421,53.274,12.3413,0.002,,,
23,09/03/19 10:00:00 PM,12.3447,53.100,12.3408,0.009,,,
24,09/03/19 10:30:00 PM,12.3452,53.274,12.3408,0.010,,,
25,09/03/19 11:00:00 PM,12.3436,53.274,12.3366,0.016,,,
26,09/03/19 11:30:00 PM,12.3452,53.274,12.3426,0.006,,,
27,09/04/19 12:00:00 AM,12.3436,53.274,12.3397,0.009,,,
28,09/04/19 12:30:00 AM,12.3436,53.274,12.3459,-0.005,,,
29,09/04/19 01:00:00 AM,12.3452,53.274,12.3430,0.005,,,
30,09/04/19 01:30:00 AM,12.3447,53.100,12.3456,-0.002,,,
31,09/04/19 02:00:00 AM,12.3417,53.100,12.3395,0.005,,,
32,09/04/19 02:30:00 AM,12.3376,53.274,12.3381,-0.001,,,
33,09/04/19 03:00:00 AM,12.3391,53.274,12.3308,0.019,,,
34,09/04/19 03:30:00 AM,12.3346,53.274,12.3340,0.001,,,
35,09/04/19 04:00:00 AM,12.3331,53.274,12.3324,0.002,,,
36,09/04/19 04:30:00 AM,12.3331,53.274,12.3308,0.005,,,
37,09/04/19 05:00:00 AM,12.3346,53.274,12.3334,0.003,,,
38,09/04/19 05:30:00 AM,12.3331,53.274,12.3328,0.001,,,
39,09/04/19 06:00:00 AM,12.3362,53.274,12.3318,0.010,,,
40,09/04/19 06:30:00 AM,12.3391,53.274,12.3313,0.018,,,
41,09/04/19 07:00:00 AM,12.3407,53.274,12.3359,0.011,,,
42,09/04/19 07:30:00 AM,12.3421,53.274,12.3375,0.011,,,
43,09/04/19 08:00:00 AM,12.3436,53.274,12.3472,-0.008,,,
44,09/04/19 08:30:00 AM,12.3466,53.274,12.3434,0.007,,,
45,09/04/19 09:00:00 AM,12.3466,53.274,12.3372,0.022,,,
46,09/04/19 09:30:00 AM,12.3452,53.274,12.3416,0.008,,,
47,09/04/19 10:00:00 AM,12.3452,53.274,12.3414,0.009,,,
48,09/04/19 10:30:00 AM,12.3407,53.274,12.3331,0.017,,,
49,09/04/19 11:00:00 AM,12.3421,53.274,12.3355,0.015,,,
50,09/04/19 11:30:00 AM,12.3391,53.274,12.3402,-0.003,,,
51,09/04/19 12:00:00 PM,12.3376,53.274,12.3385,-0.002,,,
52,09/04/19 12:30:00 PM,12.3362,53.274,12.3333,0.007,,,
53,09/04/19 01:00:00 PM,12.3331,53.274,12.3318,0.003,,,
54,09/04/19 01:30:00 PM,12.3301,53.274,12.3313,-0.003,,,
55,09/04/19 02:00:00 PM,12.3317,53.274,12.3253,0.015,,,
56,09/04/19 02:30:00 PM,12.3286,53.274,12.3207,0.018,,,
57,09/04/19 03:00:00 PM,12.3256,53.274,12.3233,0.005,,,
58,09/04/19 03:30:00 PM,12.3211,53.274,12.3233,-0.005,,,
59,09/04/19 04:00:00 PM,12.3211,53.274,12.3191,0.005,,,
60,09/04/19 04:30:00 PM,12.3197,53.274,12.3195,0.000,,,
61,09/04/19 05:00:00 PM,12.3197,53.274,12.3137,0.014,,,
62,09/04/19 05:30:00 PM,12.3197,53.274,12.3141,0.013,,,
63,09/04/19 06:00:00 PM,12.3197,53.274,12.3128,0.016,,,
64,09/04/19 06:30:00 PM,12.3166,53.274,12.3143,0.005,,,
65,09/04/19 07:00:00 PM,12.3197,53.274,12.3214,-0.004,,,
66,09/04/19 07:30:00 PM,12.3226,53.274,12.3144,0.019,,,
67,09/04/19 08:00:00 PM,12.3241,53.274,12.3278,-0.008,,,
68,09/04/19 08:30:00 PM,12.3272,53.274,12.3262,0.002,,,
69,09/04/19 09:00:00 PM,12.3286,53.274,12.3350,-0.015,,,
70,09/04/19 09:30:00 PM,12.3346,53.274,12.3321,0.006,,,
71,09/04/19 10:00:00 PM,12.3362,53.274,12.3288,0.017,,,
72,09/04/19 10:30:00 PM,12.3362,53.274,12.3304,0.013,,,
73,09/04/19 11:00:00 PM,12.3376,53.274,12.3353,0.005,,,
74,09/04/19 11:30:00 PM,12.3391,53.274,12.3356,0.008,,,
75,09/05/19 12:00:00 AM,12.3407,53.274,12.3360,0.011,,,
76,09/05/19 12:30:00 AM,12.3391,53.274,12.3360,0.007,,,
77,09/05/19 01:00:00 AM,12.3407,53.274,12.3402,0.001,,,
78,09/05/19 01:30:00 AM,12.3421,53.274,12.3394,0.006,,,
79,09/05/19 02:00:00 AM,12.3421,53.274,12.3389,0.007,,,
80,09/05/19 02:30:00 AM,12.3391,53.274,12.3346,0.010,,,
81,09/05/19 03:00:00 AM,12.3391,53.274,12.3347,0.010,,,
82,09/05/19 03:30:00 AM,12.3407,53.274,12.3379,0.006,,,
83,09/05/19 04:00:00 AM,12.3407,53.274,12.3417,-0.002,,,
84,09/05/19 04:30:00 AM,12.3407,53.274,12.3324,0.019,,,
85,09/05/19 05:00:00 AM,12.3407,53.274,12.3398,0.002,,,
86,09/05/19 05:30:00 AM,12.3421,53.274,12.3400,0.005,,,
87,09/05/19 06:00:00 AM,12.3421,53.274,12.3459,-0.009,,,
88,09/05/19 06:30:00 AM,12.3466,53.274,12.3523,-0.013,,,
89,09/05/19 07:00:00 AM,12.3497,53.274,12.3458,0.009,,,
90,09/05/19 07:30:00 AM,12.3526,53.274,12.3514,0.003,,,
91,09/05/19 08:00:00 AM,12.3571,53.274,12.3555,0.004,,,
92,09/05/19 08:30:00 AM,12.3571,53.274,12.3532,0.009,,,
93,09/05/19 09:00:00 AM,12.3587,53.274,12.3565,0.005,,,
94,09/05/19 09:30:00 AM,12.3571,53.274,12.3526,0.010,,,
95,09/05/19 10:00:00 AM,12.3556,53.274,12.3527,0.007,,,
96,09/05/19 10:30:00 AM,12.3542,53.274,12.3563,-0.005,,,
97,09/05/19 11:00:00 AM,12.3542,53.274,12.3540,0.000,,,
98,09/05/19 11:30:00 AM,12.3571,53.274,12.3619,-0.011,,,
99,09/05/19 12:00:00 PM,12.3571,53.274,12.3606,-0.008,,,
100,09/05/19 12:30:00 PM,12.3542,53.274,12.3581,-0.009,,,
101,09/05/19 01:00:00 PM,12.3601,53.274,12.3614,-0.003,,,
102,09/05/19 01:30:00 PM,12.3571,53.274,12.3624,-0.012,,,
103,09/05/19 02:00:00 PM,12.3571,53.274,12.3547,0.005,,,
104,09/05/19 02:30:00 PM,12.3542,53.274,12.3553,-0.003,,,
105,09/05/19 03:00:00 PM,12.3542,53.274,12.3563,-0.005,,,
106,09/05/19 03:30:00 PM,12.3497,53.274,12.3571,-0.017,,,
107,09/05/19 04:00:00 PM,12.3511,53.274,12.3485,0.006,,,
108,09/05/19 04:30:00 PM,12.3497,53.274,12.3532,-0.008,,,
109,09/05/19 05:00:00 PM,12.3466,53.274,12.3503,-0.008,,,
110,09/05/19 05:30:00 PM,12.3452,53.274,12.3466,-0.003,,,
111,09/05/19 06:00:00 PM,12.3481,53.274,12.3476,0.001,,,
112,09/05/19 06:30:00 PM,12.3511,53.274,12.3545,-0.008,,,
