Date,baro.pressure_psi,total.pressure_psi,temp.ref_F,water.level.above.sensor,ID
2020-04-25 11:30:00,12.3706,13.0344,40.134,1.531,RCW2
2020-04-25 12:00:00,12.3693,13.0283,39.007,1.52,RCW2
2020-04-25 12:30:00,12.3684,13.0293,38.818,1.525,RCW2
2020-04-25 13:00:00,12.3646,13.0234,38.818,1.52,RCW2
2020-04-25 13:30:00,12.3563,13.0189,38.818,1.528,RCW2
2020-04-25 14:00:00,12.3445,13.0158,38.818,1.549,RCW2
2020-04-25 14:30:00,12.3503,13.0128,38.818,1.528,RCW2
2020-04-25 15:00:00,12.3478,13.0128,38.818,1.534,RCW2
2020-04-25 15:30:00,12.3436,13.0083,38.818,1.533,RCW2
2020-04-25 16:00:00,12.3357,13.0054,38.818,1.545,RCW2
2020-04-25 16:30:00,12.3353,13.0009,38.818,1.535,RCW2
2020-04-25 17:00:00,12.3324,12.9978,38.818,1.535,RCW2
2020-04-25 17:30:00,12.3366,12.9978,38.818,1.525,RCW2
2020-04-25 18:00:00,12.3375,13.0009,38.818,1.53,RCW2
2020-04-25 18:30:00,12.3388,12.9978,38.818,1.52,RCW2
2020-04-25 19:00:00,12.3288,12.9978,38.818,1.543,RCW2
2020-04-25 19:30:00,12.3327,12.9948,38.818,1.527,RCW2
2020-04-25 20:00:00,12.331,12.9919,38.818,1.525,RCW2
2020-04-25 20:30:00,12.3311,12.9948,38.818,1.531,RCW2
2020-04-25 21:00:00,12.3334,12.9978,38.818,1.533,RCW2
2020-04-25 21:30:00,12.343,12.9978,38.818,1.51,RCW2
2020-04-25 22:00:00,12.3387,13.0023,38.818,1.531,RCW2
2020-04-25 22:30:00,12.3394,13.0038,38.818,1.533,RCW2
2020-04-25 23:00:00,12.3442,12.9978,38.818,1.508,RCW2
2020-04-25 23:30:00,12.3401,12.9964,38.818,1.514,RCW2
2020-04-26 00:00:00,12.3375,12.9978,38.818,1.523,RCW2
2020-04-26 00:30:00,12.3405,12.9993,38.818,1.52,RCW2
2020-04-26 01:00:00,12.3349,12.9978,38.818,1.529,RCW2
2020-04-26 01:30:00,12.341,12.9964,38.818,1.512,RCW2
2020-04-26 02:00:00,12.3372,12.9948,38.818,1.517,RCW2
2020-04-26 02:30:00,12.3387,12.9948,38.818,1.513,RCW2
2020-04-26 03:00:00,12.3313,12.9919,38.818,1.524,RCW2
2020-04-26 03:30:00,12.3337,12.9889,38.818,1.511,RCW2
2020-04-26 04:00:00,12.3269,12.9889,38.818,1.527,RCW2
2020-04-26 04:30:00,12.3246,12.9889,38.818,1.532,RCW2
2020-04-26 05:00:00,12.3228,12.9874,38.818,1.533,RCW2
2020-04-26 05:30:00,12.3257,12.9858,38.818,1.523,RCW2
2020-04-26 06:00:00,12.3246,12.9829,38.818,1.519,RCW2
2020-04-26 06:30:00,12.324,12.9844,38.818,1.523,RCW2
2020-04-26 07:00:00,12.3252,12.9858,38.818,1.524,RCW2
2020-04-26 07:30:00,12.3286,12.9874,38.818,1.52,RCW2
2020-04-26 08:00:00,12.3343,12.9889,38.818,1.51,RCW2
2020-04-26 08:30:00,12.3318,12.9874,38.818,1.512,RCW2
2020-04-26 09:00:00,12.3405,12.9874,38.818,1.492,RCW2
2020-04-26 09:30:00,12.3333,12.9858,38.818,1.505,RCW2
2020-04-26 10:00:00,12.3342,12.9874,38.818,1.507,RCW2
2020-04-26 10:30:00,12.34,12.9844,38.818,1.486,RCW2
2020-04-26 11:00:00,12.3413,12.9874,38.818,1.49,RCW2
2020-04-26 11:30:00,12.3357,12.9844,38.818,1.496,RCW2
2020-04-26 12:00:00,12.3397,12.9829,38.818,1.484,RCW2
2020-04-26 12:30:00,12.3307,12.9784,38.818,1.494,RCW2
2020-04-26 13:00:00,12.3297,12.9754,38.818,1.489,RCW2
2020-04-26 13:30:00,12.327,12.9709,38.818,1.485,RCW2
2020-04-26 14:00:00,12.3249,12.9678,38.818,1.483,RCW2
2020-04-26 14:30:00,12.3223,12.9664,38.818,1.486,RCW2
2020-04-26 15:00:00,12.3115,12.9633,38.818,1.504,RCW2
2020-04-26 15:30:00,12.315,12.9604,38.818,1.489,RCW2
2020-04-26 16:00:00,12.3205,12.9619,38.818,1.48,RCW2
2020-04-26 16:30:00,12.3101,12.9604,38.818,1.5,RCW2
2020-04-26 17:00:00,12.3133,12.9588,38.818,1.489,RCW2
2020-04-26 17:30:00,12.3131,12.9588,38.818,1.489,RCW2
2020-04-26 18:00:00,12.3186,12.9604,38.818,1.48,RCW2
2020-04-26 18:30:00,12.3191,12.9574,38.818,1.472,RCW2
2020-04-26 19:00:00,12.3162,12.9574,38.818,1.479,RCW2
2020-04-26 19:30:00,12.3207,12.9594,39.007,1.473,RCW2
2020-04-26 20:00:00,12.3181,12.9609,39.007,1.483,RCW2
2020-04-26 20:30:00,12.3234,12.9609,39.007,1.471,RCW2
2020-04-26 21:00:00,12.3328,12.9654,39.007,1.459,RCW2
2020-04-26 21:30:00,12.3326,12.9699,39.007,1.47,RCW2
2020-04-26 22:00:00,12.3384,12.9744,39.007,1.467,RCW2
2020-04-26 22:30:00,12.3405,12.9788,39.007,1.472,RCW2
2020-04-26 23:00:00,12.3426,12.9788,39.007,1.468,RCW2
2020-04-26 23:30:00,12.3446,12.9744,39.007,1.453,RCW2
2020-04-27 00:00:00,12.3375,12.9684,39.007,1.455,RCW2
2020-04-27 00:30:00,12.3431,12.9715,39.007,1.45,RCW2
2020-04-27 01:00:00,12.344,12.9729,39.007,1.451,RCW2
2020-04-27 01:30:00,12.3418,12.9744,39.007,1.459,RCW2
2020-04-27 02:00:00,12.3443,12.9715,39.007,1.447,RCW2
2020-04-27 02:30:00,12.3375,12.9715,39.007,1.462,RCW2
2020-04-27 03:00:00,12.3359,12.9684,39.007,1.459,RCW2
2020-04-27 03:30:00,12.3302,12.967,39.007,1.469,RCW2
2020-04-27 04:00:00,12.3394,12.9654,39.007,1.444,RCW2
2020-04-27 04:30:00,12.3405,12.9684,39.007,1.448,RCW2
2020-04-27 05:00:00,12.3318,12.967,39.007,1.465,RCW2
2020-04-27 05:30:00,12.3343,12.9684,39.007,1.463,RCW2
2020-04-27 06:00:00,12.3378,12.9699,39.007,1.458,RCW2
2020-04-27 06:30:00,12.3416,12.9699,39.007,1.449,RCW2
2020-04-27 07:00:00,12.3475,12.9729,39.007,1.443,RCW2
2020-04-27 07:30:00,12.3498,12.9774,39.007,1.448,RCW2
2020-04-27 08:00:00,12.3598,12.9804,39.007,1.432,RCW2
2020-04-27 08:30:00,12.3619,12.9788,39.007,1.423,RCW2
2020-04-27 09:00:00,12.3561,12.9788,39.007,1.436,RCW2
2020-04-27 09:30:00,12.3579,12.9774,39.007,1.429,RCW2
2020-04-27 10:00:00,12.3571,12.9788,39.007,1.434,RCW2
2020-04-27 10:30:00,12.3684,12.9804,39.007,1.412,RCW2
2020-04-27 11:00:00,12.3648,12.9819,39.007,1.423,RCW2
2020-04-27 11:30:00,12.3681,12.9819,39.007,1.416,RCW2
2020-04-27 12:00:00,12.3707,12.9819,39.007,1.41,RCW2
2020-04-27 12:30:00,12.3606,12.9788,39.007,1.426,RCW2
2020-04-27 13:00:00,12.3571,12.9759,39.007,1.427,RCW2
2020-04-27 13:30:00,12.3592,12.9729,39.007,1.416,RCW2
2020-04-27 14:00:00,12.3559,12.9715,39.007,1.42,RCW2
2020-04-27 14:30:00,12.3603,12.9729,39.007,1.413,RCW2
2020-04-27 15:00:00,12.3584,12.9715,39.007,1.414,RCW2
2020-04-27 15:30:00,12.3556,12.9684,39.007,1.414,RCW2
2020-04-27 16:00:00,12.3611,12.967,39.007,1.398,RCW2
2020-04-27 16:30:00,12.3546,12.9699,39.007,1.419,RCW2
2020-04-27 17:00:00,12.3617,12.9699,39.007,1.403,RCW2
2020-04-27 17:30:00,12.3597,12.9699,39.007,1.408,RCW2
2020-04-27 18:00:00,12.3621,12.9684,39.007,1.399,RCW2
2020-04-27 18:30:00,12.3648,12.9699,39.007,1.396,RCW2
2020-04-27 19:00:00,12.3639,12.9699,39.007,1.398,RCW2
2020-04-27 19:30:00,12.3646,12.9729,39.007,1.403,RCW2
2020-04-27 20:00:00,12.3707,12.9744,39.007,1.393,RCW2
2020-04-27 20:30:00,12.373,12.9759,39.007,1.391,RCW2
2020-04-27 21:00:00,12.373,12.9774,39.007,1.394,RCW2
2020-04-27 21:30:00,12.3761,12.9809,39.196,1.395,RCW2
2020-04-27 22:00:00,12.3856,12.9823,39.196,1.376,RCW2
2020-04-27 22:30:00,12.3811,12.9809,39.196,1.384,RCW2
2020-04-27 23:00:00,12.3782,12.9839,39.196,1.397,RCW2
2020-04-27 23:30:00,12.3794,12.9839,39.196,1.394,RCW2
2020-04-28 00:00:00,12.3855,12.9854,39.196,1.384,RCW2
2020-04-28 00:30:00,12.3829,12.9839,39.196,1.386,RCW2
2020-04-28 01:00:00,12.3859,12.9839,39.196,1.379,RCW2
2020-04-28 01:30:00,12.3833,12.9839,39.196,1.385,RCW2
2020-04-28 02:00:00,12.3813,12.9809,39.196,1.383,RCW2
2020-04-28 02:30:00,12.3791,12.9809,39.196,1.388,RCW2
2020-04-28 03:00:00,12.3822,12.9778,39.196,1.374,RCW2
2020-04-28 03:30:00,12.38,12.9778,39.196,1.379,RCW2
2020-04-28 04:00:00,12.3782,12.9764,39.196,1.38,RCW2
2020-04-28 04:30:00,12.3807,12.9794,39.196,1.381,RCW2
2020-04-28 05:00:00,12.379,12.9764,39.196,1.378,RCW2
2020-04-28 05:30:00,12.3819,12.9749,39.196,1.368,RCW2
2020-04-28 06:00:00,12.3848,12.9749,39.196,1.361,RCW2
2020-04-28 06:30:00,12.3751,12.9733,39.196,1.38,RCW2
2020-04-28 07:00:00,12.3848,12.9749,39.196,1.361,RCW2
2020-04-28 07:30:00,12.3842,12.9778,39.196,1.369,RCW2
2020-04-28 08:00:00,12.3855,12.9749,39.196,1.36,RCW2
2020-04-28 08:30:00,12.3874,12.9749,39.196,1.355,RCW2
2020-04-28 09:00:00,12.3822,12.9704,39.196,1.357,RCW2
2020-04-28 09:30:00,12.3829,12.9719,39.196,1.359,RCW2
2020-04-28 10:00:00,12.3814,12.9688,39.196,1.355,RCW2
2020-04-28 10:30:00,12.3794,12.9704,39.196,1.363,RCW2
2020-04-28 11:00:00,12.3838,12.9674,39.196,1.346,RCW2
2020-04-28 11:30:00,12.3846,12.9674,39.196,1.344,RCW2
2020-04-28 12:00:00,12.378,12.9643,39.196,1.352,RCW2
