"Plot Title: RCW6"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20214180, SEN S/N: 20214180)","Temp, °F (LGR S/N: 20214180, SEN S/N: 20214180)","Abs Pres Barom., psi (LGR S/N: 20214179, SEN S/N: 20214179)","Sensor Depth, feet (LGR S/N: 20214180)","Coupler Detached (LGR S/N: 20214180)","Coupler Attached (LGR S/N: 20214180)","Host Connected (LGR S/N: 20214180)","End Of File (LGR S/N: 20214180)"
1,05/30/19 03:00:00 PM,16.4109,43.282,12.2956,9.494,Logged,,,
2,05/30/19 03:30:00 PM,16.4041,43.099,12.2979,9.473,,,,
3,05/30/19 04:00:00 PM,16.3938,43.099,12.2995,9.446,,,,
4,05/30/19 04:30:00 PM,16.3893,43.099,12.3002,9.434,,,,
5,05/30/19 05:00:00 PM,16.3765,42.915,12.2944,9.417,,,,
6,05/30/19 05:30:00 PM,16.3794,42.915,12.2989,9.414,,,,
7,05/30/19 06:00:00 PM,16.3721,42.915,12.2948,9.406,,,,
8,05/30/19 06:30:00 PM,16.3751,42.915,12.2985,9.405,,,,
9,05/30/19 07:00:00 PM,16.3706,42.915,12.2988,9.394,,,,
10,05/30/19 07:30:00 PM,16.3721,42.915,12.3033,9.387,,,,
11,05/30/19 08:00:00 PM,16.3751,42.915,12.3053,9.389,,,,
12,05/30/19 08:30:00 PM,16.3751,42.915,12.3046,9.391,,,,
13,05/30/19 09:00:00 PM,16.3706,42.915,12.3047,9.380,,,,
14,05/30/19 09:30:00 PM,16.3721,42.915,12.3073,9.378,,,,
15,05/30/19 10:00:00 PM,16.3706,42.915,12.3085,9.371,,,,
16,05/30/19 10:30:00 PM,16.3662,42.915,12.3054,9.368,,,,
17,05/30/19 11:00:00 PM,16.3691,42.915,12.3067,9.372,,,,
18,05/30/19 11:30:00 PM,16.3662,42.915,12.3065,9.366,,,,
19,05/31/19 12:00:00 AM,16.3604,42.915,12.3053,9.355,,,,
20,05/31/19 12:30:00 AM,16.3604,42.915,12.3040,9.358,,,,
21,05/31/19 01:00:00 AM,16.3574,42.915,12.3033,9.353,,,,
22,05/31/19 01:30:00 AM,16.3559,42.915,12.3028,9.351,,,,
23,05/31/19 02:00:00 AM,16.3574,42.915,12.3024,9.355,,,,
24,05/31/19 02:30:00 AM,16.3545,42.915,12.3034,9.346,,,,
25,05/31/19 03:00:00 AM,16.3559,42.915,12.3049,9.346,,,,
26,05/31/19 03:30:00 AM,16.3501,42.915,12.3036,9.336,,,,
27,05/31/19 04:00:00 AM,16.3516,42.915,12.3054,9.335,,,,
28,05/31/19 04:30:00 AM,16.3516,42.915,12.3040,9.338,,,,
29,05/31/19 05:00:00 AM,16.3516,42.915,12.3044,9.337,,,,
30,05/31/19 05:30:00 AM,16.3516,42.915,12.3040,9.338,,,,
31,05/31/19 06:00:00 AM,16.3501,42.915,12.3069,9.328,,,,
32,05/31/19 06:30:00 AM,16.3516,42.915,12.3069,9.331,,,,
33,05/31/19 07:00:00 AM,16.3501,42.915,12.3054,9.331,,,,
34,05/31/19 07:30:00 AM,16.3501,42.915,12.3072,9.327,,,,
35,05/31/19 08:00:00 AM,16.3516,42.915,12.3078,9.329,,,,
36,05/31/19 08:30:00 AM,16.3516,42.915,12.3104,9.323,,,,
37,05/31/19 09:00:00 AM,16.3516,42.915,12.3107,9.322,,,,
38,05/31/19 09:30:00 AM,16.3501,42.915,12.3104,9.320,,,,
39,05/31/19 10:00:00 AM,16.3485,42.915,12.3115,9.313,,,,
40,05/31/19 10:30:00 AM,16.3471,42.915,12.3128,9.307,,,,
41,05/31/19 11:00:00 AM,16.3471,42.915,12.3128,9.307,,,,
42,05/31/19 11:30:00 AM,16.3456,42.915,12.3134,9.302,,,,
43,05/31/19 12:00:00 PM,16.3442,42.915,12.3138,9.298,,,,
44,05/31/19 12:30:00 PM,16.3413,42.915,12.3140,9.291,,,,
45,05/31/19 01:00:00 PM,16.3384,42.915,12.3070,9.300,,,,
46,05/31/19 01:30:00 PM,16.3324,42.915,12.3020,9.298,,,,
47,05/31/19 02:00:00 PM,16.3281,42.915,12.2976,9.298,,,,
48,05/31/19 02:30:00 PM,16.3295,42.915,12.2986,9.299,,,,
