Plot Title: RCW3,,,,,,,,,
#,"Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20844448, SEN S/N: 20844448)","Temp, °F (LGR S/N: 20844448, SEN S/N: 20844448)","Abs Pres Barom., psi (LGR S/N: 20844446, SEN S/N: 20844446)","Sensor Depth, feet (LGR S/N: 20844448)",Coupler Detached (LGR S/N: 20844448),Coupler Attached (LGR S/N: 20844448),Host Connected (LGR S/N: 20844448),End Of File (LGR S/N: 20844448)
1,7/9/2020 21:00,14.3203,44.56,,,Logged,,,
2,7/9/2020 21:30,14.3226,44.379,,,,,,
3,7/9/2020 22:00,14.327,44.379,,,,,,
4,7/9/2020 22:30,14.3255,44.379,,,,,,
5,7/9/2020 23:00,14.3241,44.379,,,,,,
6,7/9/2020 23:30,14.3226,44.379,,,,,,
7,7/10/2020 0:00,14.3241,44.379,,,,,,
8,7/10/2020 0:30,14.3226,44.379,,,,,,
9,7/10/2020 1:00,14.3212,44.379,,,,,,
10,7/10/2020 1:30,14.3212,44.379,,,,,,
11,7/10/2020 2:00,14.3197,44.379,,,,,,
12,7/10/2020 2:30,14.3197,44.379,,,,,,
13,7/10/2020 3:00,14.3197,44.379,,,,,,
14,7/10/2020 3:30,14.3197,44.379,,,,,,
15,7/10/2020 4:00,14.3197,44.379,,,,,,
16,7/10/2020 4:30,14.3212,44.379,,,,,,
17,7/10/2020 5:00,14.3241,44.379,,,,,,
18,7/10/2020 5:30,14.3241,44.379,,,,,,
19,7/10/2020 6:00,14.3299,44.379,,,,,,
20,7/10/2020 6:30,14.3313,44.379,,,,,,
21,7/10/2020 7:00,14.3342,44.379,,,,,,
22,7/10/2020 7:30,14.3371,44.379,,,,,,
23,7/10/2020 8:00,14.3371,44.379,,,,,,
24,7/10/2020 8:30,14.34,44.379,,,,,,
25,7/10/2020 9:00,14.3415,44.379,,,,,,
26,7/10/2020 9:30,14.34,44.379,,,,,,
27,7/10/2020 10:00,14.34,44.379,,,,,,
28,7/10/2020 10:30,14.34,44.379,,,,,,
29,7/10/2020 11:00,14.34,44.379,,,,,,
30,7/10/2020 11:30,14.3415,44.379,,,,,,
31,7/10/2020 12:00,14.34,44.379,,,,,,
32,7/10/2020 12:30,14.34,44.379,,,,,,
33,7/10/2020 13:00,14.3371,44.379,,,,,,
34,7/10/2020 13:30,14.3357,44.379,,,,,,
35,7/10/2020 14:00,14.3313,44.379,,,,,,
36,7/10/2020 14:30,14.3299,44.379,,,,,,
37,7/10/2020 15:00,14.3299,44.379,,,,,,
38,7/10/2020 15:30,14.3241,44.379,,,,,,
39,7/10/2020 16:00,14.3212,44.379,,,,,,
40,7/10/2020 16:30,14.3183,44.379,,,,,,
41,7/10/2020 17:00,14.3168,44.379,,,,,,
42,7/10/2020 17:30,14.3139,44.379,,,,,,
43,7/10/2020 18:00,14.3125,44.379,,,,,,
44,7/10/2020 18:30,14.3139,44.379,,,,,,
45,7/10/2020 19:00,14.3139,44.379,,,,,,
46,7/10/2020 19:30,14.3139,44.379,,,,,,
47,7/10/2020 20:00,14.3139,44.379,,,,,,
48,7/10/2020 20:30,14.3154,44.379,,,,,,
49,7/10/2020 21:00,14.3168,44.379,,,,,,
50,7/10/2020 21:30,14.3212,44.379,,,,,,
51,7/10/2020 22:00,14.3212,44.379,,,,,,
52,7/10/2020 22:30,14.3212,44.379,,,,,,
53,7/10/2020 23:00,14.3212,44.379,,,,,,
54,7/10/2020 23:30,14.3212,44.379,,,,,,
55,7/11/2020 0:00,14.3255,44.379,,,,,,
56,7/11/2020 0:30,14.3226,44.379,,,,,,
57,7/11/2020 1:00,14.3226,44.379,,,,,,
58,7/11/2020 1:30,14.3197,44.379,,,,,,
59,7/11/2020 2:00,14.3197,44.379,,,,,,
60,7/11/2020 2:30,14.3183,44.379,,,,,,
61,7/11/2020 3:00,14.3139,44.379,,,,,,
62,7/11/2020 3:30,14.313,44.56,,,,,,
63,7/11/2020 4:00,14.3125,44.379,,,,,,
64,7/11/2020 4:30,14.3145,44.56,,,,,,
65,7/11/2020 5:00,14.3159,44.56,,,,,,
66,7/11/2020 5:30,14.3189,44.56,,,,,,
67,7/11/2020 6:00,14.3218,44.56,,,,,,
68,7/11/2020 6:30,14.3203,44.56,,,,,,
69,7/11/2020 7:00,14.3218,44.56,,,,,,
70,7/11/2020 7:30,14.3218,44.56,,,,,,
71,7/11/2020 8:00,14.3174,44.56,,,,,,
72,7/11/2020 8:30,14.3174,44.56,,,,,,
73,7/11/2020 9:00,14.3174,44.56,,,,,,
74,7/11/2020 9:30,14.3189,44.56,,,,,,
75,7/11/2020 10:00,14.3189,44.56,,,,,,
76,7/11/2020 10:30,14.3203,44.56,,,,,,
77,7/11/2020 11:00,14.3189,44.56,,,,,,
78,7/11/2020 11:30,14.3203,44.56,,,,,,
79,7/11/2020 12:00,14.3189,44.56,,,,,,
80,7/11/2020 12:30,14.3145,44.56,,,,,,
81,7/11/2020 13:00,14.3145,44.56,,,,,,
82,7/11/2020 13:30,14.3087,44.56,,,,,,
