Date,water.level.above.sensor_RCW1,water.level.above.sensor_RCW2,water.level.above.sensor_RCW3,water.level.above.sensor_RCW6,depth.gw_ft_RCW1,depth.gw_ft_RCW2,depth.gw_ft_RCW3,depth.gw_ft_RCW6,WY
2018-10-06,0.029,NA,NA,NA,9.479,NA,NA,NA,2019
2018-10-13,0.03,NA,NA,NA,9.478,NA,NA,NA,2019
2018-10-20,0.028,NA,NA,NA,9.48,NA,NA,NA,2019
2018-10-27,NA,NA,NA,NA,NA,NA,NA,NA,2019
2018-11-03,NA,NA,NA,NA,NA,NA,NA,NA,2019
2018-11-10,NA,NA,NA,NA,NA,NA,NA,NA,2019
2018-11-17,NA,NA,NA,NA,NA,NA,NA,NA,2019
2018-11-24,NA,NA,NA,NA,NA,NA,NA,NA,2019
2018-12-01,NA,NA,NA,NA,NA,NA,NA,NA,2019
2018-12-08,NA,NA,NA,NA,NA,NA,NA,NA,2019
2018-12-15,NA,NA,NA,NA,NA,NA,NA,NA,2019
2018-12-22,NA,NA,NA,NA,NA,NA,NA,NA,2019
2018-12-29,NA,NA,NA,NA,NA,NA,NA,NA,2019
2019-01-05,NA,NA,NA,NA,NA,NA,NA,NA,2019
2019-01-12,NA,NA,NA,NA,NA,NA,NA,NA,2019
2019-01-19,NA,NA,NA,NA,NA,NA,NA,NA,2019
2019-01-26,NA,NA,NA,NA,NA,NA,NA,NA,2019
2019-02-02,NA,NA,NA,NA,NA,NA,NA,NA,2019
2019-02-09,NA,NA,NA,NA,NA,NA,NA,NA,2019
2019-02-16,NA,NA,NA,NA,NA,NA,NA,NA,2019
2019-02-23,NA,NA,NA,NA,NA,NA,NA,NA,2019
2019-03-02,NA,NA,NA,NA,NA,NA,NA,NA,2019
2019-03-09,NA,NA,NA,NA,NA,NA,NA,NA,2019
2019-03-16,NA,NA,NA,NA,NA,NA,NA,NA,2019
2019-03-23,NA,NA,NA,NA,NA,NA,NA,NA,2019
2019-03-30,NA,NA,NA,NA,NA,NA,NA,NA,2019
