"Plot Title: ATM RC"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20844446, SEN S/N: 20844446)","Temp, °F (LGR S/N: 20844446, SEN S/N: 20844446)","Coupler Detached (LGR S/N: 20844446)","Coupler Attached (LGR S/N: 20844446)","Host Connected (LGR S/N: 20844446)","End Of File (LGR S/N: 20844446)"
1,08/17/20 10:00:00 AM,12.4344,63.797,Logged,,,
2,08/17/20 10:30:00 AM,12.4158,61.054,,,,
3,08/17/20 11:00:00 AM,12.4306,71.168,,,,
4,08/17/20 11:30:00 AM,12.4193,74.098,,,,
5,08/17/20 12:00:00 PM,12.4154,91.053,,,,
6,08/17/20 12:30:00 PM,12.4147,97.331,,,,
7,08/17/20 01:00:00 PM,12.4132,104.128,,,,
8,08/17/20 01:30:00 PM,12.4103,101.887,,,,
9,08/17/20 02:00:00 PM,12.4205,87.733,,,,
10,08/17/20 02:30:00 PM,12.4242,94.062,,,,
11,08/17/20 03:00:00 PM,12.4196,100.683,,,,
12,08/17/20 03:30:00 PM,12.4161,90.680,,,,
13,08/17/20 04:00:00 PM,12.4122,89.384,,,,
14,08/17/20 04:30:00 PM,12.4132,87.733,,,,
15,08/17/20 05:00:00 PM,12.4083,85.194,,,,
16,08/17/20 05:30:00 PM,12.4068,85.915,,,,
17,08/17/20 06:00:00 PM,12.4045,81.797,,,,
18,08/17/20 06:30:00 PM,12.4062,80.559,,,,
19,08/17/20 07:00:00 PM,12.4039,78.624,,,,
20,08/17/20 07:30:00 PM,12.4117,74.619,,,,
21,08/17/20 08:00:00 PM,12.4087,70.995,,,,
22,08/17/20 08:30:00 PM,12.4057,68.763,,,,
23,08/17/20 09:00:00 PM,12.4104,67.564,,,,
24,08/17/20 09:30:00 PM,12.4097,66.537,,,,
25,08/17/20 10:00:00 PM,12.4094,66.366,,,,
26,08/17/20 10:30:00 PM,12.4055,65.167,,,,
27,08/17/20 11:00:00 PM,12.4074,63.282,,,,
28,08/17/20 11:30:00 PM,12.4017,60.539,,,,
