"Plot Title: RC3W"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20844448, SEN S/N: 20844448)","Temp, °F (LGR S/N: 20844448, SEN S/N: 20844448)","Coupler Detached (LGR S/N: 20844448)","Coupler Attached (LGR S/N: 20844448)","Host Connected (LGR S/N: 20844448)","End Of File (LGR S/N: 20844448)"
1,07/09/20 09:00:00 PM,14.3203,44.560,Logged,,,
2,07/09/20 09:30:00 PM,14.3226,44.379,,,,
3,07/09/20 10:00:00 PM,14.3270,44.379,,,,
4,07/09/20 10:30:00 PM,14.3255,44.379,,,,
5,07/09/20 11:00:00 PM,14.3241,44.379,,,,
6,07/09/20 11:30:00 PM,14.3226,44.379,,,,
7,07/10/20 12:00:00 AM,14.3241,44.379,,,,
8,07/10/20 12:30:00 AM,14.3226,44.379,,,,
9,07/10/20 01:00:00 AM,14.3212,44.379,,,,
10,07/10/20 01:30:00 AM,14.3212,44.379,,,,
11,07/10/20 02:00:00 AM,14.3197,44.379,,,,
12,07/10/20 02:30:00 AM,14.3197,44.379,,,,
13,07/10/20 03:00:00 AM,14.3197,44.379,,,,
14,07/10/20 03:30:00 AM,14.3197,44.379,,,,
15,07/10/20 04:00:00 AM,14.3197,44.379,,,,
16,07/10/20 04:30:00 AM,14.3212,44.379,,,,
17,07/10/20 05:00:00 AM,14.3241,44.379,,,,
18,07/10/20 05:30:00 AM,14.3241,44.379,,,,
19,07/10/20 06:00:00 AM,14.3299,44.379,,,,
20,07/10/20 06:30:00 AM,14.3313,44.379,,,,
21,07/10/20 07:00:00 AM,14.3342,44.379,,,,
22,07/10/20 07:30:00 AM,14.3371,44.379,,,,
23,07/10/20 08:00:00 AM,14.3371,44.379,,,,
24,07/10/20 08:30:00 AM,14.3400,44.379,,,,
25,07/10/20 09:00:00 AM,14.3415,44.379,,,,
26,07/10/20 09:30:00 AM,14.3400,44.379,,,,
27,07/10/20 10:00:00 AM,14.3400,44.379,,,,
28,07/10/20 10:30:00 AM,14.3400,44.379,,,,
29,07/10/20 11:00:00 AM,14.3400,44.379,,,,
30,07/10/20 11:30:00 AM,14.3415,44.379,,,,
31,07/10/20 12:00:00 PM,14.3400,44.379,,,,
32,07/10/20 12:30:00 PM,14.3400,44.379,,,,
33,07/10/20 01:00:00 PM,14.3371,44.379,,,,
34,07/10/20 01:30:00 PM,14.3357,44.379,,,,
35,07/10/20 02:00:00 PM,14.3313,44.379,,,,
36,07/10/20 02:30:00 PM,14.3299,44.379,,,,
37,07/10/20 03:00:00 PM,14.3299,44.379,,,,
38,07/10/20 03:30:00 PM,14.3241,44.379,,,,
39,07/10/20 04:00:00 PM,14.3212,44.379,,,,
40,07/10/20 04:30:00 PM,14.3183,44.379,,,,
41,07/10/20 05:00:00 PM,14.3168,44.379,,,,
42,07/10/20 05:30:00 PM,14.3139,44.379,,,,
43,07/10/20 06:00:00 PM,14.3125,44.379,,,,
44,07/10/20 06:30:00 PM,14.3139,44.379,,,,
45,07/10/20 07:00:00 PM,14.3139,44.379,,,,
46,07/10/20 07:30:00 PM,14.3139,44.379,,,,
47,07/10/20 08:00:00 PM,14.3139,44.379,,,,
48,07/10/20 08:30:00 PM,14.3154,44.379,,,,
49,07/10/20 09:00:00 PM,14.3168,44.379,,,,
50,07/10/20 09:30:00 PM,14.3212,44.379,,,,
51,07/10/20 10:00:00 PM,14.3212,44.379,,,,
52,07/10/20 10:30:00 PM,14.3212,44.379,,,,
53,07/10/20 11:00:00 PM,14.3212,44.379,,,,
54,07/10/20 11:30:00 PM,14.3212,44.379,,,,
55,07/11/20 12:00:00 AM,14.3255,44.379,,,,
56,07/11/20 12:30:00 AM,14.3226,44.379,,,,
57,07/11/20 01:00:00 AM,14.3226,44.379,,,,
58,07/11/20 01:30:00 AM,14.3197,44.379,,,,
59,07/11/20 02:00:00 AM,14.3197,44.379,,,,
60,07/11/20 02:30:00 AM,14.3183,44.379,,,,
