Date,baro.pressure_psi,total.pressure_psi,temp.ref_F,water.level.above.sensor,ID
2020-08-17 10:00:00,12.4344,12.5185,46.548,0.194,RCW1
2020-08-17 10:30:00,12.4158,12.5017,46.548,0.198,RCW1
2020-08-17 11:00:00,12.4306,12.5108,46.548,0.185,RCW1
2020-08-17 11:30:00,12.4193,12.497,46.548,0.179,RCW1
2020-08-17 12:00:00,12.4154,12.4909,46.548,0.174,RCW1
2020-08-17 12:30:00,12.4147,12.4895,46.548,0.173,RCW1
2020-08-17 13:00:00,12.4132,12.4895,46.548,0.176,RCW1
2020-08-17 13:30:00,12.4103,12.4895,46.548,0.183,RCW1
2020-08-17 14:00:00,12.4205,12.5062,50.113,0.198,RCW1
2020-08-17 14:30:00,12.4242,12.5041,47.266,0.184,RCW1
2020-08-17 15:00:00,12.4196,12.4976,46.728,0.18,RCW1
2020-08-17 15:30:00,12.4161,12.4976,46.728,0.188,RCW1
2020-08-17 16:00:00,12.4122,12.494,46.548,0.189,RCW1
2020-08-17 16:30:00,12.4132,12.4909,46.548,0.179,RCW1
2020-08-17 17:00:00,12.4083,12.4909,46.548,0.191,RCW1
2020-08-17 17:30:00,12.4068,12.4863,46.548,0.183,RCW1
2020-08-17 18:00:00,12.4045,12.4863,46.548,0.189,RCW1
2020-08-17 18:30:00,12.4062,12.4895,46.548,0.192,RCW1
2020-08-17 19:00:00,12.4039,12.4909,46.548,0.201,RCW1
2020-08-17 19:30:00,12.4117,12.4956,46.548,0.194,RCW1
2020-08-17 20:00:00,12.4087,12.4925,46.548,0.193,RCW1
2020-08-17 20:30:00,12.4057,12.4956,46.548,0.207,RCW1
2020-08-17 21:00:00,12.4104,12.4956,46.548,0.197,RCW1
2020-08-17 21:30:00,12.4097,12.4956,46.548,0.198,RCW1
2020-08-17 22:00:00,12.4094,12.497,46.548,0.202,RCW1
2020-08-17 22:30:00,12.4055,12.4925,46.548,0.201,RCW1
2020-08-17 23:00:00,12.4074,12.4956,46.548,0.203,RCW1
2020-08-17 23:30:00,12.4017,12.4879,46.548,0.199,RCW1
2020-08-18 00:00:00,12.4017,12.4879,46.548,0.199,RCW1
2020-08-18 00:30:00,12.4051,12.4909,46.548,0.198,RCW1
