Date,baro.pressure_psi,total.pressure_psi,temp.ref_F,water.level.above.sensor,ID
2020-07-06 08:00:00,12.3925,12.3192,51.874,-0.169,RCW2
2020-07-06 08:30:00,12.391,12.3181,50.819,-0.168,RCW2
2020-07-06 09:00:00,12.3855,12.3172,50.466,-0.158,RCW2
2020-07-06 09:30:00,12.3939,12.3157,50.466,-0.18,RCW2
2020-07-06 10:00:00,12.392,12.3112,50.466,-0.186,RCW2
2020-07-06 10:30:00,12.391,12.3096,50.466,-0.188,RCW2
2020-07-06 11:00:00,12.3851,12.3082,50.466,-0.177,RCW2
2020-07-06 11:30:00,12.3814,12.3096,50.466,-0.166,RCW2
2020-07-06 12:00:00,12.3736,12.3067,50.466,-0.154,RCW2
2020-07-06 12:30:00,12.3727,12.3022,50.466,-0.163,RCW2
2020-07-06 13:00:00,12.3751,12.3007,50.466,-0.172,RCW2
2020-07-06 13:30:00,12.3727,12.2977,50.466,-0.173,RCW2
2020-07-06 14:00:00,12.3694,12.2962,50.466,-0.169,RCW2
2020-07-06 14:30:00,12.3685,12.2917,50.466,-0.177,RCW2
2020-07-06 15:00:00,12.3678,12.2902,50.466,-0.179,RCW2
2020-07-06 15:30:00,12.3604,12.2917,50.466,-0.159,RCW2
2020-07-06 16:00:00,12.3572,12.2888,50.466,-0.158,RCW2
2020-07-06 16:30:00,12.3555,12.2917,50.466,-0.147,RCW2
2020-07-06 17:00:00,12.3539,12.2888,50.466,-0.15,RCW2
2020-07-06 17:30:00,12.3582,12.2857,50.466,-0.167,RCW2
2020-07-06 18:00:00,12.3546,12.2872,50.466,-0.156,RCW2
2020-07-06 18:30:00,12.3537,12.2857,50.466,-0.157,RCW2
2020-07-06 19:00:00,12.35,12.2857,50.466,-0.148,RCW2
2020-07-06 19:30:00,12.3553,12.2872,50.466,-0.157,RCW2
2020-07-06 20:00:00,12.3542,12.2872,50.466,-0.155,RCW2
2020-07-06 20:30:00,12.3553,12.2888,50.466,-0.153,RCW2
2020-07-06 21:00:00,12.3572,12.2917,50.466,-0.151,RCW2
2020-07-06 21:30:00,12.3617,12.2947,50.466,-0.155,RCW2
2020-07-06 22:00:00,12.3635,12.2992,50.466,-0.148,RCW2
2020-07-06 22:30:00,12.3674,12.3022,50.466,-0.15,RCW2
2020-07-06 23:00:00,12.3704,12.3022,50.466,-0.157,RCW2
2020-07-06 23:30:00,12.3737,12.3037,50.466,-0.162,RCW2
2020-07-07 00:00:00,12.3739,12.3037,50.466,-0.162,RCW2
2020-07-07 00:30:00,12.3769,12.3067,50.466,-0.162,RCW2
2020-07-07 01:00:00,12.3771,12.3067,50.466,-0.162,RCW2
2020-07-07 01:30:00,12.3784,12.3067,50.466,-0.165,RCW2
2020-07-07 02:00:00,12.3777,12.3067,50.466,-0.164,RCW2
2020-07-07 02:30:00,12.3755,12.3067,50.466,-0.159,RCW2
2020-07-07 03:00:00,12.3761,12.3037,50.466,-0.167,RCW2
2020-07-07 03:30:00,12.3743,12.3051,50.466,-0.16,RCW2
2020-07-07 04:00:00,12.3784,12.3037,50.466,-0.172,RCW2
2020-07-07 04:30:00,12.3797,12.3067,50.466,-0.168,RCW2
2020-07-07 05:00:00,12.3759,12.3082,50.466,-0.156,RCW2
2020-07-07 05:30:00,12.3787,12.3112,50.466,-0.156,RCW2
2020-07-07 06:00:00,12.3817,12.3112,50.466,-0.163,RCW2
2020-07-07 06:30:00,12.3862,12.3157,50.466,-0.163,RCW2
2020-07-07 07:00:00,12.3869,12.3143,50.466,-0.168,RCW2
2020-07-07 07:30:00,12.3891,12.3188,50.466,-0.162,RCW2
2020-07-07 08:00:00,12.3991,12.3217,50.466,-0.179,RCW2
2020-07-07 08:30:00,12.3964,12.3233,50.466,-0.169,RCW2
2020-07-07 09:00:00,12.3942,12.3233,50.466,-0.164,RCW2
2020-07-07 09:30:00,12.4025,12.3188,50.466,-0.193,RCW2
2020-07-07 10:00:00,12.4039,12.3207,50.643,-0.192,RCW2
2020-07-07 10:30:00,12.4041,12.3192,50.643,-0.196,RCW2
2020-07-07 11:00:00,12.399,12.3192,50.643,-0.184,RCW2
2020-07-07 11:30:00,12.3954,12.3207,50.643,-0.172,RCW2
2020-07-07 12:00:00,12.3907,12.3221,50.643,-0.158,RCW2
2020-07-07 12:30:00,12.3875,12.3176,50.643,-0.161,RCW2
2020-07-07 13:00:00,12.3903,12.3192,50.643,-0.164,RCW2
2020-07-07 13:30:00,12.3893,12.3162,50.643,-0.169,RCW2
2020-07-07 14:00:00,12.3885,12.3117,50.643,-0.177,RCW2
2020-07-07 14:30:00,12.3832,12.3086,50.643,-0.172,RCW2
2020-07-07 15:00:00,12.3838,12.3072,50.643,-0.177,RCW2
2020-07-07 15:30:00,12.3791,12.3056,50.643,-0.17,RCW2
2020-07-07 16:00:00,12.3769,12.3027,50.643,-0.171,RCW2
2020-07-07 16:30:00,12.3724,12.3027,50.643,-0.161,RCW2
2020-07-07 17:00:00,12.3774,12.3041,50.643,-0.169,RCW2
2020-07-07 17:30:00,12.3791,12.3041,50.643,-0.173,RCW2
2020-07-07 18:00:00,12.3746,12.3011,50.643,-0.17,RCW2
2020-07-07 18:30:00,12.3707,12.3011,50.643,-0.161,RCW2
