"Plot Title: RCW6"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20214180, SEN S/N: 20214180)","Temp, °F (LGR S/N: 20214180, SEN S/N: 20214180)","Abs Pres Barom., psi (LGR S/N: 20214178, SEN S/N: 20214178)","Sensor Depth, feet (LGR S/N: 20214180)","Coupler Detached (LGR S/N: 20214180)","Coupler Attached (LGR S/N: 20214180)","Host Connected (LGR S/N: 20214180)","End Of File (LGR S/N: 20214180)"
1,10/06/18 10:00:00 AM,13.3398,53.274,,2.290,Logged,,,
2,10/06/18 11:00:00 AM,13.3062,52.925,,2.212,,,,
3,10/06/18 12:00:00 PM,13.2973,52.925,,2.191,,,,
4,10/06/18 01:00:00 PM,13.2930,52.925,,2.181,,,,
5,10/06/18 02:00:00 PM,13.2827,52.925,12.3479,2.158,,,,
6,10/06/18 03:00:00 PM,13.2798,52.925,12.3463,2.155,,,,
7,10/06/18 04:00:00 PM,13.2769,52.925,12.3479,2.144,,,,
8,10/06/18 05:00:00 PM,13.2798,52.925,12.3474,2.152,,,,
9,10/06/18 06:00:00 PM,13.2827,52.925,12.3471,2.160,,,,
10,10/06/18 07:00:00 PM,13.2798,52.925,12.3516,2.142,,,,
11,10/06/18 08:00:00 PM,13.2856,52.925,12.3536,2.151,,,,
12,10/06/18 09:00:00 PM,13.2871,52.925,12.3562,2.149,,,,
13,10/06/18 10:00:00 PM,13.2885,52.925,12.3620,2.138,,,,
14,10/06/18 11:00:00 PM,13.2930,52.925,12.3687,2.133,,,,
15,10/07/18 12:00:00 AM,13.2915,52.925,12.3679,2.132,,,,
16,10/07/18 01:00:00 AM,13.2915,52.925,12.3623,2.145,,,,
17,10/07/18 02:00:00 AM,13.2959,52.925,12.3685,2.140,,,,
18,10/07/18 03:00:00 AM,13.2973,52.925,12.3716,2.137,,,,
19,10/07/18 04:00:00 AM,13.2973,52.925,12.3697,2.141,,,,
20,10/07/18 05:00:00 AM,13.2959,52.925,12.3727,2.131,,,,
21,10/07/18 06:00:00 AM,13.3047,52.925,12.3801,2.134,,,,
22,10/07/18 07:00:00 AM,13.3047,52.925,12.3817,2.130,,,,
23,10/07/18 08:00:00 AM,13.3076,52.925,12.3877,2.123,,,,
24,10/07/18 09:00:00 AM,13.3105,52.925,12.3867,2.132,,,,
25,10/07/18 10:00:00 AM,13.3120,52.925,12.3875,2.134,,,,
26,10/07/18 11:00:00 AM,13.3120,52.925,12.3827,2.145,,,,
27,10/07/18 12:00:00 PM,13.3017,52.925,12.3761,2.136,,,,
28,10/07/18 01:00:00 PM,13.2988,52.925,12.3688,2.147,,,,
29,10/07/18 02:00:00 PM,13.2900,52.925,12.3639,2.137,,,,
30,10/07/18 03:00:00 PM,13.2842,52.925,12.3606,2.132,,,,
31,10/07/18 04:00:00 PM,13.2813,52.925,12.3578,2.131,,,,
32,10/07/18 05:00:00 PM,13.2769,52.925,12.3579,2.121,,,,
33,10/07/18 06:00:00 PM,13.2753,52.925,12.3517,2.132,,,,
34,10/07/18 07:00:00 PM,13.2798,52.925,12.3595,2.124,,,,
35,10/07/18 08:00:00 PM,13.2798,52.925,12.3629,2.116,,,,
36,10/07/18 09:00:00 PM,13.2856,52.925,12.3672,2.120,,,,
37,10/07/18 10:00:00 PM,13.2856,52.925,12.3717,2.109,,,,
38,10/07/18 11:00:00 PM,13.2827,52.925,12.3636,2.121,,,,
39,10/08/18 12:00:00 AM,13.2813,52.925,12.3629,2.120,,,,
40,10/08/18 01:00:00 AM,13.2827,52.925,12.3620,2.125,,,,
41,10/08/18 02:00:00 AM,13.2783,52.925,12.3574,2.126,,,,
42,10/08/18 03:00:00 AM,13.2769,52.925,12.3542,2.130,,,,
43,10/08/18 04:00:00 AM,13.2666,52.925,12.3517,2.112,,,,
44,10/08/18 05:00:00 AM,13.2637,52.925,12.3492,2.111,,,,
45,10/08/18 06:00:00 AM,13.2681,52.925,12.3465,2.127,,,,
46,10/08/18 07:00:00 AM,13.2724,52.925,12.3472,2.135,,,,
47,10/08/18 08:00:00 AM,13.2753,52.925,12.3588,2.115,,,,
48,10/08/18 09:00:00 AM,13.2724,52.925,12.3563,2.114,,,,
49,10/08/18 10:00:00 AM,13.2681,52.925,12.3540,2.110,,,,
50,10/08/18 11:00:00 AM,13.2637,52.925,12.3476,2.114,,,,
51,10/08/18 12:00:00 PM,13.2592,52.925,12.3416,2.118,,,,
52,10/08/18 01:00:00 PM,13.2505,52.925,12.3385,2.105,,,,
53,10/08/18 02:00:00 PM,13.2388,52.925,12.3270,2.104,,,,
54,10/08/18 03:00:00 PM,13.2343,52.925,12.3195,2.111,,,,
55,10/08/18 04:00:00 PM,13.2299,52.925,12.3112,2.120,,,,
56,10/08/18 05:00:00 PM,13.2285,52.925,12.3123,2.115,,,,
57,10/08/18 06:00:00 PM,13.2285,52.925,12.3169,2.104,,,,
58,10/08/18 07:00:00 PM,13.2285,52.925,12.3159,2.106,,,,
59,10/08/18 08:00:00 PM,13.2314,52.925,12.3211,2.101,,,,
60,10/08/18 09:00:00 PM,13.2343,52.925,12.3286,2.090,,,,
61,10/08/18 10:00:00 PM,13.2343,52.925,12.3282,2.091,,,,
62,10/08/18 11:00:00 PM,13.2328,52.925,12.3263,2.092,,,,
63,10/09/18 12:00:00 AM,13.2314,52.925,12.3269,2.088,,,,
64,10/09/18 01:00:00 AM,13.2314,52.925,12.3275,2.086,,,,
65,10/09/18 02:00:00 AM,13.2359,52.925,12.3318,2.087,,,,
66,10/09/18 03:00:00 AM,13.2314,52.925,12.3278,2.086,,,,
67,10/09/18 04:00:00 AM,13.2256,52.925,12.3221,2.085,,,,
68,10/09/18 05:00:00 AM,13.2270,52.925,12.3297,2.071,,,,
69,10/09/18 06:00:00 AM,13.2299,52.925,12.3295,2.078,,,,
70,10/09/18 07:00:00 AM,13.2314,52.925,12.3326,2.075,,,,
71,10/09/18 08:00:00 AM,13.2270,52.925,12.3295,2.072,,,,
72,10/09/18 09:00:00 AM,13.2227,52.925,12.3265,2.069,,,,
73,10/09/18 10:00:00 AM,13.2124,52.925,12.3169,2.067,,,,
74,10/09/18 11:00:00 AM,13.2021,52.925,12.3073,2.065,,,,
75,10/09/18 12:00:00 PM,13.1918,52.925,12.2930,2.075,,,,
76,10/09/18 01:00:00 PM,13.1816,52.925,12.2930,2.051,,,,
77,10/09/18 02:00:00 PM,13.1728,52.925,12.2776,2.066,,,,
78,10/09/18 03:00:00 PM,13.1728,52.925,12.2818,2.056,,,,
79,10/09/18 04:00:00 PM,13.1742,52.925,12.2773,2.070,,,,
80,10/09/18 05:00:00 PM,13.1699,52.925,12.2760,2.063,,,,
81,10/09/18 06:00:00 PM,13.1771,52.925,12.2776,2.076,,,,
82,10/09/18 07:00:00 PM,13.1831,52.925,12.2817,2.081,,,,
83,10/09/18 08:00:00 PM,13.1889,52.925,12.2930,2.068,,,,
84,10/09/18 09:00:00 PM,13.1977,52.925,12.3014,2.069,,,,
85,10/09/18 10:00:00 PM,13.2035,52.925,12.3091,2.064,,,,
86,10/09/18 11:00:00 PM,13.2095,52.925,12.3172,2.059,,,,
87,10/10/18 12:00:00 AM,13.2095,52.925,12.3163,2.061,,,,
88,10/10/18 01:00:00 AM,13.2050,52.925,12.3136,2.057,,,,
89,10/10/18 02:00:00 AM,13.2021,52.925,12.3157,2.046,,,,
90,10/10/18 03:00:00 AM,13.2006,52.925,12.3133,2.048,,,,
91,10/10/18 04:00:00 AM,13.1977,52.925,12.3086,2.052,,,,
92,10/10/18 05:00:00 AM,13.1918,52.925,12.3089,2.038,,,,
93,10/10/18 06:00:00 AM,13.1932,52.925,12.3082,2.043,,,,
94,10/10/18 07:00:00 AM,13.1918,52.925,12.3120,2.031,,,,
95,10/10/18 08:00:00 AM,13.1948,52.925,12.3115,2.039,,,,
96,10/10/18 09:00:00 AM,13.1948,52.925,12.3169,2.026,,,,
97,10/10/18 10:00:00 AM,13.2006,52.925,12.3150,2.044,,,,
98,10/10/18 11:00:00 AM,13.1939,52.750,12.3154,2.028,,,,
99,10/10/18 12:00:00 PM,13.1889,52.925,12.3070,2.035,,,,
100,10/10/18 01:00:00 PM,13.1845,52.925,12.2993,2.043,,,,
101,10/10/18 02:00:00 PM,13.1720,52.750,12.2930,2.029,,,,
102,10/10/18 03:00:00 PM,13.1632,52.750,12.2776,2.044,,,,
103,10/10/18 04:00:00 PM,13.1588,52.750,12.2783,2.032,,,,
104,10/10/18 05:00:00 PM,13.1574,52.750,12.2767,2.033,,,,
105,10/10/18 06:00:00 PM,13.1588,52.750,12.2777,2.034,,,,
106,10/10/18 07:00:00 PM,13.1603,52.750,12.2843,2.022,,,,
107,10/10/18 08:00:00 PM,13.1661,52.750,12.2888,2.025,,,,
108,10/10/18 09:00:00 PM,13.1706,52.750,12.2960,2.019,,,,
109,10/10/18 10:00:00 PM,13.1749,52.750,12.2986,2.023,,,,
110,10/10/18 11:00:00 PM,13.1823,52.750,12.3065,2.022,,,,
111,10/11/18 12:00:00 AM,13.1823,52.750,12.3098,2.014,,,,
112,10/11/18 01:00:00 AM,13.1807,52.750,12.3104,2.009,,,,
113,10/11/18 02:00:00 AM,13.1823,52.750,12.3147,2.003,,,,
114,10/11/18 03:00:00 AM,13.1807,52.750,12.3115,2.006,,,,
115,10/11/18 04:00:00 AM,13.1778,52.750,12.3091,2.005,,,,
116,10/11/18 05:00:00 AM,13.1778,52.750,12.3083,2.007,,,,
117,10/11/18 06:00:00 AM,13.1778,52.750,12.3121,1.998,,,,
118,10/11/18 07:00:00 AM,13.1881,52.750,12.3237,1.995,,,,
119,10/11/18 08:00:00 AM,13.1970,52.750,12.3295,2.002,,,,
120,10/11/18 09:00:00 AM,13.1999,52.750,12.3371,1.991,,,,
121,10/11/18 10:00:00 AM,13.2028,52.750,12.3416,1.988,,,,
122,10/11/18 11:00:00 AM,13.2042,52.750,12.3455,1.982,,,,
123,10/11/18 12:00:00 PM,13.2013,52.750,12.3346,2.001,,,,
124,10/11/18 01:00:00 PM,13.2013,52.750,12.3342,2.002,,,,
125,10/11/18 02:00:00 PM,13.2013,52.750,12.3328,2.005,,,,
126,10/11/18 03:00:00 PM,13.1999,52.750,12.3278,2.013,,,,
127,10/11/18 04:00:00 PM,13.2028,52.750,12.3308,2.013,,,,
128,10/11/18 05:00:00 PM,13.2057,52.750,12.3321,2.016,,,,
129,10/11/18 06:00:00 PM,13.2042,52.750,12.3355,2.005,,,,
130,10/11/18 07:00:00 PM,13.2071,52.750,12.3413,1.999,,,,
131,10/11/18 08:00:00 PM,13.2160,52.750,12.3475,2.005,,,,
132,10/11/18 09:00:00 PM,13.2189,52.750,12.3550,1.994,,,,
133,10/11/18 10:00:00 PM,13.2292,52.750,12.3640,1.997,,,,
134,10/11/18 11:00:00 PM,13.2364,52.750,12.3755,1.987,,,,
135,10/12/18 12:00:00 AM,13.2453,52.750,12.3878,1.979,,,,
136,10/12/18 01:00:00 AM,13.2467,52.750,12.3922,1.972,,,,
137,10/12/18 02:00:00 AM,13.2453,52.750,12.3842,1.987,,,,
138,10/12/18 03:00:00 AM,13.2424,52.750,12.3825,1.985,,,,
139,10/12/18 04:00:00 AM,13.2424,52.750,12.3868,1.975,,,,
140,10/12/18 05:00:00 AM,13.2453,52.750,12.3840,1.988,,,,
141,10/12/18 06:00:00 AM,13.2409,52.750,12.3885,1.967,,,,
142,10/12/18 07:00:00 AM,13.2438,52.750,12.3959,1.957,,,,
143,10/12/18 08:00:00 AM,13.2467,52.750,12.3999,1.955,,,,
144,10/12/18 09:00:00 AM,13.2541,52.750,12.4026,1.965,,,,
145,10/12/18 10:00:00 AM,13.2482,52.750,12.4000,1.958,,,,
146,10/12/18 11:00:00 AM,13.2424,52.750,12.3972,1.951,,,,
147,10/12/18 12:00:00 PM,13.2335,52.750,12.3846,1.959,,,,
148,10/12/18 01:00:00 PM,13.2248,52.750,12.3751,1.961,,,,
149,10/12/18 02:00:00 PM,13.2116,52.750,12.3668,1.950,,,,
150,10/12/18 03:00:00 PM,13.2057,52.750,12.3507,1.973,,,,
151,10/12/18 04:00:00 PM,13.2013,52.750,12.3507,1.963,,,,
152,10/12/18 05:00:00 PM,13.1954,52.750,12.3465,1.959,,,,
153,10/12/18 06:00:00 PM,13.1939,52.750,12.3445,1.961,,,,
154,10/12/18 07:00:00 PM,13.1954,52.750,12.3460,1.960,,,,
155,10/12/18 08:00:00 PM,13.1970,52.750,12.3508,1.953,,,,
156,10/12/18 09:00:00 PM,13.1970,52.750,12.3516,1.951,,,,
157,10/12/18 10:00:00 PM,13.2013,52.750,12.3640,1.933,,,,
158,10/12/18 11:00:00 PM,13.2028,52.750,12.3649,1.934,,,,
159,10/13/18 12:00:00 AM,13.2042,52.750,12.3664,1.934,,,,
160,10/13/18 01:00:00 AM,13.2028,52.750,12.3629,1.939,,,,
161,10/13/18 02:00:00 AM,13.2013,52.750,12.3614,1.939,,,,
162,10/13/18 03:00:00 AM,13.1939,52.750,12.3572,1.931,,,,
163,10/13/18 04:00:00 AM,13.1896,52.750,12.3536,1.930,,,,
164,10/13/18 05:00:00 AM,13.1867,52.750,12.3508,1.929,,,,
165,10/13/18 06:00:00 AM,13.1881,52.750,12.3562,1.920,,,,
166,10/13/18 07:00:00 AM,13.1954,52.750,12.3648,1.917,,,,
167,10/13/18 08:00:00 AM,13.1984,52.750,12.3645,1.925,,,,
168,10/13/18 09:00:00 AM,13.1984,52.750,12.3662,1.921,,,,
