"Plot Title: RCW6"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20214180, SEN S/N: 20214180)","Temp, °F (LGR S/N: 20214180, SEN S/N: 20214180)","Abs Pres Barom., psi (LGR S/N: 20214179, SEN S/N: 20214179)","Sensor Depth, feet (LGR S/N: 20214180)","Coupler Detached (LGR S/N: 20214180)","Coupler Attached (LGR S/N: 20214180)","Host Connected (LGR S/N: 20214180)","Stopped (LGR S/N: 20214180)","End Of File (LGR S/N: 20214180)"
1,04/25/19 10:00:00 AM,16.1560,41.625,12.3401,8.803,Logged,,,,
2,04/25/19 10:30:00 AM,16.1402,41.439,12.3450,8.755,,,,,
3,04/25/19 11:00:00 AM,16.1334,41.254,12.3418,8.747,,,,,
4,04/25/19 11:30:00 AM,16.1275,41.254,12.3385,8.741,,,,,
5,04/25/19 12:00:00 PM,16.1217,41.254,12.3373,8.730,,,,,
6,04/25/19 12:30:00 PM,16.1143,41.254,12.3356,8.717,,,,,
7,04/25/19 01:00:00 PM,16.1085,41.254,12.3305,8.716,,,,,
8,04/25/19 01:30:00 PM,16.1054,41.254,12.3313,8.707,,,,,
9,04/25/19 02:00:00 PM,16.1040,41.254,12.3269,8.713,,,,,
10,04/25/19 02:30:00 PM,16.1011,41.254,12.3284,8.703,,,,,
11,04/25/19 03:00:00 PM,16.0937,41.254,12.3255,8.693,,,,,
12,04/25/19 03:30:00 PM,16.0908,41.254,12.3236,8.691,,,,,
13,04/25/19 04:00:00 PM,16.0864,41.254,12.3178,8.694,,,,,
14,04/25/19 04:30:00 PM,16.0834,41.254,12.3178,8.687,,,,,
15,04/25/19 05:00:00 PM,16.0805,41.254,12.3153,8.686,,,,,
16,04/25/19 05:30:00 PM,16.0805,41.254,12.3214,8.672,,,,,
17,04/25/19 06:00:00 PM,16.0819,41.254,12.3175,8.684,,,,,
18,04/25/19 06:30:00 PM,16.0805,41.254,12.3182,8.679,,,,,
19,04/25/19 07:00:00 PM,16.0834,41.254,12.3154,8.692,,,,,
20,04/25/19 07:30:00 PM,16.0922,41.254,12.3117,8.722,,,,,
21,04/25/19 08:00:00 PM,16.1054,41.254,12.3111,8.753,,,,,
22,04/25/19 08:30:00 PM,16.1114,41.254,12.3118,8.765,,,,,
23,04/25/19 09:00:00 PM,16.1157,41.254,12.3165,8.765,,,,,
24,04/25/19 09:30:00 PM,16.1202,41.254,12.3198,8.767,,,,,
25,04/25/19 10:00:00 PM,16.1231,41.254,12.3224,8.768,,,,,
26,04/25/19 10:30:00 PM,16.1246,41.254,12.3211,8.774,,,,,
27,04/25/19 11:00:00 PM,16.1246,41.254,12.3231,8.770,,,,,
28,04/25/19 11:30:00 PM,16.1246,41.254,12.3233,8.769,,,,,
29,04/26/19 12:00:00 AM,16.1231,41.254,12.3252,8.762,,,,,
30,04/26/19 12:30:00 AM,16.1275,41.254,12.3199,8.784,,,,,
31,04/26/19 01:00:00 AM,16.1246,41.254,12.3227,8.771,,,,,
32,04/26/19 01:30:00 AM,16.1231,41.254,12.3237,8.765,,,,,
33,04/26/19 02:00:00 AM,16.1217,41.254,12.3223,8.765,,,,,
34,04/26/19 02:30:00 AM,16.1186,41.254,12.3208,8.761,,,,,
35,04/26/19 03:00:00 AM,16.1128,41.254,12.3173,8.756,,,,,
36,04/26/19 03:30:00 AM,16.1128,41.254,12.3163,8.758,,,,,
37,04/26/19 04:00:00 AM,16.1143,41.254,12.3182,8.757,,,,,
38,04/26/19 04:30:00 AM,16.1128,41.254,12.3197,8.751,,,,,
39,04/26/19 05:00:00 AM,16.1128,41.254,12.3186,8.753,,,,,
40,04/26/19 05:30:00 AM,16.1143,41.254,12.3191,8.755,,,,,
41,04/26/19 06:00:00 AM,16.1128,41.254,12.3186,8.753,,,,,
42,04/26/19 06:30:00 AM,16.1143,41.254,12.3220,8.749,,,,,
43,04/26/19 07:00:00 AM,16.1128,41.254,12.3231,8.743,,,,,
44,04/26/19 07:30:00 AM,16.1157,41.254,12.3247,8.746,,,,,
45,04/26/19 08:00:00 AM,16.1143,41.254,12.3227,8.747,,,,,
46,04/26/19 08:30:00 AM,16.1114,41.254,12.3217,8.743,,,,,
47,04/26/19 09:00:00 AM,16.1085,41.254,12.3250,8.728,,,,,
48,04/26/19 09:30:00 AM,16.1054,41.254,12.3272,8.716,,,,,
49,04/26/19 10:00:00 AM,16.1054,41.254,12.3299,8.710,,,,,
50,04/26/19 10:30:00 AM,16.1054,41.254,12.3305,8.708,,,,,
51,04/26/19 11:00:00 AM,16.1025,41.254,12.3265,8.711,,,,,
52,04/26/19 11:30:00 AM,16.1025,41.254,12.3217,8.722,,,,,
53,04/26/19 12:00:00 PM,16.0982,41.254,12.3260,8.702,,,,,
54,04/26/19 12:30:00 PM,16.0937,41.254,12.3239,8.697,,,,,
55,04/26/19 01:00:00 PM,16.0922,41.254,12.3221,8.697,,,,,
56,04/26/19 01:30:00 PM,16.0893,41.254,12.3214,8.692,,,,,
57,04/26/19 02:00:00 PM,16.0850,41.254,12.3181,8.690,,,,,
58,04/26/19 02:30:00 PM,16.0850,41.254,12.3146,8.698,,,,,
59,04/26/19 03:00:00 PM,16.0819,41.254,12.3178,8.684,,,,,
60,04/26/19 03:30:00 PM,16.0761,41.254,12.3086,8.691,,,,,
61,04/26/19 04:00:00 PM,16.0747,41.254,12.3108,8.683,,,,,
62,04/26/19 04:30:00 PM,16.0776,41.254,12.3130,8.685,,,,,
63,04/26/19 05:00:00 PM,16.0776,41.254,12.3101,8.691,,,,,
64,04/26/19 05:30:00 PM,16.0819,41.254,12.3153,8.689,,,,,
65,04/26/19 06:00:00 PM,16.0893,41.254,12.3112,8.716,,,,,
66,04/26/19 06:30:00 PM,16.0937,41.254,12.3101,8.729,,,,,
67,04/26/19 07:00:00 PM,16.1011,41.254,12.3104,8.745,,,,,
68,04/26/19 07:30:00 PM,16.1054,41.254,12.3070,8.763,,,,,
69,04/26/19 08:00:00 PM,16.1143,41.254,12.3099,8.776,,,,,
70,04/26/19 08:30:00 PM,16.1202,41.254,12.3160,8.776,,,,,
71,04/26/19 09:00:00 PM,16.1275,41.254,12.3197,8.784,,,,,
72,04/26/19 09:30:00 PM,16.1318,41.254,12.3204,8.793,,,,,
73,04/26/19 10:00:00 PM,16.1363,41.254,12.3249,8.793,,,,,
