"Plot Title: RCW6"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20214180, SEN S/N: 20214180)","Temp, °F (LGR S/N: 20214180, SEN S/N: 20214180)","Abs Pres Barom., psi (LGR S/N: 20844446, SEN S/N: 20844446)","Sensor Depth, feet (LGR S/N: 20214180)","Coupler Detached (LGR S/N: 20214180)","Coupler Attached (LGR S/N: 20214180)","Host Connected (LGR S/N: 20214180)","Stopped (LGR S/N: 20214180)","End Of File (LGR S/N: 20214180)"
1,07/06/21 12:30:00 PM,,,12.3594,,,,,,
2,07/06/21 01:00:00 PM,13.8739,49.404,12.3581,3.498,Logged,,,,
3,07/06/21 01:30:00 PM,13.8630,45.286,12.3574,3.474,,,,,
4,07/06/21 02:00:00 PM,13.8604,44.742,12.3513,3.482,,,,,
5,07/06/21 02:30:00 PM,13.8550,44.560,12.3481,3.477,,,,,
6,07/06/21 03:00:00 PM,13.8536,44.560,12.3452,3.480,,,,,
7,07/06/21 03:30:00 PM,13.8521,44.560,12.3466,3.473,,,,,
8,07/06/21 04:00:00 PM,13.8492,44.560,12.3400,3.482,,,,,
9,07/06/21 04:30:00 PM,13.8447,44.560,12.3391,3.474,,,,,
10,07/06/21 05:00:00 PM,13.8447,44.560,12.3372,3.478,,,,,
11,07/06/21 05:30:00 PM,13.8433,44.560,12.3359,3.478,,,,,
12,07/06/21 06:00:00 PM,13.8410,44.379,12.3347,3.475,,,,,
13,07/06/21 06:30:00 PM,13.8410,44.379,12.3343,3.476,,,,,
14,07/06/21 07:00:00 PM,13.8410,44.379,12.3320,3.481,,,,,
15,07/06/21 07:30:00 PM,13.8424,44.379,12.3324,3.484,,,,,
16,07/06/21 08:00:00 PM,13.8424,44.379,12.3292,3.491,,,,,
17,07/06/21 08:30:00 PM,13.8424,44.379,12.3292,3.491,,,,,
18,07/06/21 09:00:00 PM,13.8453,44.379,12.3315,3.492,,,,,
19,07/06/21 09:30:00 PM,13.8453,44.379,12.3373,3.479,,,,,
